K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02386,0.02473,0.0231,0.02528,0.0231,0.02528,0.02281,0.0778,0.02528,0.07574,0.22022154179844175,0.23067054695869293,0.22936462051387377,0.25062139970310054,0.22936462051387013,0.2506213997030995,0.2506213997037941,0.2284796352919116,0.2506213997030995,0.22847963529103824,-0.004068514012317315,-0.0016573747055714041,-0.00734990670513556,-0.004127274497674415,-0.007349906705137405,-0.004127274497675634,-0.00412727449741506,0.10714029653874613,-0.004127274497675635,0.10714029653830182
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02411,0.025,0.02407,0.02517,0.02407,0.02517,0.02243,0.07086,0.02517,0.0688,0.2192752897796304,0.23034942192481148,0.2284143639590629,0.24991977506176336,0.22841436395905942,0.24991977506176216,0.24991977506271856,0.22275976445808945,0.24991977506176224,0.22275976445713508,-0.003598052170962657,-0.0014682765684424738,-0.006398931078510785,-0.003547177881927985,-0.0063989310785126045,-0.0035471778819292947,-0.003547177881673743,0.0953363602816812,-0.0035471778819339225,0.09533636028124529
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02444,0.02489,0.0234,0.02492,0.0234,0.02492,0.02224,0.06143,0.02492,0.05935,0.21842600560194922,0.22925808624924854,0.2269448558040601,0.24845731047773412,0.22694485580405616,0.2484573104777323,0.24845731047877997,0.21643786578556004,0.2484573104777323,0.21643786578453525,-0.004269521527351502,-0.0025062168573352617,-0.007059028243732435,-0.0049133868436183874,-0.0070590282437332525,-0.004913386843618867,-0.0049133868434021065,0.0821547825677628,-0.004913386843618873,0.08215478256735298
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02481,0.02558,0.02421,0.02573,0.02421,0.02573,0.02313,0.05455,0.02573,0.05311,0.21703276858038714,0.2282944226530451,0.22553119569873367,0.2476031903479106,0.22553119569873054,0.24760319034790998,0.24760319034866446,0.21142227350417023,0.24760319034790998,0.21142227350308943,-0.00369576106014809,-0.002302102106015443,-0.00613393400298323,-0.004747012094690049,-0.006133934002983575,-0.004747012094690595,-0.0047470120944233685,0.07036054444400337,-0.004747012094690593,0.07036054444362881
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02453,0.02539,0.02374,0.02619,0.02374,0.02619,0.02353,0.05007,0.02619,0.04853,0.2154202283567558,0.2262269619293123,0.22415826863173857,0.24569720130087472,0.22415826863173577,0.24569720130087347,0.24569720130173278,0.20727744286776117,0.24569720130087347,0.20727744286662456,-0.0016577175185691242,-5.942581348387199e-4,-0.003781804116922675,-0.0029098323882351985,-0.0037818041169230088,-0.0029098323882355637,-0.002909832387996477,0.06043994519572918,-0.0029098323882355676,0.06043994519539194
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02418,0.02469,0.02396,0.02548,0.02396,0.02548,0.02299,0.04354,0.02548,0.04214,0.2159509673027144,0.22655686102480807,0.22417672249358253,0.24531155293799475,0.2241767224935801,0.2453115529379933,0.24531155293893137,0.2044715786848569,0.2453115529379933,0.204471578683674,-0.0024917470098121896,-0.00179797241452985,-0.004300518325286537,-0.0039310948829444125,-0.0043005183252866515,-0.0039310948829443075,-0.00393109488274192,0.047056848418093176,-0.003931094882944314,0.04705684841781418
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02402,0.02456,0.02398,0.02467,0.02398,0.02467,0.02205,0.03832,0.02467,0.03721,0.21453844523398863,0.2255290142923458,0.22270467784243295,0.24396283515482658,0.22270467784243075,0.2439628351548255,0.24396283515584877,0.20077633491830787,0.24396283515482553,0.20077633491709754,-0.002429983577759571,-0.002037250834883757,-0.003931294923844301,-0.004157766503016229,-0.003931294923844712,-0.004157766503016248,-0.004157766502855395,0.035258819282685476,-0.004157766503016251,0.0352588192824706
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02508,0.02553,0.0251,0.02592,0.0251,0.02592,0.02344,0.03408,0.02592,0.03305,0.21515306899813938,0.2260454454335755,0.22318131034026306,0.24456266309758412,0.22318131034026092,0.2445626630975828,0.2445626630986705,0.19977130102658672,0.2445626630975828,0.19977130102535356,-0.0024200660476201823,-0.0023748558218115385,-0.003570433510257173,-0.004023263396870409,-0.0035704335102570853,-0.0040232633968704185,-0.004023263396747011,0.02343934863158354,-0.004023263396870424,0.02343934863143781
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.0248,0.02519,0.02452,0.02548,0.02452,0.02548,0.02353,0.02913,0.02548,0.02823,0.21279404993019768,0.22358029651917913,0.22131383406272886,0.24238542623963533,0.2213138340627275,0.24238542623963463,0.24238542624076984,0.1967790831707985,0.24238542623963463,0.1967790831695558,-0.0018401083625864583,-0.002168895426591075,-0.0027634982996954205,-0.003962264105520575,-0.0027634982996954803,-0.0039622641055205585,-0.00396226410543956,0.011969402459233709,-0.003962264105520558,0.011969402459155435
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,125,EQ,H0_1,0.5,0.02433,0.02532,0.02448,0.02557,0.02448,0.02557,0.02308,0.02582,0.02557,0.02506,0.2128834168002928,0.22374866357707993,0.22095529645596704,0.2417783222773645,0.2209552964559661,0.24177832227736354,0.24177832227853743,0.196717522693001,0.24177832227736357,0.1967175226917498,-0.0014271797189955586,-0.0017459427967488998,-0.0020894550333376166,-0.0036037674066210553,-0.0020894550333374513,-0.0036037674066208662,-0.0036037674065818154,1.2007603782397935e-4,-0.0036037674066208693,1.2007603782446091e-4
