K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01145,0.00996,0.02625,0.02554,0.02625,0.02554,0.02369,0.0139,0.02554,0.01339,0.2192729261852412,0.23388468366354123,0.217279900635539,0.23742392013786195,0.217279900635539,0.23742392013786195,0.23742392013898922,0.2010697923453762,0.23742392013786195,0.20106979234418698,-0.06919322228396936,-0.08635732102867055,9.282685750284162e-4,-0.003142989392057091,9.282685750284158e-4,-0.003142989392057095,-0.0031429893921636537,-0.052373416479055995,-0.003142989392057095,-0.052373416478746264
1,0.7,1,0.4,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01202,0.01076,0.02525,0.02556,0.02525,0.02556,0.02361,0.01319,0.02556,0.01274,0.21813998706516094,0.23224531004553012,0.2172591673686724,0.2374579680775978,0.2172591673686724,0.2374579680775978,0.23745796807872452,0.2010103376923814,0.2374579680775978,0.20101033769118928,-0.0653205590459946,-0.08169130659047251,-2.5925038152586004e-4,-0.00506407106598951,-2.5925038152585934e-4,-0.005064071065989512,-0.005064071066099895,-0.053468971153106774,-0.005064071065989512,-0.05346897115279105
1,0.7,1,0.4,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01234,0.01116,0.02493,0.02477,0.02493,0.02477,0.02297,0.01318,0.02477,0.01256,0.2166506342210479,0.2296043201878368,0.21748443126849368,0.23736186626816028,0.21748443126849368,0.2373618662681603,0.23736186626928832,0.20177322115615906,0.23736186626816028,0.2017732211549679,-0.05993996219477002,-0.07469670787401991,-3.1684211112793754e-4,-0.004262064981290337,-3.168421111279373e-4,-0.004262064981290342,-0.004262064981401364,-0.053401469286513084,-0.004262064981290343,-0.05340146928620208
1,0.7,1,0.4,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01316,0.0118,0.02537,0.0248,0.02537,0.0248,0.02313,0.01332,0.0248,0.01273,0.21551946870088512,0.2280497938125045,0.21763351078194917,0.23791522553838773,0.21763351078194917,0.23791522553838776,0.23791522553951436,0.20153186141952578,0.23791522553838776,0.20153186141833504,-0.055645518620462846,-0.06996574707385039,-8.533123014846956e-4,-0.005770193982348502,-8.533123014846953e-4,-0.005770193982348503,-0.005770193982462891,-0.05391555846050009,-0.005770193982348505,-0.053915558460186044
1,0.7,1,0.4,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01436,0.0131,0.02586,0.02601,0.02586,0.02601,0.02416,0.01323,0.02601,0.01274,0.21298576120205465,0.22475512591587876,0.216605469503299,0.23673941502680665,0.216605469503299,0.23673941502680665,0.2367394150279292,0.20066511394843503,0.23673941502680665,0.20066511394724657,-0.04788888170711771,-0.0605288263576904,0.0016299673216429314,-0.002637927789226796,0.0016299673216429319,-0.002637927789226795,-0.0026379277893314886,-0.05216788228613218,-0.0026379277892267985,-0.05216788228582544
1,0.7,1,0.4,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01507,0.01404,0.02594,0.02568,0.02594,0.02568,0.02386,0.01333,0.02568,0.01299,0.21258255722887093,0.2240523415402884,0.21774470216529354,0.23815634516131873,0.21774470216529354,0.23815634516131873,0.2381563451624461,0.20161666921670957,0.23815634516131873,0.2016166692155206,-0.04354252247069413,-0.05519739010384398,9.137975834952392e-4,-0.003438912640788341,9.137975834952385e-4,-0.0034389126407883435,-0.003438912640891052,-0.05250330909031895,-0.003438912640788345,-0.052503309090014515
1,0.7,1,0.4,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01561,0.01462,0.02473,0.0249,0.02473,0.0249,0.02307,0.01281,0.0249,0.01235,0.2110464089139313,0.22157970784791448,0.216901731608399,0.23735711536435145,0.216901731608399,0.23735711536435145,0.23735711536548207,0.20114494618993625,0.23735711536435145,0.20114494618874643,-0.03866325289129153,-0.048899295916091746,2.8605536665299715e-4,-0.0041185913204908305,2.860553666529973e-4,-0.0041185913204908305,-0.004118591320599843,-0.05315746913020756,-0.004118591320490833,-0.05315746912989687
1,0.7,1,0.4,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01727,0.01573,0.02584,0.02543,0.02584,0.02543,0.02368,0.0129,0.02543,0.01241,0.2102181387856654,0.22026939070500615,0.21772240168110032,0.23785511083039715,0.21772240168110032,0.23785511083039715,0.23785511083151867,0.20122000653166813,0.23785511083039715,0.2012200065304786,-0.0334278232944768,-0.04282704644323187,9.68608760006954e-4,-0.003488061972660935,9.68608760006954e-4,-0.003488061972660936,-0.0034880619727663312,-0.052853521357642014,-0.0034880619726609377,-0.052853521357332914
1,0.7,1,0.4,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01808,0.01724,0.02512,0.0249,0.02512,0.0249,0.02287,0.0134,0.0249,0.01298,0.20928333058477153,0.21875157687977537,0.21719150937060286,0.2370376751066519,0.21719150937060286,0.2370376751066519,0.23703767510777732,0.20092096750642893,0.23703767510663853,0.20092096750523764,-0.028212209658971,-0.03655566327583654,3.431850469935766e-4,-0.004560442473329119,3.431850469935766e-4,-0.004560442473329123,-0.004560442473439519,-0.05243142773330135,-0.004560442473289888,-0.05243142773299386
1,0.7,1,0.4,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01957,0.01909,0.02625,0.02629,0.02625,0.02629,0.02446,0.01341,0.02629,0.01296,0.20885306209971072,0.21806883537615077,0.21762303540497202,0.23770063138605366,0.21762303540497202,0.23770063138605366,0.2377006313871829,0.20151522805057928,0.23770063138605366,0.20151522804938754,-0.02343896890186269,-0.030539882513265084,8.993307857452366e-5,-0.003963552451190892,8.993307857452283e-5,-0.003963552451190894,-0.00396355245130105,-0.05328341589837367,-0.003963552451190898,-0.053283415898061785
