K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.69234,0.64999,0.68929,0.62552,0.68929,0.62552,0.602,0.8537,0.62552,0.84979,0.23547555827837502,0.24596538773600116,0.24335594916796324,0.26186749445969504,0.2433559491702451,0.2618674944626411,0.26186749449657365,0.22461588606402097,0.2618674944423897,0.224615886022311,-0.015861887661155514,-0.02015647019792313,0.0024379102232250415,0.002180239808526759,0.002437910223884837,0.0021802398093862564,0.002180239820916432,0.05400344174501157,0.0021802398274046865,0.054003441733405946
1,0.7,1,1.8,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.69715,0.65456,0.68713,0.6244,0.68713,0.6244,0.6009,0.85374,0.6244,0.84972,0.23420701157439944,0.24414501195361105,0.2423329852033352,0.26060222629008656,0.24233298520893767,0.2606022262925042,0.2606022263258495,0.22345410738925067,0.26060222627243546,0.22345410734990995,-0.013911275310876523,-0.017342048883789037,6.69700089936434e-4,4.772740239891239e-4,6.697000917957657e-4,4.772740248609083e-4,4.7727403643332817e-4,0.05243125060440623,4.772740444604421e-4,0.052431250592760575
1,0.7,1,1.8,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.70528,0.6644,0.68834,0.62379,0.68834,0.62379,0.59956,0.85304,0.62379,0.84899,0.2344754360786787,0.24411788687567548,0.2427759304983623,0.26092559151219175,0.24277593050455043,0.2609255915121757,0.26092559155338746,0.22397125806411647,0.26092559149314537,0.22397125801291973,-0.008930654930447476,-0.011423237690719776,0.0012000456499470838,6.044917149440078e-4,0.0012000456519419378,6.044917149358723e-4,6.044917293000933e-4,0.05350998375016738,6.044917322603179e-4,0.053509983735726886
1,0.7,1,1.8,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.71033,0.67124,0.68656,0.62133,0.68656,0.62133,0.59794,0.85405,0.62133,0.84973,0.23386703653885763,0.24352388357926213,0.24232937274679606,0.2604137723036394,0.24232937275503355,0.26041377230809,0.26041377233988844,0.22319470240313186,0.2604137722894183,0.22319470236363617,-0.005422319835455388,-0.00686577273461605,6.359185185220085e-4,3.623982001836527e-4,6.359185213836322e-4,3.623982022962774e-4,3.6239821317911303e-4,0.05316213745119846,3.623982183159417e-4,0.05316213743997541
1,0.7,1,1.8,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.71544,0.67762,0.68716,0.62374,0.68716,0.62374,0.59988,0.85357,0.62374,0.84935,0.23388621072484167,0.24340273520633346,0.24274303759372484,0.260891654359983,0.24274303759371635,0.260891654359978,0.26089165440475526,0.2235687556509396,0.2608916543529427,0.2235687555925415,-0.0015563981299987855,-0.00237482666800325,4.717881371047092e-4,6.769093553902767e-6,4.7178813710495164e-4,6.769093550347767e-6,6.769109074091464e-6,0.05258646978909855,6.7691073966107305e-6,0.05258646977386429
1,0.7,1,1.8,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.7228,0.68753,0.68796,0.62278,0.68796,0.62278,0.59901,0.85445,0.62278,0.85038,0.2338358354768839,0.24300918734048665,0.24248900058085066,0.2608767991051061,0.24248900058083847,0.2608767991050991,0.26087679913500383,0.22352734474838093,0.2608767990872071,0.22352734471078503,0.002628571684011116,0.002615324294270859,5.095529334051392e-4,-1.8460521652225391e-4,5.095529333992726e-4,-1.8460521652684218e-4,-1.8460520557198664e-4,0.05302341056167002,-1.8460520083609654e-4,0.0530234105506354
1,0.7,1,1.8,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.72736,0.69281,0.68585,0.621,0.68585,0.621,0.59818,0.85277,0.621,0.84814,0.23346596258519697,0.2431639197775617,0.24229409833270132,0.26120594407789727,0.242294098339304,0.26120594407785147,0.26120594411608866,0.22294923708254877,0.2612059440621898,0.22294923703509964,0.0064269150263570815,0.007145546826889797,3.909673741026581e-4,-2.4113830662276923e-4,3.909673760067475e-4,-2.4113830664003634e-4,-2.4113829376981642e-4,0.05190670010850486,-2.411382889447443e-4,0.05190670009556338
1,0.7,1,1.8,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.73403,0.7023,0.68808,0.62488,0.68808,0.62488,0.60192,0.85246,0.62488,0.84824,0.2342810247135325,0.24354075239423906,0.2426986392033217,0.26101929748854075,0.24269863921024187,0.26101929749359937,0.2610192975303079,0.2242843909541091,0.2610192974761001,0.22428439091023836,0.01179757911637708,0.01329135391302091,0.001418770457971904,0.0010346215253451221,0.0014187704600814044,0.0010346215271309588,0.0010346215400045824,0.05287200159819891,0.0010346215429385191,0.05287200158525032
1,0.7,1,1.8,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.74194,0.71038,0.68767,0.6227,0.68767,0.6227,0.59916,0.85501,0.6227,0.8508,0.23381874033702596,0.24289977932911935,0.24256026367999828,0.26065200216829626,0.2425602636917987,0.26065200217460444,0.26065200221310575,0.22313405684472964,0.26065200216172457,0.22313405679930878,0.015563161198610136,0.017958467843427424,0.001028902765018964,4.5286000049538365e-4,0.0010289027690076377,4.528600031719925e-4,4.528600154966008e-4,0.05296086809831284,4.5286002041532267e-4,0.05296086808591565
1,0.7,1,1.8,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.7492,0.71813,0.68697,0.62275,0.68697,0.62275,0.59826,0.85411,0.62275,0.85021,0.23428443159916637,0.24359733274795725,0.2426220283387056,0.2613942420283849,0.24262202834305724,0.2613942420283803,0.26139424206978196,0.22361303565041618,0.2613942420082018,0.2236130355993635,0.019779085433130186,0.023217086579719652,5.785338530403528e-4,4.7520926291367747e-4,5.785338547880807e-4,4.7520926291271616e-4,4.752092775408068e-4,0.05304216257299939,4.75209279664518e-4,0.05304216255829588
