K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.67289,0.61251,0.72651,0.65723,0.72651,0.65723,0.63708,0.74344,0.65723,0.73782,0.23085714275874006,0.24445447169359938,0.23359662890372745,0.2502715306083166,0.23359662890372748,0.25027153060831625,0.25027153060891844,0.21488250545848156,0.2502715306106477,0.2148825054579706,-0.04837439389194102,-0.06230224948378755,0.0048280520286668,2.8113426873451223e-4,0.004828052028667591,2.811342687347841e-4,2.81134268796915e-4,-0.048480626889600774,2.811342693214512e-4,-0.048480626889464765
1,0.7,1,1.8,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.67888,0.6205,0.72549,0.65694,0.72549,0.65694,0.63697,0.74191,0.65694,0.7362,0.23048457449784865,0.2436076424898747,0.23393336999709616,0.25082461169545905,0.23393336999709627,0.2508246116954585,0.2508246116958933,0.21524804164738984,0.25082461169200937,0.21524804164705333,-0.045131297980700646,-0.05778808574853302,0.004476236077044418,2.0441918865090177e-4,0.004476236077044872,2.0441918865115336e-4,2.0441918866924533e-4,-0.04889357960716718,2.0441918762096549e-4,-0.04889357960698534
1,0.7,1,1.8,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.68441,0.62726,0.72616,0.65837,0.72616,0.65837,0.63882,0.74316,0.65837,0.73725,0.22899866500233013,0.2417279550906928,0.2329597446545008,0.25006267045879366,0.23295974465429886,0.25006267045879327,0.2500626704597255,0.21481106775871003,0.25006267045313185,0.21481106775793232,-0.0418706051824276,-0.05384195378340453,0.004270558779029846,-1.9565856255768583e-5,0.004270558778956644,-1.956585625543734e-5,-1.9565856083215805e-5,-0.04957038834932947,-1.9565857233808962e-05,-0.04957038834929618
1,0.7,1,1.8,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.69026,0.63408,0.72515,0.6568,0.72515,0.6568,0.63752,0.74137,0.6568,0.73613,0.22959983358302613,0.24215381818858195,0.23410232858678479,0.25152932464220645,0.23410232858678443,0.2515293246422061,0.2515293246430469,0.21622016760399598,0.25152932463533795,0.21622016760309706,-0.0382475222797831,-0.049324106986165,0.004108007802157364,-3.8918262649152875e-4,0.004108007802157922,-3.891826264913072e-4,-3.891826262953463e-4,-0.04907183163922393,-3.891826275850043e-4,-0.049071831639218334
1,0.7,1,1.8,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.69637,0.6433,0.72433,0.65567,0.72433,0.65567,0.63612,0.74141,0.65567,0.73612,0.22896682112838207,0.24073762811037266,0.23420270190361822,0.25097075716622425,0.2342027019036182,0.2509707571662239,0.2509707571674519,0.2160925420364789,0.2509707571650837,0.21609254203524417,-0.03448221941272802,-0.04463313873013678,0.0039508245018387254,-4.393397061750788e-4,0.003950824501838792,-4.3933970617501556e-4,-4.3933970573804967e-4,-0.04894165572093655,-4.3933970530527964e-4,-0.04894165572117297
1,0.7,1,1.8,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.70405,0.6528,0.72628,0.65758,0.72628,0.65758,0.63805,0.74348,0.65758,0.73763,0.22698847332436306,0.2384413049404023,0.2327998529530474,0.2501033384368339,0.2327998529530475,0.250103338436834,0.25010333843740296,0.21494380050079595,0.25010333843115135,0.2149438005003045,-0.03023731037406817,-0.039481119749186014,0.004588593019522261,2.2196834221439892e-4,0.00458859301952265,2.2196834221428915e-4,2.2196834228880427e-4,-0.049120712647344286,2.2196834133541708e-4,-0.049120712647214
1,0.7,1,1.8,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.70913,0.65915,0.72501,0.65712,0.72501,0.65712,0.63719,0.74265,0.65712,0.7372,0.2268808443671347,0.2377898034568062,0.2330662568966417,0.2502288852294702,0.23306625689664173,0.2502288852294699,0.250228885229915,0.21535064914124719,0.25022888522437375,0.21535064914087707,-0.026734824640642467,-0.035339140796313936,0.004275063157395286,-5.66433863202757e-4,0.004275063157395447,-5.664338632025646e-4,-5.664338631665833e-4,-0.049148149963891684,-5.66433863516882e-4,-0.04914814996372612
1,0.7,1,1.8,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.71299,0.6669,0.72436,0.65715,0.72436,0.65715,0.63769,0.74101,0.65715,0.73555,0.2274502588183671,0.23792586517376785,0.23442424944746962,0.251495023815113,0.23442424944736298,0.2514950238150169,0.25149502381796934,0.21592932097710674,0.2514950238129466,0.21592932097426798,-0.02244186942126823,-0.030229726004486975,0.004631604368779463,9.448913416241654e-5,0.00463160436874861,9.448913413497114e-5,9.448913482698436e-5,-0.048782193891322094,9.448913348767077e-5,-0.04878219389181207
1,0.7,1,1.8,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.71979,0.67422,0.72414,0.6565,0.72414,0.6565,0.63643,0.7419,0.6565,0.73583,0.22666541420038888,0.2373006679395435,0.23400281496134043,0.2514456815785812,0.2340028149613404,0.25144568157858094,0.2514456815797049,0.2158972006365746,0.25144568157580033,0.21589720063542633,-0.01868769401660072,-0.025765347873226607,0.0041774432974642,-7.263127974645922e-4,0.004177443297464405,-7.263127974643283e-4,-7.263127971667922e-4,-0.04911723210299646,-7.263127979641526e-4,-0.04911723210309381
1,0.7,1,1.8,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1_1,0.5,0.72791,0.68451,0.72649,0.65733,0.72649,0.65733,0.63696,0.74353,0.65733,0.73833,0.22640345698683376,0.23655908690136723,0.2338532896018835,0.25111013722967446,0.2338532896018834,0.2511101372296743,0.2511101372301122,0.21566368820994145,0.2511101372283357,0.21566368820961884,-0.014136884740817776,-0.020373689961823094,0.004810654006918331,-3.1123070025618877e-4,0.004810654006918621,-3.1123070025595165e-4,-3.1123070024498354e-4,-0.04915833029756274,-3.11230700585047e-4,-0.04915833029737462
