K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.64784,0.59462,0.72302,0.65512,0.72302,0.65512,0.63552,0.74085,0.65512,0.73496,0.23420642739568975,0.2468375328318008,0.23355463823742093,0.25090648722405323,0.23355463823742093,0.25090648722405323,0.25090648722438624,0.215975997059214,0.25090648721914144,0.21597599705898968,-0.07049377922262616,-0.08459158469279729,0.0025477128686229016,-0.0022291981719865022,0.0025477128686229003,-0.0022291981719865027,-0.0022291981720031035,-0.050190133114859155,-0.0022291981728391444,-0.05019013311464506
1,0.7,1,0.4,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.65979,0.6073,0.72686,0.6569,0.72686,0.6569,0.63684,0.74223,0.6569,0.73677,0.23201831109645085,0.24364235361957554,0.23319616872671853,0.25028652979923943,0.23319616872671853,0.25028652979923943,0.2502865297999606,0.2152907047984,0.25028652979844,0.21529070479770226,-0.06341061572196915,-0.0766956826343557,0.004595298145543006,-1.9409068608723304e-4,0.004595298145543004,-1.9409068608723366e-4,-1.9409068595004577e-4,-0.04867044787710274,-1.9409068632840213e-4,-0.04867044787704089
1,0.7,1,0.4,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.66787,0.61735,0.72425,0.65614,0.72425,0.65614,0.63595,0.74189,0.65614,0.73686,0.23171982403899477,0.24279687784108903,0.2344259750168641,0.2507769010896041,0.2344259750168641,0.2507769010896041,0.2507769010916412,0.21635446206664943,0.2507769010892058,0.2163544620643228,-0.05824959524487062,-0.0707938927199315,0.004041693942704558,-7.825358823471626e-4,0.004041693942704558,-7.825358823471691e-4,-7.825358818006686e-4,-0.04895819307841624,-7.825358814042622e-4,-0.04895819307885083
1,0.7,1,0.4,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.67328,0.62716,0.7234,0.65507,0.7234,0.65507,0.6352,0.73869,0.65507,0.73284,0.22903249250661314,0.23990332852545804,0.23292007210389207,0.2503943943185415,0.23292007210389207,0.2503943943185415,0.2503943943192298,0.2157791619389648,0.25039439431637894,0.21577916193844746,-0.0542001915340057,-0.06554527593962986,0.002988877282402144,-0.0012338227441595138,0.002988877282402143,-0.0012338227441595164,-0.0012338227440378837,-0.05061845643334468,-0.0012338227445830533,-0.05061845643321695
1,0.7,1,0.4,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.68523,0.64019,0.72546,0.65581,0.72546,0.65581,0.63649,0.74039,0.65581,0.73427,0.22816415813839783,0.2381628779304553,0.23351839057683388,0.2506419869299572,0.23351839057677373,0.2506419869299572,0.2506419869321783,0.21586063031291405,0.2506419869285724,0.21586063031089087,-0.04804025837467803,-0.05836200981204077,0.003934586840390509,-3.909363040800421e-4,0.003934586840373669,-3.9093630408004417e-4,-3.909363036180138e-4,-0.04986415522099467,-3.909363036536441e-4,-0.04986415522123711
1,0.7,1,0.4,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.69552,0.64931,0.72651,0.65583,0.72651,0.65583,0.63585,0.74276,0.65583,0.73719,0.2262669317206122,0.23591809558988022,0.23260352831570122,0.249650059132651,0.2326035283153618,0.24965005913265104,0.24965005913474236,0.2147336068177369,0.24965005912861024,0.21473360681584777,-0.04243122447899308,-0.05214666456620631,0.003969807094259808,-5.598102833873234e-4,0.003969807094147467,-5.598102833873279e-4,-5.59810282935857e-4,-0.049288344313529506,-5.598102830886139e-4,-0.04928834431378128
1,0.7,1,0.4,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.70313,0.66125,0.72431,0.65601,0.72431,0.65601,0.63596,0.74424,0.65601,0.73849,0.22639440382318413,0.2354577454018011,0.23392427412586828,0.2506960697014751,0.23392427412579525,0.2506960697014749,0.2506960697021936,0.21559407126917154,0.25069606969767555,0.21559407126856525,-0.036721027534442084,-0.045470850627892724,0.0037217433531345056,-6.394775698227228e-4,0.003721743353114251,-6.39477569822799e-4,-6.394775697356156e-4,-0.04873832442529146,-6.394775703595817e-4,-0.0487383244251753
1,0.7,1,0.4,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.71289,0.67324,0.72633,0.65992,0.72633,0.65992,0.6401,0.74319,0.65992,0.73808,0.2257163440996689,0.23406046289820967,0.23398871267740368,0.25066302573187993,0.23398871267740368,0.25066302573187993,0.25066302573285093,0.21548278796895542,0.25066302573102095,0.21548278796806056,-0.030549678912413374,-0.03809398213606309,0.004986425307647638,8.551811698832609e-4,0.004986425307647638,8.551811698832535e-4,8.551811700835516e-4,-0.0485497085361275,8.551811699236735e-4,-0.04854970853607855
1,0.7,1,0.4,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.72202,0.68284,0.72725,0.6585,0.72725,0.6585,0.63889,0.7432,0.6585,0.73778,0.22432208872636641,0.2326639374401795,0.23337869656768376,0.2505134292839904,0.23337869656768376,0.2505134292837126,0.25051342928483383,0.21545765085932958,0.25051342928535403,0.21545765085823468,-0.025207766535092026,-0.032056430275550676,0.004864128123380831,5.733272860344379e-4,0.00486412812338083,5.733272859433164e-4,5.733272862051275e-4,-0.048396503906003786,5.733272869040381e-4,-0.04839650390606528
1,0.7,1,0.4,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H1,0.5,0.72759,0.69058,0.72499,0.65645,0.72499,0.65645,0.6366,0.74133,0.65645,0.73563,0.22451282145583776,0.23216840274086317,0.23422434168320222,0.2509382032392326,0.23422434168320222,0.2509382032392326,0.2509382032403311,0.21617006486287565,0.25093820323681065,0.2161700648618304,-0.02083856129989423,-0.02685960233285146,0.004047873502002094,-2.5707075206715554e-4,0.004047873502002094,-2.570707520671576e-4,-2.570707518329497e-4,-0.049402404202874846,-2.570707526652576e-4,-0.04940240420290453
