K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02112,0.02371,0.02144,0.02506,0.02144,0.02506,0.02303,0.03231,0.02506,0.03136,0.21341017926155517,0.22302954635943723,0.22211786945949888,0.241658683586613,0.22211786945949752,0.2416586835866122,0.24165868358778278,0.19705355485569978,0.2416586835866122,0.19705355485445214,-0.01624968700058271,-0.005611854943242594,-0.01786036277444642,-0.004449433836300351,-0.01786036277444638,-0.004449433836300451,-0.004449433836266742,0.020138721294273482,-0.004449433836300455,0.02013872129414769
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02171,0.02451,0.0217,0.02585,0.0217,0.02585,0.02362,0.03113,0.02585,0.03018,0.2135508209296575,0.22316532166060749,0.2222284505260091,0.2419321877486143,0.22222845052600787,0.24193218774861353,0.24193218774977765,0.19724199252733923,0.24193218774861353,0.19724199252608676,-0.013797747972919093,-0.004018377299511303,-0.015128186928018249,-0.0030836631611241175,-0.015128186928018145,-0.0030836631611240975,-0.0030836631610784643,0.01842835415531953,-0.0030836631611241014,0.01842835415520208
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.0218,0.02449,0.0222,0.02507,0.0222,0.02507,0.02282,0.03018,0.02507,0.02938,0.21384609724762843,0.22380422670100802,0.22226284639831018,0.24231657183161906,0.2222628463983089,0.24231657183161845,0.2423165718327947,0.19714693587424897,0.24231657183161845,0.1971469358729968,-0.01285423350188318,-0.00457957452910802,-0.014162109359753913,-0.003986098908115574,-0.014162109359753934,-0.003986098908115631,-0.003986098908081221,0.015315083017752484,-0.003986098908115632,0.01531508301765918
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02153,0.02415,0.02203,0.02502,0.02203,0.02502,0.02295,0.02928,0.02502,0.02835,0.21262430852197411,0.2228445631763025,0.22124500976300768,0.24125547597265862,0.22124500976300598,0.24125547597265787,0.24125547597384028,0.1960326614789477,0.24125547597265784,0.1960326614777008,-0.011076034692182385,-0.0038216553612698705,-0.01263840322873343,-0.003985784463349004,-0.012638403228733297,-0.0039857844633489304,-0.003985784463314751,0.013424208157803007,-0.003985784463348936,0.013424208157715636
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02324,0.02542,0.02355,0.02597,0.02355,0.02597,0.02371,0.02876,0.02597,0.02782,0.2133034512615104,0.22342954376584753,0.2217725127358756,0.2420201591394465,0.2217725127358743,0.24202015913944577,0.24202015914062477,0.19614535207249517,0.24202015913944577,0.19614535207124675,-0.010026104342759445,-0.0041469588754352955,-0.011131795877759877,-0.0044756880909433885,-0.011131795877759901,-0.0044756880909434344,-0.00447568809091234,0.010702202175179863,-0.004475688090943439,0.01070220217511174
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02373,0.02552,0.02367,0.02613,0.02367,0.02613,0.02387,0.02881,0.02613,0.02784,0.21361898672336968,0.22415903291533706,0.2217095886895632,0.24222222007603722,0.2217095886895617,0.2422222200760365,0.24222222007721483,0.19731692834768014,0.24222222007603653,0.1973169283464271,-0.007061355212460921,-0.002524029242943821,-0.00824743369292941,-0.002963575332692026,-0.00824743369292939,-0.002963575332691904,-0.0029635753326514285,0.00925549764846469,-0.0029635753326919074,0.009255497648407553
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02363,0.02506,0.02375,0.02625,0.02375,0.02625,0.02398,0.02843,0.02625,0.02768,0.2134199403267981,0.22411198525112136,0.2214416909155828,0.24201571465019137,0.22144169091558133,0.2420157146501903,0.24201571465136407,0.19701615529264824,0.2420157146501903,0.19701615529139613,-0.006501666269901681,-0.00323577406032379,-0.007482905302914008,-0.004208623362752762,-0.007482905302913852,-0.004208623362752696,-0.004208623362718934,0.007333126749578049,-0.004208623362752701,0.007333126749533785
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02378,0.02454,0.02363,0.02568,0.02363,0.02568,0.02347,0.02669,0.02568,0.02586,0.21236602842741056,0.22317136587269687,0.22050421218029365,0.2416718021417037,0.2205042121802919,0.24167180214170253,0.24167180214287656,0.19583589539304624,0.24167180214170253,0.19583589539180105,-0.004104110744669337,-0.002236456526161559,-0.005099826924225863,-0.003567667135861938,-0.005099826924226121,-0.0035676671358619363,-0.003567667135824775,0.004663762704504347,-0.0035676671358619376,0.004663762704475449
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02353,0.02457,0.02411,0.0251,0.02411,0.0251,0.0228,0.02564,0.0251,0.02484,0.21291165511268076,0.22370456642474496,0.220984262820505,0.24190497099844147,0.22098426282050376,0.24190497099844058,0.24190497099960873,0.1966124955519431,0.24190497099844058,0.19661249555069588,-0.0035318496582104784,-0.002776316586134089,-0.004501611074429377,-0.004554049585025617,-0.004501611074429284,-0.004554049585025433,-0.004554049584989528,0.002241489498931097,-0.004554049585025433,0.0022414894989138353
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02425,0.02423,0.024140000000000002,0.02514,0.024140000000000002,0.02514,0.0231,0.02487,0.02514,0.02399,0.21209951026283827,0.22254275717208577,0.22020301867111033,0.2410255559152097,0.22020301867110847,0.2410255559152088,0.24102555591637562,0.19569784599275047,0.2410255559152088,0.1956978459915036,-0.0025626403801909357,-0.0028892919372097716,-0.002977712469128436,-0.004540485007950721,-0.0029777124691287883,-0.004540485007950815,-0.004540485007915498,-0.0011122200369689714,-0.004540485007950817,-0.0011122200369620865
