K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.71364,0.69727,0.67789,0.64073,0.67789,0.64073,0.61858,0.83156,0.64073,0.8275,0.23056321317604755,0.24004149077539602,0.23915339825482454,0.2569372078127358,0.23915339825482446,0.25693720781273516,0.25693720782440366,0.21972057204925988,0.2569372078096081,0.21972057203615364,0.01255350483459019,0.025310777867676066,0.009992062259214509,0.026571331503781916,0.009992062259215244,0.02657133150378244,0.026571331506780187,0.05011204286792598,0.02657133150821603,0.050112042864839924
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.71673,0.69812,0.68067,0.63895,0.68067,0.63895,0.6173,0.82822,0.63895,0.82371,0.23062337985436598,0.2399819335210118,0.23959397442273125,0.2574022788995995,0.23959397442633518,0.2574022788995994,0.257402278914894,0.21892678257455345,0.25740227889621725,0.2189267825575859,0.011720621359922804,0.022444400984172736,0.009337951016082245,0.02322482105189015,0.009337951016993855,0.02322482105189061,0.023224821055601884,0.04518326055248861,0.023224821055091098,0.04518326054869871
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.71986000000000006,0.699,0.6847,0.63921,0.6847,0.63921,0.61698,0.82609,0.63921,0.82151,0.2302876558548135,0.23954341018683328,0.23923352570624196,0.25654068813690567,0.2392335257062419,0.25654068813690545,0.25654068814476,0.21757878422541677,0.25654068812925096,0.21757878421606694,0.011712940721348484,0.020937675967718356,0.0097051216005622,0.02139206308010349,0.00970512160056273,0.021392063080104003,0.021392063082022985,0.041197042965117385,0.021392063083438214,0.041197042963131786
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72107,0.69874,0.68541,0.63889,0.68541,0.63889,0.61723,0.82391,0.63889,0.81916,0.22976361828107536,0.23870098152197186,0.2387861166771371,0.25602169711207207,0.23878611667713506,0.2560216971120717,0.25602169711626543,0.21587591459290315,0.25602169710558104,0.21587591458808708,0.00903384411358046,0.017019974093541418,0.0069895885411099205,0.016967477904641773,0.006989588541109212,0.016967477904642193,0.016967477905246883,0.03465922570887351,0.016967477907200358,0.03465922570822176
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72429,0.7002,0.69167,0.63921,0.69167,0.63921,0.61813,0.82168,0.63921,0.81687,0.2295129868886164,0.2384677746314562,0.23805725337908648,0.2554777933357286,0.23805725338404612,0.25547779333572834,0.25547779334472814,0.2156515548980336,0.2554777933297496,0.2156515548872083,0.009420111392177166,0.015935350642215636,0.007515322974495932,0.015358150151995981,0.007515322975459542,0.01535815015199651,0.01535815015405826,0.030834612471770724,0.01535815015761358,0.030834612469675428
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72523,0.69688,0.69209,0.63796,0.69209,0.63796,0.6158,0.81729,0.63796,0.81284,0.2299770493364692,0.23915143234455266,0.23857864828572406,0.2561564160996762,0.23857864828572375,0.256156416099676,0.25615641610522893,0.21522974730189798,0.256156416091052,0.21522974729513558,0.007112546911328206,0.011945825267748924,0.005867382795684844,0.011823419753282532,0.005867382795685478,0.011823419753283366,0.01182341975447335,0.02476238011239104,0.011823419757808198,0.024762380111180878
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.72927,0.70061,0.69618,0.63858,0.69618,0.63858,0.61647,0.81513,0.63858,0.81052,0.2296059939661452,0.23883268718811929,0.2384624400398453,0.25613420409784166,0.2384624400398445,0.25613420409784143,0.2561342041145156,0.2146146941667925,0.25613420409387955,0.2146146941487399,0.006429248194326321,0.010097408379131458,0.00549725345969516,0.00964770168860824,0.00549725345969543,0.009647701688608876,0.00964770169265975,0.020183725154610598,0.009647701693500705,0.020183725150614784
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.73324,0.70107,0.69978,0.63879,0.69978,0.63879,0.61728,0.81114,0.63879,0.80653,0.22945701691911033,0.23852968285194656,0.23849802686323301,0.2560730366679012,0.23849802686323304,0.25607303666790104,0.25607303668134324,0.2140769884555039,0.25607303666881137,0.21407698843863968,0.005161783347397022,0.00727251071571298,0.004562080844369211,0.006785054180560495,0.004562080844369789,0.006785054180561005,0.00678505418417132,0.014692307381204053,0.006785054184644729,0.01469230737760167
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.73761,0.70285,0.70363,0.63974,0.70363,0.63974,0.61842,0.81024,0.63974,0.80554,0.2294159508929756,0.23867238412980926,0.2381683542792523,0.2558283065233133,0.23816835428402067,0.2558283065233131,0.2558283065355588,0.21352560943239082,0.2558283065197373,0.21352560941800378,0.004360885223041491,0.004927431319478451,0.0036733597386037166,0.0036214424943353174,0.0036733597396123754,0.0036214424943358994,0.00362144249733236,0.009668115232711997,0.0036214424981000663,0.009668115229737644
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.73768,0.70034,0.70525,0.63852,0.70525,0.63852,0.61633,0.80483,0.63852,0.79957,0.2299642041067847,0.23908205129356888,0.23860362479377145,0.2563963903834437,0.23860362479377142,0.256396390383443,0.25639639039054396,0.21389930153471368,0.2563963903784209,0.21389930152623193,0.0021044383502692413,0.001451988264875782,0.0019680945676326905,1.9216132825052482e-4,0.0019680945676334486,1.9216132825099208e-4,1.9216132978851943e-4,0.0034967802957487013,1.9216133156779895e-4,0.003496780294251488
1,0.7,1,1.8,1.8,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.74045,0.69999,0.70909,0.63834,0.70909,0.63834,0.6165,0.804,0.63834,0.7992,0.23037618782712396,0.2397819831394967,0.23895346273600576,0.25723104253535667,0.2389534627360056,0.25723104253531937,0.2572310425433158,0.2140552439474088,0.2572310425270827,0.21405524393815184,0.0018274560292792427,-7.97641090462964e-4,0.0014539090024123574,-0.0029163379787949108,0.0014539090024132994,-0.0029163379787760903,-0.002916337976886263,-9.517016482326811e-4,-0.002916337974836631,-9.517016500721917e-4
1,0.7,1,1.8,1.8,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.74463,0.7036,0.71265,0.64198,0.71265,0.64198,0.62005999999999994,0.80052,0.64198,0.79562,0.22959793381140844,0.23887474314167678,0.23782961784609577,0.2556823918581923,0.23782961784896972,0.25568239186040004,0.2556823918662855,0.2138284314418832,0.25568239185224034,0.21382843143152538,0.001632799326844693,-0.002274507551623187,0.0015847230546830562,-0.004509965644238926,0.0015847230556135694,-0.004509965643346285,-0.004509965642117603,-0.005735833532566322,-0.004509965639898784,-0.00573583353461921
1,0.7,1,1.8,1.8,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.74603,0.70284,0.71541,0.63884,0.71541,0.63884,0.61661,0.79503,0.63884,0.79032,0.22969997552892626,0.2390481242851321,0.23807386249801307,0.25612220423089,0.23807386249801296,0.2561222042308899,0.25612220424022236,0.2147622802796829,0.2561222042243337,0.21476228026810054,-0.0016454792343042648,-0.006908383428985093,-0.0018054638352243758,-0.010153544186373951,-0.0018054638352234635,-0.010153544186373346,-0.010153544183912537,-0.012559006487282294,-0.010153544185919959,-0.012559006489664903
1,0.7,1,1.8,1.8,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H1_1,0.5,0.74898,0.70343,0.71848,0.64067,0.71848,0.64067,0.61895,0.79291,0.64067,0.78782,0.2290244774255559,0.23829909383316733,0.23758393089297894,0.25551127656046496,0.23758393089286686,0.2555112765604608,0.25551127656856,0.2143416067312796,0.25551127655699923,0.2143416067224705,-0.0031013587818300506,-0.010145446985723582,-0.0024891570148507483,-0.012910802876927216,-0.0024891570147351654,-0.012910802876928681,-0.012910802875089908,-0.017671313446610448,-0.01291080287486714,-0.017671313448483116
