K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.01956,0.02183,0.0219,0.02574,0.0219,0.02574,0.02355,0.03202,0.02574,0.03122,0.21073683277942215,0.21780843721246979,0.22098891137397564,0.24038398690055662,0.22098891137397564,0.24038398690055665,0.24038398690173135,0.19647787113006485,0.24038398690055665,0.1964778711288188,-0.02277291194698571,-0.013289264456158165,-0.01597855187506403,-0.0025748389361378203,-0.01597855187506403,-0.002574838936137822,-0.0025748389361016986,0.019864826543264436,-0.0025748389361378242,0.019864826543142793
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02009,0.02307,0.02149,0.02575,0.02149,0.02575,0.02363,0.03206,0.02575,0.031,0.2115348838889577,0.2187874418212166,0.22197416218180352,0.24148289335164605,0.2219741621818035,0.24148289335164605,0.24148289335282022,0.19752969445457502,0.24148289335164608,0.19752969445332322,-0.021099813636208917,-0.01176421564959117,-0.016931732237445377,-0.004057971574343735,-0.016931732237445377,-0.004057971574343735,-0.004057971574311215,0.019395005101600266,-0.004057971574343738,0.019395005101479016
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02081,0.02382,0.02131,0.02549,0.02131,0.02549,0.02325,0.03154,0.02549,0.03052,0.21136152016496965,0.21880329608185142,0.22238053954633413,0.2422926998062035,0.22238053954633413,0.2422926998062035,0.2422926998073878,0.1972345541268588,0.2422926998062035,0.19723455412560617,-0.0170062350219841,-0.007768195967178648,-0.01549214661636981,-0.002836424788009006,-0.01549214661636981,-0.0028364247880090067,-0.0028364247879691267,0.020345010861104653,-0.002836424788009012,0.020345010860978084
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02173,0.02447,0.02208,0.02597,0.02208,0.02597,0.0238,0.03219,0.02597,0.03128,0.21071440876864886,0.21828993895762286,0.22190403320681784,0.24205945340538554,0.22190403320681784,0.24205945340538554,0.24205945340656232,0.19710360539096716,0.24205945340538554,0.19710360538971852,-0.014751627167488754,-0.005758609930822329,-0.015499881257126607,-0.0030107067919918876,-0.015499881257126607,-0.0030107067919918867,-0.003010706791954688,0.019910767776467712,-0.0030107067919918924,0.019910767776343454
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02159,0.02424,0.02119,0.02552,0.02119,0.02552,0.02322,0.0322,0.02552,0.03105,0.21019300279989553,0.2174705993822846,0.22167748801635354,0.2412731249067831,0.22167748801635354,0.2412731249067831,0.2412731249079611,0.19662214451360308,0.2412731249067831,0.19662214451235158,-0.012622738692084275,-0.00332941310429145,-0.0162501026936512,-0.0030109225455883584,-0.0162501026936512,-0.00301092254558836,-0.003010922545555109,0.019951916961846398,-0.003010922545588364,0.019951916961722986
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02175,0.0251,0.02114,0.02554,0.02114,0.02554,0.02335,0.03184,0.02554,0.03092,0.209443074304212,0.2173085635959884,0.22089123563876414,0.24107012422886542,0.22089123563876414,0.24107012422886542,0.24107012423004087,0.19649367465639211,0.24107012422886542,0.1964936746551473,-0.009732604157583875,-4.296562023980721e-4,-0.015818096551990315,-0.0027194188775085102,-0.015818096551990315,-0.0027194188775085124,-0.002719418877468271,0.02016084411550114,-0.0027194188775085154,0.020160844115374933
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02245,0.02527,0.02117,0.02581,0.02117,0.02581,0.02345,0.03176,0.02581,0.03063,0.20961009574746262,0.21716113586663263,0.22137985785162856,0.24105262806017694,0.22137985785162856,0.24105262806017694,0.24105262806134908,0.19610274813331446,0.24105262806017697,0.19610274813206854,-0.007525204557681321,0.0015043797513864332,-0.016447609034171674,-0.003617927630583757,-0.016447609034171678,-0.0036179276305837557,-0.0036179276305498644,0.01969426471269419,-0.003617927630583761,0.019694264712572348
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02353,0.02651,0.02155,0.02646,0.02155,0.02646,0.02421,0.03249,0.02646,0.03124,0.21027152411230313,0.21820953448443686,0.22210281799634432,0.24207032206825788,0.22210281799634432,0.24207032206825788,0.2420703220694406,0.19723187401586598,0.24207032206825788,0.19723187401461323,-0.004221868134960919,0.00486972056468135,-0.015521929610092801,-0.002396898600409709,-0.0155219296100928,-0.0023968986004097113,-0.002396898600371899,0.02006212663447349,-0.0023968986004097147,0.0200621266343487
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02459,0.02723,0.02175,0.02596,0.02175,0.02596,0.02387,0.03234,0.02596,0.03139,0.21034076421725148,0.21813382483129629,0.22247608999846655,0.2423588821680895,0.22247608999846655,0.2423588821680895,0.2423588821692555,0.1974940186835235,0.2423588821680895,0.19749401868227748,-0.002516123388244799,0.006666357848993559,-0.016795219836018987,-0.003711760048165828,-0.016795219836018987,-0.003711760048165833,-0.003711760048130884,0.019574197964507854,-0.003711760048165835,0.019574197964386163
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,250,DIFF,H0,0.5,0.02559,0.02809,0.02131,0.02554,0.02131,0.02554,0.02345,0.0326,0.02554,0.03147,0.21084157249819985,0.2183428347744974,0.22294651613585165,0.2423349488746682,0.22294651613585165,0.2423349488746682,0.24233494887583604,0.19783536684163583,0.2423349488746682,0.1978353668403865,-1.2848619319858553e-5,0.008795028879354419,-0.01686803966320489,-0.004116107032993364,-0.01686803966320489,-0.004116107032993363,-0.00411610703295984,0.01934515764177599,-0.00411610703299337,0.019345157641657146
