K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.70754,0.70326,0.66332,0.63838,0.66332,0.63838,0.61667,0.85996,0.63838,0.85629,0.22944534776255535,0.23737157476706872,0.23959908718080897,0.2549288551472311,0.23959908718363068,0.2549288551467855,0.254928855158302,0.21676106071615361,0.25492885514516495,0.21676106069986603,-0.018252195208927735,0.0017618855592233678,-0.025805385300764976,-1.5897420846893101e-4,-0.02580538529979242,-1.589742086125469e-4,-1.5897420492364206e-4,0.045645953649665116,-1.589742028760954e-4,0.04564595364574593
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.70999,0.7023,0.66692,0.63886,0.66692,0.63886,0.61725,0.85286,0.63886,0.84882,0.23018110532743113,0.2379457462222465,0.23988296449175966,0.2555029435351093,0.23988296449639374,0.25550294353510883,0.25550294354874614,0.2166521339351187,0.2555029435343997,0.21665213391964233,-0.016196818840650485,0.0016817657758999062,-0.02262343706989027,3.398877665057833e-5,-0.022623437068943122,3.3988776650885456e-5,3.3988779835460985e-5,0.040608371140035404,3.398878134457322e-5,0.0406083711366549
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.71619,0.70339,0.67356,0.63835,0.67356,0.63835,0.61671,0.84739,0.63835,0.84342,0.23054558945570347,0.23858340538112194,0.24007338831531885,0.2558716164277271,0.24007338831531763,0.25587161642772693,0.25587161643606027,0.21698242508747173,0.2558716164198895,0.21698242507807458,-0.012253575689974013,0.0026650146099448852,-0.018265025111846477,4.8283456994693315e-4,-0.018265025111846633,4.828345699474484e-4,4.8283457182986137e-4,0.037466720533512916,4.8283457459709735e-4,0.037466720531453314
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.71848,0.70445,0.67706,0.64022,0.67706,0.64022,0.61857,0.84301,0.64022,0.83895,0.22937144646213775,0.2378579641021147,0.23874995515324662,0.25567708406014233,0.23874995515324632,0.2556770840601422,0.25567708407565104,0.21496036910327382,0.25567708406301554,0.21496036908530647,-0.010076334018346214,0.0029065281268822653,-0.015091521963138144,0.0010988098188794374,-0.015091521963137601,0.0010988098188798963,0.0010988098226548748,0.03268802806820246,0.001098809822035822,0.03268802806429021
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.72144,0.70402,0.68427,0.64068,0.68427,0.64068,0.61937,0.83733,0.64068,0.83257,0.22953643381419406,0.2381168402458572,0.2386239028477966,0.25532272284187546,0.23862390285186416,0.255322722841875,0.25532272285273666,0.21472792020504416,0.25532272284015817,0.21472792019253295,-0.007953272303939243,0.0030827344210777536,-0.01210723416444908,0.0015861650991287487,-0.012107234163506744,0.0015861650991294473,0.0015861651015732815,0.028140864192359887,0.0015861651026296477,0.028140864189806002
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.72613,0.70271,0.68707,0.64125,0.68707,0.64125,0.61901,0.83066,0.64125,0.82645,0.2298947934097301,0.2388916931934552,0.2389068310924692,0.2563104020546948,0.23890683109246824,0.25631040205469463,0.25631040205853073,0.21488409784149448,0.2563104020510096,0.21488409783704074,-0.005273423426734851,0.003229052119496618,-0.008765955958170335,0.0015193850307814157,-0.00876595595817016,0.0015193850307820018,0.00151938503139543,0.02374802160909915,0.0015193850324609509,0.0237480216084114
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.72796,0.70324,0.69247,0.63885,0.69247,0.63885,0.61731,0.82342,0.63885,0.81883,0.2296615614258505,0.2388121047322002,0.23836154295897755,0.2561749813019028,0.2383615429589774,0.2561749813019025,0.25617498130873556,0.21460848034727806,0.2561749812949981,0.21460848033892632,-0.004266490227991021,0.0017962957258510872,-0.007073328367720714,2.4343474835840732e-5,-0.007073328367720448,2.434347483624388e-5,2.434347644591735e-5,0.017951988197289853,2.43434785941306e-5,0.01795198819559669
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.73102,0.70246,0.69817,0.64235,0.69817,0.64235,0.62055,0.81856,0.64235,0.81401,0.23058344624552166,0.23909693992347975,0.23928193113116364,0.25631318498700667,0.23928193113116006,0.25631318498700645,0.25631318499142713,0.2149104364071154,0.25631318498154443,0.21491043640166183,-8.267480444211306e-4,0.0029710952989147905,-0.002836033393445794,0.0011294875726257957,-0.0028360333934461276,0.001129487572626419,0.001129487573516617,0.014841298359011029,0.001129487577053062,0.01484129835809549
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.73625,0.70377,0.70288,0.64268,0.70288,0.64268,0.62115,0.81347,0.64268,0.80863,0.22938175791678955,0.2383009820834871,0.23763679189260284,0.2552009250256203,0.2376367918953172,0.25520092502562025,0.2552009250347269,0.21379790569088003,0.2552009250255796,0.21379790567857196,9.602492096647795e-4,0.0023029103803874273,-1.2688036022007654e-4,9.805537960487624e-4,-1.2688035940450863e-4,9.805537960492262e-4,9.80553798627821e-4,0.009315378219357113,9.80553796678236e-4,0.009315378216847765
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,250,EQ,H1_1,0.5,0.73793,0.70101,0.70541,0.63947,0.70541,0.63947,0.6171,0.80525,0.63947,0.80038,0.2306732724756877,0.23956261436655388,0.2393971507120086,0.2569915670601604,0.2393971507120076,0.25699156706016035,0.25699156706886234,0.21456377213643263,0.2569915670523517,0.214563772125711,0.0025292408559770265,0.0016094475866606792,0.001837207560560454,-3.415704191906001e-4,0.0018372075605606656,-3.4157041918993913e-4,-3.41570417194747e-4,0.003953718224723876,-3.4157041585456234e-4,0.003953718223052813
