K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.0207,0.02393,0.02044,0.0253,0.02044,0.0253,0.02342,0.01536,0.0253,0.0149,0.20612051044509036,0.21325770305267766,0.21718476251164626,0.236200620167423,0.21718476251164626,0.236200620167423,0.23620062016846868,0.19597112615722542,0.236200620167423,0.19597112615618206,-0.016116641008059335,-0.005224561406316311,-0.01997619634556172,-0.005049915975434789,-0.01997619634556172,-0.005049915975434787,-0.005049915975579886,-0.03922430433681045,-0.005049915975434791,-0.03922430433660642
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02127,0.02442,0.02096,0.02537,0.02096,0.02537,0.02356,0.01679,0.02537,0.01639,0.2070425511904658,0.2144828518291021,0.21782946576606788,0.2370446512324744,0.21782946576606788,0.2370446512324744,0.23704465123355084,0.19645572856377336,0.2370446512324744,0.19645572856268886,-0.0139678770322999,-0.003966860582019796,-0.016779587313713495,-0.0027721053347644796,-0.016779587313713495,-0.0027721053347644817,-0.002772105334889005,-0.03443326757071869,-0.0027721053347644843,-0.03443326757053161
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02263,0.02487,0.02224,0.02594,0.02224,0.02594,0.02421,0.01812,0.02594,0.01753,0.208022104607078,0.21544130920957302,0.21863130254097804,0.23797272069782888,0.21863130254097804,0.23797272069782888,0.23797272069894052,0.19653334993596355,0.23797272069782888,0.19653334993484411,-0.012140781782364567,-0.003794578883809739,-0.014982663129470384,-0.0034400532924914115,-0.014982663129470383,-0.003440053292491415,-0.0034400532926019117,-0.030197996516130952,-0.0034400532924914154,-0.03019799651596468
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.0222,0.02474,0.02196,0.0253,0.02196,0.0253,0.02337,0.0185,0.0253,0.01778,0.20713339702581546,0.21464138866475266,0.21771878535730868,0.23714074554896872,0.21771878535730868,0.23714074554896872,0.23714074555009954,0.19517693169663233,0.23714074554896872,0.1951769316954877,-0.010126983864847708,-0.0033160698641061344,-0.01251330281314082,-0.00316729043685672,-0.01251330281314082,-0.00316729043685672,-0.003167290436956167,-0.025622289014876263,-0.0031672904368567245,-0.025622289014723378
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02282,0.02473,0.02245,0.02614,0.02245,0.02614,0.02406,0.01959,0.02614,0.01898,0.20786375771623622,0.21558460510310812,0.21831801095080602,0.23836595901656193,0.21831801095080602,0.23836595901656193,0.23836595901772462,0.19550778321686044,0.23836595901656193,0.19550778321568196,-0.008593857871018622,-0.002735975039317705,-0.011024061095511654,-0.0027859339045163516,-0.011024061095511654,-0.0027859339045163563,-0.0027859339045923715,-0.021044619289863564,-0.0027859339045163576,-0.021044619289739205
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02356,0.02436,0.0231,0.02573,0.0231,0.02573,0.02359,0.02094,0.02573,0.02034,0.2081505307340212,0.21583530904589793,0.2189016010520926,0.23859147557998278,0.2189016010520926,0.2385914755799828,0.23859147558116364,0.1949776922437588,0.2385914755799828,0.19497769224255995,-0.006628985257499541,-0.0020739617037788907,-0.00895587974009188,-0.0027244898451950768,-0.008955879740091878,-0.0027244898451950802,-0.0027244898452538305,-0.016699367318360515,-0.0027244898451950824,-0.01669936731826057
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02304,0.02481,0.02322,0.02585,0.02322,0.02585,0.02383,0.02212,0.02585,0.0213,0.20812672972094554,0.21611236031431935,0.2187258615769332,0.23957374712663346,0.2187258615769332,0.23957374712663346,0.2395737471278219,0.1949199292236868,0.23957374712663346,0.19491992922246765,-0.0065298953935930305,-0.003235072159412475,-0.008403909813933854,-0.0041486654756768505,-0.008403909813933854,-0.00414866547567685,-0.004148665475722378,-0.013264163104214896,-0.004148665475676855,-0.01326416310413169
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02324,0.02447,0.02363,0.02538,0.02363,0.02538,0.02344,0.02238,0.02538,0.02175,0.20858201053186648,0.2166383125351403,0.21979727934176196,0.24053988477337632,0.21979727934176196,0.24053988477337634,0.24053988477456295,0.19491439404773314,0.24053988477337632,0.1949143940465027,-0.004402947549220741,-0.002590817353731838,-0.006221979971720615,-0.003922780592029805,-0.0062219799717206144,-0.003922780592029808,-0.003922780592044442,-0.009030743187678214,-0.003922780592029811,-0.009030743187623194
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02445,0.02503,0.02438,0.02561,0.02438,0.02561,0.0231,0.02513,0.02561,0.0243,0.20958000003469807,0.21733556839656887,0.22045538763595907,0.24095192149105504,0.22045538763595907,0.24095192149105504,0.24095192149224226,0.19633470557815916,0.24095192149105504,0.1963347055769113,-0.0016798803474902106,-0.0010552965694983877,-0.0034468833334824257,-0.0033970577834429045,-0.0034468833334824257,-0.003397057783442911,-0.003397057783429019,-0.004018144256006178,-0.0033970577834429114,-0.004018144255983448
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02423,0.02423,0.02436,0.02446,0.02436,0.02446,0.02234,0.02571,0.02446,0.02471,0.21030405276004244,0.21829975026072684,0.22107981807346708,0.2420825694154004,0.22107981807346708,0.24208256941540043,0.24208256941657424,0.19717437882354485,0.24208256941540043,0.1971743788222965,-0.0018678067457711216,-0.0026723172371006143,-0.003159447522582037,-0.004926434655942021,-0.0031594475225820364,-0.004926434655942024,-0.004926434655909513,-9.300668368493372e-4,-0.0049264346559420285,-9.300668368434164e-4
1,0.7,1,0.4,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,500,EQ,H0,0.5,0.02532,0.02503,0.02499,0.02498,0.02499,0.02498,0.02278,0.02679,0.02498,0.02581,0.20988854397522277,0.21789717019020335,0.2208782079298254,0.24179288283931424,0.2208782079298254,0.24179288283931427,0.24179288284045797,0.19620367365150013,0.24179288283931424,0.19620367365026106,5.011406906677713e-4,-0.0014995861783041763,-7.806568114969006e-4,-0.004371594345038814,-7.806568114969004e-4,-0.004371594345038812,-0.0043715943449726645,0.004270110247855851,-0.004371594345038821,0.004270110247827979
