K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.02418,0.03048,0.02032,0.02524,0.02032,0.02524,0.02347,0.01517,0.02524,0.01474,0.2079388248103646,0.21764423475306324,0.21729632381873235,0.23614750917175556,0.21729632381873235,0.23614750917175542,0.2361475091728011,0.19626982479421357,0.23614750917175542,0.1962698247931626,-0.003058728261476711,0.016243215544745452,-0.019826515188078382,-0.005064465135943563,-0.019826515188078396,-0.005064465135943529,-0.005064465136086393,-0.039062497607406696,-0.005064465135943529,-0.039062497607201804
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.0241,0.03001,0.02117,0.0263,0.02117,0.0263,0.02455,0.01651,0.0263,0.01611,0.20865190540767045,0.21865051502333221,0.21795204093445694,0.23721008533027169,0.2179520409344569,0.23721008533027163,0.23721008533132357,0.19707512368309618,0.23721008533027163,0.1970751236820411,-0.004108789803320474,0.014506923718363778,-0.0184843910529458,-0.0031540608369502766,-0.018484391052945807,-0.0031540608369502524,-0.0031540608370857724,-0.03800159266816091,-0.0031540608369502576,-0.03800159266796085
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.02258,0.028,0.02039,0.02554,0.02039,0.02554,0.02347,0.0157,0.02554,0.01513,0.20756368757238372,0.2168011361259238,0.21667053081265944,0.2352749529090019,0.21667053081265936,0.23527495290900172,0.2352749529100457,0.1958047160933804,0.23527495290892855,0.19580471609233085,-0.007332553617591611,0.009476095138724534,-0.018770992387813382,-0.0038198913690434865,-0.018770992387813427,-0.003819891369043449,-0.0038198913691830125,-0.03805868197626296,-0.0038198913689239666,-0.03805868197606172
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.02122,0.02595,0.02015,0.02475,0.02015,0.02475,0.02305,0.01545,0.02475,0.01507,0.2079033792798089,0.21743120565071897,0.21658701495168098,0.23562544647165548,0.21658701495168087,0.2356254464716553,0.23562544647269945,0.19592805991966925,0.2356254464716553,0.19592805991862308,-0.010276980885971846,0.0051068728510901855,-0.019047266414613302,-0.004428599646723288,-0.01904726641461329,-0.004428599646723288,-0.004428599646863769,-0.03817224662647279,-0.004428599646723287,-0.03817224662627196
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.0226,0.02605,0.02187,0.02513,0.02187,0.02513,0.02329,0.01643,0.02513,0.01587,0.20962613914413109,0.21872386674019687,0.21833978020235345,0.23641064184846147,0.21833978020235334,0.2364106418484611,0.2364106418495111,0.19673593358261643,0.2364106418484611,0.19673593358156238,-0.013004237250270912,0.0012038846828961892,-0.019146828071388858,-0.003984809532268946,-0.01914682807138889,-0.003984809532268919,-0.003984809532408877,-0.03849066239175766,-0.003984809532268921,-0.03849066239155387
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.02071,0.02432,0.02089,0.02474,0.02089,0.02474,0.02285,0.01548,0.02474,0.01503,0.208928530598703,0.21831019199215618,0.21725354893726886,0.23600677403008355,0.21725354893726867,0.23600677403008327,0.23600677403113487,0.19649814494296883,0.23600677403008327,0.19649814494191611,-0.015726242679834242,-0.0026648307613588674,-0.019295953818062133,-0.004088462955087342,-0.019295953818062088,-0.004088462955087354,-0.004088462955226621,-0.03860756049029902,-0.004088462955087358,-0.038607560490096005
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.0206,0.02455,0.02056,0.02575,0.02056,0.02575,0.02368,0.01596,0.02575,0.01545,0.20929189757539535,0.21873677663886426,0.21727991042157102,0.23616402116998955,0.2172799104215707,0.23616402116998936,0.23616402117103957,0.19617027296420605,0.23616402116998936,0.19617027296315329,-0.01816923882515321,-0.006546169917794517,-0.019459585814460268,-0.004175934658380211,-0.019459585814460324,-0.004175934658380152,-0.004175934658522035,-0.03855774091406652,-0.004175934658380153,-0.03855774091386199
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.01958,0.02237,0.02113,0.02469,0.02113,0.02469,0.02301,0.01521,0.02469,0.0147,0.2096114944094248,0.21916648497733884,0.21724743160666923,0.2360901334415837,0.2172474316066687,0.2360901334415831,0.23609013344262883,0.19607461758164155,0.2360901334415831,0.1960746175805926,-0.021156600499215264,-0.011462891372776169,-0.01956714061210266,-0.00496607910171394,-0.019567140612102508,-0.0049660791017139706,-0.004966079101857555,-0.03887752819147793,-0.004966079101713973,-0.03887752819127397
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.01995,0.02202,0.02116,0.02491,0.02116,0.02491,0.02301,0.01612,0.02491,0.01555,0.21123352467283998,0.220443038204706,0.21836049296624124,0.2363079489500648,0.21836049296624066,0.23630794895006427,0.23630794895111273,0.1975627493360276,0.23630794895006427,0.19756274933496829,-0.022967385820432912,-0.014268018507573388,-0.019016743627101707,-0.003664448936266043,-0.019016743627101523,-0.003664448936265941,-0.003664448936402316,-0.03882835271564325,-0.0036644489362659405,-0.038828352715437574
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.01857,0.02087,0.02022,0.0245,0.02022,0.0245,0.02273,0.01557,0.0245,0.01497,0.21030036224720872,0.21985080706539706,0.21703859101238582,0.23568778139197694,0.21703859101238457,0.23568778139197616,0.23568778139302735,0.19608959111699795,0.23568778139197616,0.19608959111594187,-0.02627496769578921,-0.01914895715490199,-0.01927138968252903,-0.004428504530108696,-0.0192713896825289,-0.004428504530108668,-0.0044285045302477006,-0.03895078743880667,-0.00442850453010867,-0.03895078743860286
