K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.04135,0.04233,0.02856,0.02507,0.02856,0.02507,0.02261,0.04054,0.02507,0.03933,0.2215124519459232,0.23156707279154864,0.22589712086135208,0.24827413510617732,0.22589712086135208,0.2482741351061772,0.24827413510685767,0.2052370875818713,0.2482741351061772,0.2052370875809622,0.0518103213141673,0.056429960584021735,0.016221143357938905,-0.004633807463129477,0.016221143357938905,-0.004633807463129441,-0.004633807462832038,0.04341344049023727,-0.004633807463129446,0.04341344049003031
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.04178,0.04217,0.03087,0.02712,0.03087,0.02712,0.02441,0.04219,0.02712,0.04091,0.22262438051161393,0.23206690604109823,0.22790663351679213,0.2492408072673661,0.22790663351679208,0.2492408072673661,0.24924080726992823,0.2058913797745093,0.2492408072673661,0.20589137977361102,0.04887933659243247,0.051800757741203914,0.016860157881294333,-0.0038492812788385334,0.016860157881294344,-0.0038492812788385833,-0.003849281278941631,0.04319506627417349,-0.0038492812788385846,0.04319506627397899
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03931,0.03973,0.02897,0.0245,0.02897,0.0245,0.02208,0.04143,0.0245,0.04002,0.22057256604605122,0.23035415924439465,0.22579829337839494,0.2477728471142223,0.22579829337839485,0.24777284711422218,0.2477728471148424,0.2054801530794367,0.24777284711422218,0.20548015307853498,0.04653494825573375,0.04806627918550891,0.017421348213131255,-0.003177734882062388,0.01742134821313125,-0.003177734882062495,-0.0031777348817550793,0.044280501851153946,-0.003177734882062495,0.044280501850950726
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.0397,0.03875,0.03017,0.02611,0.03017,0.02611,0.02364,0.04208,0.02611,0.04056,0.22108623757924445,0.23110983896174314,0.22690828889266426,0.24935547461851698,0.22690828889266418,0.249355474618517,0.249355474619595,0.20593559250304264,0.249355474618517,0.20593559250214372,0.04335254621690641,0.04382597505309313,0.016857750364672124,-0.003422602941755071,0.01685775036467206,-0.0034226029417550735,-0.0034226029415475438,0.04379436372832607,-0.0034226029417550752,0.04379436372813193
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03725,0.03652,0.029760000000000002,0.02536,0.029760000000000002,0.02536,0.02257,0.04103,0.02536,0.0395,0.22015576394498373,0.22963327129355138,0.22656584870253196,0.2480722836997509,0.22656584870253188,0.2480722836997507,0.248072283700415,0.20493810157448256,0.24807228369975068,0.20493810157358827,0.04002892240726148,0.038867617808767636,0.01659568366443254,-0.003354252724332182,0.016595683664432478,-0.003354252724332388,-0.003354252724037522,0.04321688641480168,-0.0033542527243323886,0.04321688641460464
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03663,0.03521,0.0298,0.02513,0.0298,0.02513,0.02278,0.04153,0.02513,0.04021,0.21976147676675628,0.22904961288226136,0.2264437641629777,0.2482492983070313,0.22644376416297757,0.2482492983070309,0.24824929830767825,0.20600729121557915,0.2482492983070309,0.20600729121468092,0.036963986351974315,0.033972271092088446,0.0164993370183064,-0.0036576216626918712,0.016499337018306394,-0.003657621662691972,-0.003657621662397192,0.0434762871323562,-0.003657621662691974,0.04347628713216156
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03486,0.03426,0.02949,0.02611,0.02949,0.02611,0.02335,0.04084,0.02611,0.03928,0.2188894878783029,0.2286877212961365,0.2256952951230227,0.24778551664849108,0.22569529512302236,0.2477855166484908,0.24778551664916382,0.20501345873764665,0.2477855166484908,0.20501345873675156,0.0352041238621705,0.030706609908094772,0.01764591157619121,-0.002817511262144327,0.017645911576191102,-0.00281751126214444,-0.0028175112618491556,0.04427809778871075,-0.002817511262144442,0.04427809778851171
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03362,0.03111,0.02859,0.02471,0.02859,0.02471,0.02193,0.04041,0.02471,0.0391,0.21843022239584042,0.22806606125787224,0.2257703959132136,0.24826394659711418,0.22577039591321313,0.24826394659711393,0.24826394659824236,0.205254605626429,0.24826394659711393,0.20525460562552603,0.029068004103413224,0.023167291036122965,0.014266806904661413,-0.0058501460885609985,0.014266806904661408,-0.005850146088560882,-0.0058501460883633935,0.04112696283519913,-0.005850146088560887,0.04112696283501404
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03381,0.03155,0.02955,0.02576,0.02955,0.02576,0.02318,0.04043,0.02576,0.03915,0.21854476720565352,0.22837587425394903,0.22607094981052517,0.24820443153156033,0.22607094981052456,0.24820443153155997,0.24820443153221983,0.20515819575522543,0.24820443153155997,0.2051581957543229,0.028678214403361733,0.02154071513187667,0.016197710960267193,-0.003771648930317753,0.01619771096026728,-0.003771648930318013,-0.0037716489300231018,0.04293524632409388,-0.003771648930318016,0.04293524632390115
1,0.7,1,1.8,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H0_1,0.5,0.03268,0.03033,0.03004,0.02574,0.03004,0.02574,0.02294,0.042,0.02574,0.04054,0.2191398978233636,0.22927732289598954,0.22671372080543145,0.2492096608760308,0.2267137208054306,0.2492096608760306,0.2492096608766948,0.20611941113960225,0.2492096608760306,0.2061194111387049,0.026045974100899802,0.016954250876633513,0.016433272996533972,-0.004259178079790253,0.016433272996533743,-0.004259178079790375,-0.004259178079494566,0.04356914404089946,-0.004259178079790374,0.04356914404070076
