K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.01811,0.0245,0.01662,0.02527,0.01662,0.02527,0.02392,0.00839,0.02527,0.00813,0.20420375061027035,0.20953081258852996,0.21520023066958446,0.2301968731537593,0.21520023066958446,0.2301968731537593,0.23019687315432147,0.20665429250235878,0.23019687315338086,0.206654292501751,-0.029722632814163197,-0.0034589295813290785,-0.03948905028137548,-0.004724777295570138,-0.03948905028137548,-0.004724777295570137,-0.004724777295717843,-0.08478188341165245,-0.004724777295306381,-0.08478188341141306
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.01945,0.02511,0.01765,0.02576,0.01765,0.02576,0.02413,0.01,0.02576,0.00957,0.2050103227803763,0.21033005955470718,0.21615554903152623,0.23146492000210425,0.21615554903152623,0.23146492000210425,0.23146492000276972,0.20370481993885212,0.23146492000194674,0.20370481993815268,-0.025794495802126775,-0.002356712261163491,-0.0348150767938914,-0.0037917883522826813,-0.0348150767938914,-0.003791788352282682,-0.00379178835243899,-0.07434215713332937,-0.0037917883519576574,-0.0743421571330811
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.0196,0.02491,0.01844,0.02517,0.01844,0.02517,0.02364,0.01111,0.02517,0.01079,0.20529774964346434,0.211313089472622,0.21618944772929316,0.23290012236940008,0.21618944772929316,0.23290012236940008,0.2329001223701647,0.201790207532637,0.2329001223693949,0.2017902075318488,-0.022835530370510802,-0.0023045737709956283,-0.030756607479095692,-0.0034338564096753196,-0.030756607479095692,-0.0034338564096753226,-0.0034338564098373285,-0.06549946352266368,-0.003433856409649722,-0.06549946352241458
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.02146,0.02572,0.01988,0.02622,0.01988,0.02622,0.02449,0.01276,0.02622,0.01225,0.2070243804474572,0.21326191386611218,0.21764374882707835,0.2350904049376535,0.21764374882707835,0.2350904049376535,0.23509040493852829,0.20026975500916486,0.235090404937569,0.2002697550082756,-0.01936245595925607,-0.0022708004868671207,-0.0264205179888504,-0.004002013112285503,-0.0264205179888504,-0.004002013112285501,-0.004002013112449166,-0.056022985244418275,-0.004002013112206146,-0.056022985244175996
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.02172,0.02532,0.02027,0.02567,0.02027,0.02567,0.02401,0.01411,0.02567,0.01367,0.20668293733984666,0.21341016888679976,0.21737281164925226,0.23538919686673582,0.21737281164925226,0.23538919686673582,0.23538919686770865,0.19807885159448196,0.23538919686672646,0.19807885159350064,-0.015673364801693603,-0.001389447009894278,-0.021720531629432577,-0.002977624748833672,-0.021720531629432573,-0.002977624748833674,-0.0029776247489840613,-0.046341839560081366,-0.0029776247488858647,-0.04634183955985864
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.02265,0.02553,0.02157,0.02609,0.02157,0.02609,0.02422,0.01673,0.02609,0.01627,0.2070814734438997,0.2141769976833547,0.21773982767374328,0.23647582084694235,0.21773982767374328,0.23647582084694235,0.23647582084799504,0.19672743851325908,0.2364758208469147,0.19672743851219796,-0.013469794862091931,-0.0025098460240501686,-0.018550498240188895,-0.0042904016495825675,-0.018550498240188895,-0.0042904016495825675,-0.004290401649720674,-0.03767499863645048,-0.004290401649502868,-0.037674998636252184
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.023,0.02542,0.02263,0.02577,0.02263,0.02577,0.02412,0.0184,0.02577,0.01781,0.2080328707941589,0.21529022995169902,0.21849516459778706,0.2377811419655948,0.21849516459778706,0.23778114196559483,0.23778114196672004,0.19587177888810295,0.2377811419655948,0.19587177888696553,-0.010459058148810324,-0.0019821436783427097,-0.014419815163973861,-0.0035013441155051926,-0.014419815163973861,-0.0035013441155051926,-0.0035013441156110164,-0.028346196748315955,-0.0035013441155051965,-0.028346196748154126
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.02286,0.02476,0.02277,0.02532,0.02277,0.02532,0.02332,0.01986,0.02532,0.01921,0.208175908227701,0.21583653250119003,0.21882213318320207,0.23852045125176594,0.21882213318320207,0.23852045125176594,0.23852045125294172,0.19549037731086985,0.23852045125176594,0.19549037730967334,-0.007361161335509595,-0.0018008951641816677,-0.010407437379709256,-0.0031677551357313515,-0.010407437379709254,-0.003167755135731354,-0.0031677551358002937,-0.01919251436828977,-0.0031677551357313567,-0.019192514368174058
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.0243,0.02578,0.02443,0.02626,0.02443,0.02626,0.02377,0.02331,0.02626,0.02266,0.20942678672935022,0.21722240938027074,0.22012827202194224,0.24059617284269239,0.22012827202194224,0.24059617284269239,0.24059617284389223,0.1962556758807498,0.24059617284269239,0.19625567587951517,-0.0034001074237908547,-0.0012844082225342938,-0.005480464903543497,-0.003052545198976099,-0.005480464903543496,-0.003052545198976099,-0.00305254519899389,-0.008927464176420343,-0.003052545198976104,-0.008927464176366749
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H0,0.5,0.0247,0.02437,0.0244,0.02619,0.0244,0.02619,0.02387,0.02623,0.02619,0.02555,0.20998153917589518,0.21818787515949642,0.22038338884312886,0.24160925739371164,0.22038338884312886,0.24160925739371164,0.24160925739488862,0.19680832355493816,0.24160925739371164,0.19680832355368919,-9.811017246302573e-4,-0.001960349858610718,-0.0019859303843975475,-0.0040895177946091476,-0.001985930384397547,-0.00408951779460915,-0.004089517794576269,2.0977055960112108e-4,-0.004089517794609154,2.0977055959900867e-4
