K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.77792,0.77586,0.70361,0.66048,0.70361,0.66048,0.64138,0.77098,0.66048,0.76608,0.2211667158091942,0.22829296057155427,0.2324934713913035,0.2488794036048604,0.2324934713913075,0.24887940360485816,0.24887940360558397,0.21077093559793456,0.2488794036003534,0.21077093559745788,0.008434826855860215,0.02541722327533702,-0.013419115487173994,-8.247042363436976e-4,-0.013419115487172981,-8.247042363442625e-4,-8.247042359363398e-4,-0.03471195516724476,-8.247042376973969e-4,-0.03471195516759254
1,0.7,1,0.4,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.77384,0.76959,0.70676,0.66357,0.70676,0.66357,0.64461,0.774,0.66357,0.7686,0.22118953107506129,0.22818022988663453,0.23254783080154048,0.24891844611831587,0.23254783080154048,0.24891844611831587,0.248918446118564,0.210416749008739,0.24891844611368452,0.21041674900869559,0.005762152155269611,0.021277964295662432,-0.012271687819857923,4.578635975510499e-4,-0.012271687819857923,4.5786359755104817e-4,4.578635978285342e-4,-0.03374582382719224,4.5786359620887223e-4,-0.0337458238274092
1,0.7,1,0.4,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.76635,0.76224,0.70396,0.66079,0.70396,0.66079,0.64234,0.76948,0.66079,0.76428,0.22139104108911306,0.22818840609477967,0.23258402711135345,0.24862289989498054,0.23258402711135345,0.24862289989542785,0.24862289989644396,0.21133093639281764,0.24862289989395175,0.21133093639086314,9.398763533035269e-4,0.015496395074326067,-0.014094735546856928,-6.925704323501028e-4,-0.014094735546856928,-6.925704322138785e-4,-6.925704317493779e-4,-0.035618752936297404,-6.925704325819105e-4,-0.035618752936932535
1,0.7,1,0.4,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.76447,0.75726,0.70782,0.66452,0.70782,0.66452,0.64628,0.77285,0.66452,0.76772,0.2213783625190196,0.22791645314907866,0.2324096653243453,0.248687581951452,0.23240966532406662,0.24868758195123405,0.24868758195167587,0.21063009564915777,0.24868758194702162,0.21063009564895938,-7.168857709806885e-4,0.012441293706783874,-0.011997667923756635,0.0010071502977292543,-0.011997667923850234,0.0010071502976513953,0.0010071502979833705,-0.033626963833057626,0.0010071502964300325,-0.03362696383330605
1,0.7,1,0.4,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.75899,0.7488,0.70684,0.66327,0.70684,0.66327,0.64355,0.77238,0.66327,0.7672,0.2213731631576953,0.22774435413281088,0.2326699090747609,0.24894774180472895,0.2326699090747131,0.24894774180480228,0.24894774180594048,0.21078313949713814,0.2489477418012994,0.21078313949608432,-0.005082870661876491,0.006700347499504404,-0.012600328769148588,5.471384656289797e-4,-0.012600328769162195,5.471384656537215e-4,5.471384661245478e-4,-0.03446695660551658,5.47138464439836e-4,-0.03446695660593934
1,0.7,1,0.4,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.7544,0.74321,0.70648,0.66433,0.70648,0.66433,0.64406,0.77277,0.66433,0.7674,0.221435461300197,0.2277644203911727,0.23259690465331112,0.24881566641445174,0.23259690465333901,0.24881566641445174,0.24881566641485223,0.21066505670067098,0.24881566640945368,0.2106650567005247,-0.008373454379529605,0.0015935559576304489,-0.012788276293461508,5.90850032364708e-5,-0.012788276293712642,5.908500323646855e-5,5.9085003541068786e-5,-0.034189322737525354,5.908500244977637e-5,-0.034189322737768625
1,0.7,1,0.4,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.74858,0.73515,0.70695,0.66384,0.70695,0.66384,0.64453,0.7714,0.66384,0.76619,0.22060704472855427,0.2266410520981963,0.23174039932263638,0.247674682060881,0.231740399322593,0.2476746820607852,0.2476746820610888,0.21051575909933223,0.2476746820569881,0.2105157590993175,-0.012174956713087864,-0.0034635452272024116,-0.01278817761554921,4.340933950731516e-4,-0.012788177615560005,4.3409339504018273e-4,4.340933953187953e-4,-0.034607841761367095,4.340933947702084e-4,-0.03460784176155516
1,0.7,1,0.4,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.74453,0.72703,0.70877,0.66426,0.70877,0.66426,0.64452,0.77222,0.66426,0.76689,0.22203781211484216,0.2283085048382906,0.23286501889110847,0.24933534847901345,0.23286501889118372,0.24933534847901345,0.2493353484800327,0.21086639609503868,0.24933534847517744,0.21086639609310734,-0.014373259328639486,-0.007339309002751378,-0.011310719142309696,0.0013830967411092834,-0.011310719142291958,0.0013830967411092787,0.0013830967416231638,-0.03332605139921486,0.0013830967401575523,-0.03332605139999011
1,0.7,1,0.4,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.73795,0.72059,0.70651,0.66558,0.70651,0.66558,0.646,0.77244,0.66558,0.76704,0.2218891595397701,0.2281210942284823,0.23213514333377824,0.24836250383553546,0.23213514333387109,0.2483625038358795,0.24836250383707698,0.2108235553839776,0.24836250383509245,0.21082355538297393,-0.01863302800195273,-0.012669623648936574,-0.011941621463165922,0.0013180967389499103,-0.011941621463131536,0.0013180967390743375,0.0013180967395709153,-0.034289641509148136,0.0013180967389127534,-0.034289641509578174
1,0.7,1,0.4,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,500,DIFF,H1,0.5,0.73053,0.7087,0.70481,0.66271,0.70481,0.66271,0.64358,0.77214,0.66271,0.76672,0.22243225695691843,0.2290905760018974,0.23237828240896485,0.24890282981623213,0.23237828240828184,0.24890282981623213,0.24890282981705864,0.21103413269979587,0.24890282981390532,0.21103413269887278,-0.023832234447318707,-0.01959160710808564,-0.014041932715815303,-0.0010422655916135512,-0.014041932716012782,-0.0010422655916135575,-0.0010422655911888267,-0.03509258678178865,-0.0010422655918567961,-0.03509258678223094
