K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75483,0.76281,0.70162,0.68685,0.70162,0.68685,0.67031,0.72166,0.68685,0.71625,0.21741636517181775,0.22232633813951888,0.22827049640235833,0.24132139666384145,0.22827049640235833,0.24132139666384142,0.241321396663715,0.2177342080889946,0.24132139665893618,0.2177342080897565,-0.02245699811160689,0.0010790265544184934,-0.03068483595674072,2.2312894239194287e-4,-0.03068483595674072,2.2312894239194002e-4,2.231289438833579e-4,-0.08048216453983358,2.231289409237847e-4,-0.08048216454123115
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.7531,0.75851,0.70214,0.68205,0.70214,0.68205,0.66521,0.73315,0.68205,0.72748,0.2185170592370683,0.22340376130750209,0.22985696916424794,0.24363390433396187,0.2298569691654905,0.24363390433366036,0.2436339043338513,0.21629859749558902,0.24363390431598791,0.21629859749468985,-0.019608896376569544,0.0013094906097241656,-0.027774830824096194,-4.085533273150401e-4,-0.027774830823829092,-4.0855332741964454e-4,-4.0855332604432324e-4,-0.07104175507400268,-4.0855333239505774e-4,-0.07104175507562624
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75384,0.75434,0.70379,0.6761,0.70379,0.6761,0.65846,0.74158,0.6761,0.73617,0.21820882324962232,0.22387900609844996,0.2294307357234124,0.24434063206556245,0.2294307357234124,0.24434063206556245,0.24434063206547446,0.21336281460900583,0.2443406320596012,0.21336281460963194,-0.017596635214283198,5.119980558550142e-4,-0.024789826596617864,-0.0017168596721305986,-0.024789826596617864,-0.0017168596721306019,-0.0017168596711278948,-0.06238988990924084,-0.0017168596737758982,-0.06238988991013472
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.7528,0.7509,0.70541,0.67445,0.70541,0.67445,0.65699,0.75368,0.67445,0.7486,0.21947768258503098,0.22537702131306384,0.2303184529422773,0.24560213812688883,0.2303184529422773,0.24560213812688883,0.2456021381268906,0.21238571548221355,0.24560213811886497,0.21238571548272103,-0.014441280392259268,0.0012875489729188268,-0.020289540337507697,3.774589420297087e-4,-0.020289540337507697,3.774589420297092e-4,3.7745894279742325e-4,-0.05276967113549965,3.7745893971578224e-4,-0.05276967113613191
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75343,0.7454,0.70465,0.66709,0.70465,0.66709,0.64872,0.7626,0.66709,0.75712,0.2201674397612827,0.2263973151403877,0.23129391580274286,0.24761202599988555,0.23129391580274286,0.24761202599988555,0.2476120260000745,0.21089416256118032,0.24761202599605206,0.21089416256126242,-0.011004922278510227,0.00160961635248489,-0.016258125344806376,-1.9975285491228626e-4,-0.016258125344806376,-1.99752854912288e-4,-1.9975285439831358e-4,-0.04321198264410554,-1.9975285605678547e-4,-0.04321198264454749
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75375,0.74356,0.70627,0.6651,0.70627,0.6651,0.64648,0.77215,0.6651,0.76702,0.22152674604682498,0.22784106336530738,0.23309562843187367,0.24925952072234492,0.23309562843161954,0.2492595207216908,0.24925952072196875,0.21119252227469487,0.24925952071372304,0.2111925222745288,-0.0070603715597607995,0.0031277381944366128,-0.011684421815601807,0.0011312691455747377,-0.011684421815700601,0.00113126914534611,0.0011312691456219373,-0.03294248929672316,0.0011312691430120558,-0.03294248929695012
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75106,0.73576,0.70556,0.65581,0.70556,0.65581,0.63575,0.77926,0.65581,0.77434,0.22281134767612326,0.22921211143241293,0.23402117384662183,0.2505500897616293,0.23402117384662183,0.2505500897616293,0.2505500897634461,0.21153209465684836,0.25055008976251436,0.21153209465502124,-0.006145306977420448,9.452908637709004e-4,-0.009523828447791864,-6.876814382773762e-4,-0.009523828447791864,-6.87681438277379e-4,-6.876814378694321e-4,-0.025047034283798206,-6.876814375167681e-4,-0.025047034284151393
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75041,0.7305,0.70514,0.64838,0.70514,0.64838,0.62849,0.78926,0.64838,0.78411,0.22370900649497089,0.2306282493646857,0.23464142897384757,0.25200068142461923,0.23464142897384757,0.25200068142461923,0.25200068142583626,0.21115514213294956,0.2520006814226187,0.21115514213214923,-0.0031667388036193834,0.0013172182139525204,-0.006018475284820865,-8.560210870096161e-4,-0.006018475284820865,-8.560210870096213e-4,-8.560210869864541e-4,-0.01523364311662091,-8.560210850870785e-4,-0.015233643116496791
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75257,0.72619,0.70727,0.64702,0.70727,0.64702,0.6251,0.79744,0.64702,0.79265,0.2248963085669783,0.2318862690440574,0.2361568393898096,0.2540162199081276,0.2361568393922627,0.2540162199105569,0.2540162199148251,0.2122355564648695,0.25401621990682216,0.21223555645971018,0.0010553894617580115,0.0021813990634110773,-5.801626410071941e-4,4.1288412068425564e-4,-5.80162640192017e-4,4.1288412157653825e-4,4.128841225216972e-4,-0.005226239156653768,4.128841229859625e-4,-0.005226239157558372
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.75093,0.72174,0.70612,0.63956,0.70612,0.63956,0.61793,0.80621,0.63956,0.80167,0.22664001827108476,0.23363366201381233,0.23823987902874189,0.25650733380149876,0.2382398790282863,0.25650733380149876,0.2565073338066427,0.2134259500022306,0.2565073337968956,0.21342594999637027,0.0035613853223496607,0.00248126204119781,0.002587112040666709,-6.87949886229852e-5,0.002587112040487184,-6.879498862298847e-5,-6.879498768632679e-5,0.003903617675432572,-6.879498511360123e-5,0.003903617674601096
1,0.7,1,0.4,1.8,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.74786,0.71575,0.70477,0.63142,0.70477,0.63142,0.60836,0.81302,0.63142,0.80819,0.22775266829863391,0.23489460801120102,0.23876848371143636,0.25715797980525673,0.23876848371143636,0.25715797980525673,0.2571579798155984,0.2152162357066273,0.2571579797995051,0.2152162356936902,0.006146581240759297,0.0019811433760044653,0.005532582090402261,-6.401683793797781e-4,0.005532582090402258,-6.40168379379786e-4,-6.401683763821164e-4,0.013990471339232481,-6.401683736433112e-4,0.01399047133626621
1,0.7,1,0.4,1.8,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,inv_u,mult,binary,500,EQ,H1,0.5,0.7482,0.71078,0.70535,0.62826,0.70535,0.62826,0.60518,0.82178,0.62826,0.81697,0.22976838619141288,0.2366900885958528,0.24127665069167176,0.2594787025618161,0.24127665069745058,0.2594787025655085,0.2594787025825405,0.2175430500313604,0.2594787025527898,0.21754305000599677,0.009363479143388856,0.002864481658767441,0.009824979351752881,2.6006484484607585e-5,0.009824979353623614,2.600648537691631e-5,2.6006491529252316e-5,0.02293533058270057,2.6006495487456936e-5,0.02293533057570502
