K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02663,0.02686,0.0249,0.02574,0.0249,0.02574,0.02436,0.01295,0.02574,0.01253,0.20734657173217338,0.2166902213456069,0.21526352410306768,0.2344316408278675,0.2152635241030676,0.23443164082786733,0.23443164082878576,0.2003507140100508,0.23443164082786733,0.20035071400910648,0.0038917357626005182,0.005246798219102768,-0.002338960724131464,-0.0032308941314285367,-0.0023389607241314355,-0.003230894131428504,-0.0032308941315879022,-0.05740132334723599,-0.0032308941314285046,-0.057401323346970845
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02588,0.02665,0.02449,0.02531,0.02449,0.02531,0.0238,0.01313,0.02531,0.0127,0.20758283680157202,0.2174444774660809,0.21536035155521147,0.23537507858537335,0.21536035155521133,0.23537507858537324,0.23537507858634524,0.19878595565843388,0.23537507858537324,0.19878595565743892,0.0033606968660501147,0.004630663508175144,-0.002484527048595359,-0.003419967429229273,-0.0024845270485953103,-0.0034199674292292002,-0.0034199674293814374,-0.05159064464016102,-0.0034199674292292015,-0.0515906446399068
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02585,0.02664,0.02512,0.02605,0.02512,0.02605,0.02404,0.01475,0.02605,0.0142,0.20753857768575415,0.21710255616958385,0.21574074979855828,0.23528056955749105,0.21574074979855817,0.23528056955749085,0.23528056955852023,0.19733693268316413,0.23528056955749085,0.1973369326821177,0.003129437671260487,0.004093612726555718,-0.0021356034473592575,-0.0031835779105788054,-0.0021356034473592306,-0.003183577910578736,-0.0031835779107181636,-0.045023952607760424,-0.0031835779105787404,-0.04502395260752981
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02632,0.02671,0.02498,0.02547,0.02498,0.02547,0.02397,0.01549,0.02547,0.01493,0.20895939480548828,0.21902404412743987,0.21679511112144834,0.23695418882593375,0.21679511112144814,0.23695418882593353,0.23695418882700997,0.19658767137197056,0.2369541888259231,0.19658767137087504,0.0024738794528779357,0.0035789490855818156,-0.0022968482020791414,-0.0031053639867811705,-0.0022968482020790794,-0.0031053639867811124,-0.003105363986907309,-0.038738325232927695,-0.0031053639868136446,-0.03873832523271428
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02572,0.02601,0.02455,0.02576,0.02455,0.02576,0.02399,0.01708,0.02576,0.01649,0.20964018186845976,0.2198005703304962,0.21723129796452192,0.23763107245793377,0.21723129796452187,0.23763107245793333,0.23763107245905118,0.19674903281116035,0.23763107245793333,0.19674903281002185,0.0014196010300173703,0.002016781088983143,-0.002398325169019827,-0.003634533456095091,-0.002398325169019855,-0.0036345334560949623,-0.003634533456205277,-0.03266237005568386,-0.0036345334560949653,-0.03266237005549716
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02508,0.02546,0.02444,0.02479,0.02444,0.02479,0.02291,0.01868,0.02479,0.01826,0.20999152452628525,0.21967755846973952,0.2180544742690984,0.23789249978216262,0.21805447426909808,0.23789249978216218,0.23789249978332605,0.19595354935480574,0.23789249978216218,0.19595354935362805,9.92015994713126e-4,0.0012304303008138578,-0.0021682852108669552,-0.003490063947890818,-0.002168285210867004,-0.003490063947890812,-0.003490063947977854,-0.026326541948754653,-0.003490063947890813,-0.026326541948599715
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02545,0.02594,0.0246,0.02557,0.0246,0.02557,0.02368,0.02023,0.02557,0.01949,0.20997799322776445,0.22029749718281788,0.21793994600682298,0.2386798739405188,0.21793994600682262,0.23867987394051848,0.2386798739416945,0.1954654051465717,0.23867987394051848,0.19546540514537059,0.0014616104071612458,0.0012976420401030514,-0.0011284408852800332,-0.002995643942431512,-0.0011284408852799326,-0.0029956439424316124,-0.0029956439424924748,-0.01875140523369409,-0.002995643942431612,-0.018751405233580636
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02472,0.02575,0.0247,0.02518,0.0247,0.02518,0.02324,0.02151,0.02518,0.02093,0.21092913074669298,0.2212674295107371,0.21881876248505544,0.2391722993996011,0.2188187624850547,0.2391722993996005,0.23917229940078935,0.19537679999732882,0.23917229939960052,0.19537679999610175,4.7457760962290815e-4,5.688305155867709e-4,-0.0016230673433171678,-0.002941834172769064,-0.0016230673433170176,-0.0029418341727689987,-0.0029418341728001856,-0.01268328659153701,-0.002941834172769002,-0.012683286591456339
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02565,0.02594,0.02558,0.02578,0.02558,0.02578,0.02372,0.02468,0.02578,0.02377,0.2120205804315644,0.22258020825946023,0.22018987422760103,0.24102457811287262,0.2201898742276001,0.24102457811287212,0.24102457811406083,0.1964076122923407,0.24102457811287212,0.19640761229109482,-4.6910638909273953e-4,-9.086143954605441e-4,-0.0021032420168448553,-0.003782093989567562,-0.0021032420168448328,-0.003782093989567621,-0.003782093989566854,-0.006035745819368166,-0.0037820939895676265,-0.006035745819329451
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H0_1,0.5,0.02469,0.02529,0.0248,0.02625,0.0248,0.02625,0.02397,0.02564,0.02625,0.02484,0.21313402147780353,0.22353066639755972,0.22109914698235647,0.24142867611782418,0.22109914698235492,0.241428676117823,0.24142867611899518,0.1966817562975964,0.241428676117823,0.19668175629634663,-0.0012679868478667011,-0.0021613463331650027,-0.0018543041086763728,-0.0038641170518374673,-0.0018543041086763353,-0.0038641170518379188,-0.0038641170518028075,5.812387535587282e-4,-0.003864117051837923,5.812387535555555e-4
