K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02437,0.02384,0.02493,0.02512,0.02493,0.02512,0.02347,0.01278,0.02512,0.0125,0.20541806650739758,0.2126221449875224,0.21500948693868285,0.233931812863808,0.21500948693868285,0.233931812863808,0.2339318128647278,0.20045336624781762,0.23393181286380785,0.20045336624686766,-0.0038847937926014364,-0.005145188365687558,-0.0019448242476729715,-0.002989912700143381,-0.0019448242476729715,-0.0029899127001433846,-0.0029899127003010255,-0.05731570551891864,-0.0029899127001465635,-0.05731570551865327
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02373,0.02384,0.02421,0.02444,0.02421,0.02444,0.02265,0.01316,0.02444,0.01276,0.2052593012070959,0.21281997398309632,0.215117584695997,0.23449305061497996,0.215117584695997,0.23449305061498,0.23449305061595632,0.19876028021141445,0.23449305061498,0.19876028021041725,-0.004349645970322693,-0.005402974864657569,-0.002804240377182985,-0.0037910371583629613,-0.002804240377182984,-0.003791037158362967,-0.00379103715851894,-0.05147181010828886,-0.0037910371583629687,-0.05147181010803367
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02396,0.02422,0.02468,0.02581,0.02468,0.02581,0.02408,0.01437,0.02581,0.01393,0.20620065627158166,0.21422075632994403,0.216182913067602,0.23680485438939422,0.216182913067602,0.23680485438939422,0.23680485439042578,0.1985133311708047,0.2368048543893744,0.19851333116975192,-0.0037953248035627863,-0.005026012119979988,-0.0025044126776608425,-0.004000718700240203,-0.0025044126776608434,-0.004000718700240207,-0.004000718700386124,-0.04519304457815584,-0.004000718700209942,-0.045193044577917715
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.024,0.02359,0.02488,0.02575,0.02488,0.02575,0.02385,0.01608,0.02575,0.01557,0.20643142356991295,0.21445599566274062,0.2165775030418413,0.2369030198133342,0.2165775030418413,0.23690301981333423,0.23690301981441728,0.19730528198036654,0.23690301981332698,0.19730528197927139,-0.003717472230778216,-0.004576807990339136,-0.002450829820504061,-0.0033605269643706202,-0.0024508298205040617,-0.003360526964370627,-0.003360526964501468,-0.03916699132740256,-0.003360526964399993,-0.03916699132718783
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02345,0.02347,0.02424,0.0246,0.02424,0.0246,0.02298,0.01647,0.0246,0.01609,0.2062670994360026,0.21424689072228797,0.21658163437437455,0.2374031785983725,0.21658163437437453,0.2374031785983725,0.23740317859949175,0.19575191463910369,0.2374031785983725,0.1957519146379705,-0.0026570575121852703,-0.0037317330853854566,-0.0020391481590278423,-0.0036084761157070297,-0.0020391481590278423,-0.003608476115707033,-0.0036084761158148575,-0.03190035335711688,-0.0036084761157070358,-0.03190035335693595
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02407,0.0238,0.02415,0.02524,0.02415,0.02524,0.02315,0.0182,0.02524,0.01755,0.20658715390726243,0.21454642518906586,0.21684277928681328,0.23706784258081665,0.21684277928681328,0.23706784258081665,0.23706784258196864,0.1949386299023414,0.23706784258081665,0.19493862990117006,-0.0022954393790914694,-0.0033359313052332383,-0.0017698816920373337,-0.003126930081067809,-0.0017698816920373342,-0.00312693008106781,-0.0031269300811566495,-0.02555486707085328,-0.003126930081067813,-0.025554867070698855
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02487,0.02518,0.02519,0.02553,0.02519,0.02553,0.02364,0.02021,0.02553,0.01955,0.20873354957243856,0.2167134337404036,0.21932512036988686,0.2400852773284426,0.21932512036988686,0.2400852773284426,0.24008527732962182,0.1960554646522758,0.2400852773284426,0.19605546465106977,-0.0022291897822024434,-0.0032203448227327695,-0.0020076153765940874,-0.0036668315829787687,-0.0020076153765940874,-0.0036668315829787713,-0.0036668315830406415,-0.019658685163627277,-0.0036668315829787757,-0.019658685163508067
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02419,0.02468,0.02485,0.02444,0.02485,0.02444,0.02252,0.02121,0.02444,0.02059,0.20726108850019825,0.21539781753593157,0.21772459251647622,0.23826449061579516,0.21772459251647622,0.23826449061579516,0.2382644906169815,0.19436944534599948,0.23826449061579516,0.1943694453447778,-0.0012729986828062556,-0.002183271801502755,-0.0015601688609643755,-0.003306730667075804,-0.0015601688609643751,-0.003306730667075805,-0.003306730667108353,-0.012939347105535457,-0.0033067306670758086,-0.012939347105453473
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02486,0.02482,0.02507,0.02556,0.02507,0.02556,0.0234,0.02368,0.02556,0.02284,0.20937598562400908,0.21715207163247371,0.22012255375283482,0.24036507697749662,0.22012255375283482,0.24036507697749662,0.2403650769786872,0.19591160377887273,0.24036507697749662,0.1959116037776255,-0.0011695278310828406,-0.0021163703755651114,-0.0019788363615919125,-0.0038789117520580574,-0.001978836361591912,-0.0038789117520580613,-0.0038789117520587634,-0.006190892144663011,-0.003878911752058064,-0.006190892144624194
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02534,0.02524,0.02492,0.02567,0.02492,0.02567,0.02336,0.02564,0.02567,0.02476,0.20997197324734848,0.21781412180237048,0.22084836374068056,0.24197024049925528,0.22084836374068056,0.24197024049925528,0.241970240500429,0.19634361386312757,0.24197024049925528,0.19634361386187826,-7.792053084438146e-4,-0.001286716917198124,-0.0020400942502891346,-0.0035744787818538805,-0.0020400942502891346,-0.0035744787818538823,-0.0035744787818139945,2.903037873910173e-4,-0.0035744787818538853,2.903037873893921e-4
1,0.7,1,0.4,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H0,0.5,0.02553,0.02571,0.02517,0.02601,0.02517,0.02601,0.02374,0.02847,0.02601,0.02755,0.21093993686709922,0.21903687756100668,0.2218277637643991,0.2431284034232037,0.2218277637643991,0.2431284034232037,0.24312840342468597,0.19712711856255435,0.2431284034232037,0.19712711856131426,1.0864907373451401e-5,-6.787295109505706e-4,-0.0018406368918937744,-0.003679080824820288,-0.001840636891893775,-0.0036790808248202923,-0.003679080824800303,0.007394258849695917,-0.003679080824820294,0.007394258849645702
