K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.7144,0.67714,0.67349,0.60184,0.67349,0.60184,0.58363,0.6724,0.60184,0.66628,0.21973604012066705,0.2282568033139135,0.2282644057663772,0.2458406825981842,0.22826440576637722,0.24584068259818423,0.24584068259808964,0.21809296678696086,0.24584068259360772,0.21809296678743476,-0.012054653590338534,-0.013874487364977105,-0.017290673621897148,-0.022910305339240652,-0.017290673621897224,-0.022910305339240777,-0.02291030533832953,-0.07668027831684576,-0.02291030534052041,-0.07668027831764773
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.71745,0.67983,0.67731,0.60953,0.67731,0.60953,0.59017,0.68798,0.60953,0.68197,0.22049221216565906,0.2289815386600906,0.2295221398663026,0.24698992517952703,0.229522139866189,0.24698992517952698,0.24698992517947474,0.21595373745610094,0.2469899251749321,0.2159537374564412,-0.009935198137331337,-0.011729895887043838,-0.01422746045628403,-0.019351626462947656,-0.014227460456318149,-0.019351626462947785,-0.019351626462230948,-0.06789575167567032,-0.01935162646435768,-0.0678957516762992
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.71906,0.68114,0.67982,0.60832,0.67982,0.60832,0.58947,0.70388,0.60832,0.698,0.2214863352136118,0.22996910686742983,0.23021630714778904,0.24727121811583122,0.23021630714778912,0.2472712181158313,0.24727121811593228,0.21528667917624586,0.2472712181156458,0.21528667917643127,-0.009803091864817402,-0.011924122616419877,-0.013832057906217353,-0.01940980052740332,-0.013832057906217504,-0.01940980052740367,-0.01940980052685725,-0.06067676575228827,-0.019409800527765905,-0.06067676575274452
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72414,0.6869,0.68661,0.61687,0.68661,0.61687,0.59678,0.72194,0.61687,0.71597,0.22176095245106384,0.23079573179090257,0.23002828654929217,0.24814764725770744,0.23002828654929217,0.24814764725770747,0.24814764725782207,0.21275766313611574,0.24814764725368477,0.21275766313647934,-0.006146372313024112,-0.00785234682846742,-0.010019004097098676,-0.014853998510336808,-0.010019004097098773,-0.014853998510337068,-0.014853998510016049,-0.049936049041969355,-0.014853998510904865,-0.04993604904214647
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72588,0.68888,0.68817,0.61897,0.68817,0.61897,0.59923,0.73332,0.61897,0.72769,0.22344385208740158,0.23203034702157496,0.23178330645123868,0.2493960043888128,0.23178330645090656,0.24939600438848927,0.24939600438974377,0.21286733284559575,0.24939600438409257,0.21286733284452505,-0.006096549914593305,-0.007504949329412307,-0.009247208049346733,-0.013155384811573065,-0.009247208049435313,-0.01315538481166381,-0.013155384811219093,-0.04275756875947814,-0.013155384811983348,-0.042757568759783864
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72643,0.68969,0.68979,0.62147,0.68979,0.62147,0.60143,0.74759,0.62147,0.74193,0.22460583258076633,0.23351544662252757,0.2333078925111555,0.25135756958241434,0.2333078925111555,0.2513575695824143,0.25135756958287786,0.2129677970294616,0.2513575695732123,0.2129677970291155,-0.0054269135253263885,-0.0069171333504956176,-0.008155785657244216,-0.012169147564823625,-0.008155785657244265,-0.012169147564823617,-0.012169147564811819,-0.03468473900227636,-0.01216914756434443,-0.03468473900221862
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.72878,0.69119,0.69502,0.62601,0.69502,0.62601,0.60441,0.76214,0.62601,0.75674,0.2254468848216893,0.23445930117115532,0.23402132654679023,0.2519288587899616,0.23402132654679017,0.25192885878996146,0.25192885879175675,0.21182418670532993,0.25192885878796256,0.21182418670361775,-0.0031276840862563045,-0.004558400880249694,-0.005510637694309488,-0.009459241000079551,-0.005510637694309368,-0.009459241000079497,-0.009459240999891694,-0.025114715714415117,-0.009459241000504073,-0.025114715714544426
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.73229,0.69473,0.6967,0.63061,0.6967,0.63061,0.6092,0.77707,0.63061,0.77162,0.22660543561919647,0.23587615497084388,0.2352161139989942,0.25328474393237943,0.23521611399899395,0.2532847439323793,0.2532847439336056,0.211582633324241,0.2532847439323483,0.21158263332278773,-0.0014164728123113501,-0.0026324430407888514,-0.00304499321092468,-0.006306019799159944,-0.003044993210924659,-0.00630601979915968,-0.006306019799199408,-0.015836385023709595,-0.006306019798087672,-0.015836385023617047
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.73461,0.6983,0.70274,0.63546,0.70274,0.63546,0.61366,0.79323,0.63546,0.78831,0.22769453515919968,0.2368583060176137,0.23633998388380864,0.2539202065594019,0.2363399838837713,0.25392020655940134,0.2539202065638145,0.21191549714152053,0.25392020655630915,0.2119154971366263,-1.712605947900737e-4,-0.0014759980001736392,-0.0010021394618788292,-0.003774865055981453,-0.0010021394618905605,-0.0037748650559817276,-0.0037748650551053128,-0.00618735635801752,-0.0037748650555221403,-0.006187356358855294
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H1_1,0.5,0.73674,0.70072,0.70571,0.63797,0.70571,0.63797,0.61677,0.80469,0.63797,0.79990000000000006,0.23038770672519748,0.23979046945902702,0.2389902915959416,0.25721601328957416,0.23899029159594135,0.2572160132895676,0.257216013297751,0.2144486597975355,0.2572160132837124,0.2144486597883774,0.001880394254058796,0.0013636059880831922,0.0015585101753258837,-2.1156326922915254e-4,0.0015585101753266485,-2.1156326923140955e-4,-2.1156326722203295e-4,0.0036536404377659876,-2.1156326625057772e-4,0.0036536404357930055
