K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.70943,0.67345,0.67723,0.60285,0.67723,0.60285,0.58456,0.67413,0.60285,0.66795,0.2182236992653925,0.22563964299779873,0.22818879032449219,0.24615789126148888,0.22818879032449219,0.2461578912614395,0.24615789126135884,0.2177313597447231,0.24615789126067228,0.21773135974495808,-0.02046859874424179,-0.02452330262695706,-0.015985178164938323,-0.022119866848066154,-0.015985178164938326,-0.022119866848082138,-0.022119866847173913,-0.07589380309835506,-0.022119866848263812,-0.075893803099226
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.71207,0.67813,0.67575,0.60607,0.67575,0.60607,0.58639,0.68747,0.60607,0.68115,0.2187147316899706,0.22559082568464697,0.2292116810966233,0.24681967198349136,0.2292116810966233,0.24681967198349136,0.24681967198357832,0.21607583775046293,0.2468196719814652,0.21607583775071296,-0.018936471899475463,-0.02250977518639393,-0.015110625606329675,-0.02053064738333001,-0.015110625606329676,-0.02053064738333001,-0.020530647382586163,-0.06857074228295804,-0.020530647383961993,-0.06857074228360042
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.71731,0.68638,0.68331,0.61499,0.68331,0.61499,0.59636,0.70482,0.61499,0.69912,0.22004283521315718,0.2271293132334013,0.23035421820965507,0.24787183546391728,0.23035421820965507,0.24787183546391728,0.24787183546396482,0.2146538567527101,0.24787183545983327,0.21465385675292706,-0.014740779199248764,-0.017704065115919872,-0.01113813668117175,-0.016004034704162402,-0.01113813668117175,-0.016004034704162406,-0.01600403470361966,-0.05813069233230499,-0.016004034705375276,-0.05813069233275434
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.7219,0.6903,0.68369,0.61361,0.68369,0.61361,0.59374,0.71917,0.61361,0.7133,0.21936426688980185,0.2264575622210464,0.23003051116734755,0.24776157339546406,0.23003051116734755,0.24776157339546406,0.24776157339619131,0.2123885986716923,0.24776157339220917,0.2123885986710756,-0.013877288357199386,-0.017085211437920064,-0.011177671950022349,-0.016037047863567265,-0.01117767195002235,-0.01603704786356727,-0.016037047863082778,-0.05126909048275921,-0.01603704786452712,-0.051269090483161334
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.72653,0.69513,0.6895,0.61914,0.6895,0.61914,0.59952,0.73595,0.61914,0.73048,0.22096522141571148,0.22818401976323066,0.23160996736382794,0.24932413386308816,0.23160996736382794,0.24932413386308816,0.2493241338636041,0.2122156981796612,0.249324133860655,0.21221569817929667,-0.010720253139264037,-0.013505018184000125,-0.008221536433600796,-0.012393557671064558,-0.008221536433600796,-0.012393557671064558,-0.012393557670840348,-0.042023659617982136,-0.012393557671649163,-0.042023659618129906
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.73032,0.69843,0.69108,0.62243,0.69108,0.62243,0.6023,0.74839,0.62243,0.74273,0.22244964511965354,0.22947658506782528,0.23305457151604506,0.2510029402706567,0.23305457151604506,0.2510029402707245,0.25100294027141806,0.21199081992979463,0.2510029402698708,0.21199081992855895,-0.009140827804009976,-0.011397362586628402,-0.00748084599942217,-0.01131402938771668,-0.007480845999422171,-0.011314029387695535,-0.011314029387594203,-0.034234273493736166,-0.01131402938788182,-0.03423427349393851
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.73361,0.70352,0.69434,0.62512,0.69434,0.62512,0.60497,0.76145,0.62512,0.75611,0.22397262501705206,0.23118853224358596,0.23459969599655126,0.25252696267292746,0.23459969599655126,0.25252696267292807,0.2525269626747701,0.2126884609498773,0.25252696266872954,0.212688460947844,-0.0062930246989996086,-0.008284892039476544,-0.005146237782330595,-0.008722539014841867,-0.005146237782330596,-0.008722539014841681,-0.008722539014588481,-0.024695669625941462,-0.008722539012981489,-0.024695669626139363
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.73778,0.70905,0.69672,0.62926,0.69672,0.62926,0.60842,0.77682,0.62926,0.7714,0.22507698212409277,0.23219638510078905,0.23586518298126943,0.25409525253082516,0.23586518298126943,0.25409525253082516,0.2540952525336257,0.21320808955894804,0.25409525252640713,0.21320808955584428,-0.004142493002638344,-0.005769256002956162,-0.00390689723238278,-0.006865419031489586,-0.00390689723238278,-0.0068654190314895985,-0.006865419031029905,-0.016189910507997472,-0.006865419030586393,-0.01618991050840038
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.74432,0.71464,0.7022,0.63496,0.7022,0.63496,0.61323,0.79242,0.63496,0.7874,0.22550719821350587,0.23230052646138058,0.2365813944145855,0.25443217390501055,0.2365813944145855,0.25443217390501055,0.25443217391455125,0.21268137673955903,0.2544321739028868,0.21268137672874998,3.516356414625655e-4,-0.0011741741269292343,1.784779449248541e-5,-0.00296824256799735,1.7847794492485243e-5,-0.002968242567997356,-0.0029682425654737493,-0.0053195714396184575,-0.0029682425654670155,-0.00531957144210078
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,linear,add,binary,EQ,H1,0.5,0.7497,0.72072,0.70649,0.6387,0.70649,0.6387,0.61738,0.80537,0.6387,0.80085,0.2262394366225958,0.23301502923731,0.23765920822255468,0.25521667328129394,0.23765920822537753,0.25521667328409425,0.25521667329091036,0.21378106124066004,0.2552166732788212,0.2137810612322286,0.0029568025226736554,0.0017047684527913528,0.0017889400861593229,-4.847516197637043e-4,0.0017889400870546202,-4.8475161887140693e-4,-4.847516174631203e-4,0.0038279679265934494,-4.8475161655464003e-4,0.00382796792522023
