K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03108,0.03271,0.02392,0.02498,0.02392,0.02498,0.02311,0.01171,0.02498,0.0113,0.2069327253989248,0.21650017338563518,0.21422315282922907,0.2340676999734503,0.21422315282922907,0.2340676999734502,0.2340676999743774,0.19946120805353673,0.2340676999734414,0.19946120805258458,0.02211913023719846,0.02731733929962677,-0.002521693810148869,-0.004131871600368029,-0.0025216938101488605,-0.004131871600368059,-0.004131871600532321,-0.057911785156341745,-0.004131871600386333,-0.05791178515607147
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.0298,0.03138,0.024140000000000002,0.02543,0.024140000000000002,0.02543,0.0238,0.01189,0.02543,0.01151,0.2073296291454265,0.21668767844571826,0.2149529657293346,0.23468305404015088,0.21495296572933456,0.23468305404015077,0.2346830540410717,0.20024194175071316,0.23468305404015077,0.20024194174975976,0.017015400180914842,0.02097672129913526,-0.0025532600181295724,-0.004151572397052118,-0.0025532600181295793,-0.004151572397052145,-0.004151572397215067,-0.0582340357297781,-0.0041515723970521464,-0.05823403572950482
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02911,0.03085,0.02498,0.0259,0.02498,0.0259,0.02417,0.01257,0.0259,0.01219,0.20697085019322092,0.21668224239199604,0.21444183023571195,0.23431927538966627,0.21444183023571187,0.23431927538966602,0.2343192753905911,0.19994692488829155,0.23431927538965414,0.19994692488733679,0.012527316840363434,0.015519601131084004,-0.002181933380800073,-0.0037576052659731318,-0.002181933380800075,-0.003757605265973133,-0.003757605266134349,-0.05717732206705734,-0.0037576052659467046,-0.0571773220667883
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02666,0.02786,0.02469,0.02559,0.02469,0.02559,0.02389,0.01218,0.02559,0.01185,0.206773712734705,0.21674876194238757,0.21480939632274598,0.23465743735530192,0.21480939632274595,0.23465743735530178,0.2346574373562222,0.19994247489844327,0.23465743735530178,0.19994247489749042,0.008416837445061758,0.01039192632098677,-0.001368240726271508,-0.0026766905166275274,-0.001368240726271507,-0.0026766905166274203,-0.002676690516783394,-0.05671504315044681,-0.002676690516627419,-0.056715043150180264
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02568,0.02645,0.02499,0.02628,0.02499,0.02628,0.02448,0.01247,0.02628,0.01196,0.2068489133515361,0.21686274592461688,0.21481629025906596,0.23452586560246733,0.21481629025906582,0.23452586560246694,0.23452586560338395,0.19971211824471558,0.23452586560246694,0.199712118243765,0.0033811178243927102,0.0037066825812243085,-0.0012116413864935427,-0.0025564059150851148,-0.0012116413864935239,-0.0025564059150850363,-0.002556405915238579,-0.056931930953752374,-0.00255640591508504,-0.056931930953488384
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02469,0.02498,0.02503,0.0252,0.02503,0.0252,0.02375,0.01229,0.0252,0.01196,0.20705096732055958,0.21699836002562575,0.21486784357481273,0.234269122704727,0.2148678435748125,0.23426912270472672,0.23426912270564978,0.19988584520533917,0.23426912270472672,0.199885845204386,-0.0013287758029815581,-0.0023837876975108434,-8.871938552947624e-4,-0.002728612858376307,-8.871938552947559e-4,-0.0027286128583762378,-0.0027286128585306607,-0.0565164605870458,-0.0027286128583762373,-0.05651646058678085
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02364,0.0234,0.02493,0.02557,0.02493,0.02557,0.02367,0.01204,0.02557,0.01174,0.20785877925316865,0.2176854988385496,0.21553528410080924,0.23471629073974237,0.21553528410080897,0.23471629073974196,0.23471629074066422,0.20028829002143755,0.23471629073974196,0.2002882900204818,-0.006429155711678222,-0.008105093850707883,-0.0014701059558212184,-0.0029833790974508083,-0.0014701059558211204,-0.00298337909745067,-0.0029833790976066168,-0.057102153586973306,-0.0029833790974506703,-0.05710215358670599
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02202,0.02176,0.02411,0.02443,0.02411,0.02443,0.02279,0.01215,0.02443,0.01171,0.2071334327890992,0.21760939820049097,0.21391703517522412,0.23348080720241599,0.2139170351752238,0.2334808072024154,0.23348080720333472,0.19987494106574735,0.23348080720241535,0.19987494106479584,-0.012033795024056474,-0.01505601515810105,-0.002612268186652572,-0.00441853225521341,-0.0026122681866525177,-0.004418532255213283,-0.004418532255376537,-0.05803086681951628,-0.004418532255209871,-0.05803086681924321
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02119,0.02072,0.0244,0.025,0.0244,0.025,0.02354,0.01187,0.025,0.01146,0.2085665274452639,0.2194599979973878,0.21512344754287174,0.23455452843988037,0.21512344754287113,0.23455452843987978,0.23455452844080232,0.20035252057193295,0.23455452843986727,0.20035252057097744,-0.01607491880013789,-0.01999738733226482,-0.0022043697726151466,-0.0035865977241201336,-0.0022043697726148973,-0.003586597724120067,-0.0035865977242793535,-0.05752945189802708,-0.003586597724143629,-0.0575294518977575
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.02054,0.01992,0.02543,0.02604,0.02543,0.02604,0.02421,0.01232,0.02604,0.01189,0.20879849254268532,0.22028760934184166,0.21505400817120487,0.23508779941086516,0.2150540081712042,0.23508779941086438,0.2350877994117927,0.20020966441609916,0.2350877994107778,0.2002096644151441,-0.019877477413379654,-0.025436045452280405,-0.0015779987283728954,-0.0032960959687499164,-0.0015779987283727891,-0.003296095968749645,-0.0032960959689103185,-0.05698863467168895,-0.003296095968774909,-0.056988634671422386
