K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.05189,0.05759,0.02467,0.02564,0.02467,0.02564,0.02305,0.0511,0.02564,0.04921,0.22904149385324116,0.2413860270427336,0.2294937954646562,0.25176228059941813,0.2294937954646562,0.2517622805994182,0.2517622806001287,0.21231576284512763,0.2517622805994182,0.2123157628444603,0.07111107760514107,0.08612493356699502,-0.003716833824720799,-0.005555759843843626,-0.0037168338247207987,-0.00555575984384368,-0.005555759843564728,0.0631666197460754,-0.00555575984384368,0.06316661974585668
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04857,0.05418,0.02519,0.02524,0.02519,0.02524,0.02265,0.05072,0.02524,0.0488,0.22717263139679048,0.23956662255146122,0.22846052226560734,0.25076011095556766,0.22846052226560737,0.2507601109555676,0.25076011095599554,0.211816341289265,0.25076011095556766,0.2118163412885963,0.06746955832470813,0.08136489088128923,-0.001448467044119783,-0.003534766395968959,-0.0014484670441198223,-0.0035347663959690153,-0.0035347663956310877,0.06544412565938063,-0.003534766395969017,0.06544412565915537
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04466,0.04988,0.02427,0.02489,0.02427,0.02489,0.02243,0.05051,0.02489,0.04908,0.22524031449643123,0.23687219292847495,0.22791146509975393,0.2503787770557989,0.22791146509975393,0.2503787770557989,0.2503787770562442,0.21209693709360317,0.2503787770557989,0.2120969370929358,0.05997606759765057,0.07247981427169364,-0.0027357529479389753,-0.005191355237333024,-0.002735752947938957,-0.005191355237333065,-0.005191355237004269,0.06412904866501366,-0.005191355237333066,0.0641290486647926
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04278,0.04698,0.02465,0.02544,0.02465,0.02544,0.02296,0.05062,0.02544,0.04911,0.22496072215511287,0.23664439534877366,0.22862256248880222,0.250897883507644,0.22862256248880217,0.250897883507644,0.25089788350805986,0.21217778794713388,0.2508978835078163,0.2121777879464682,0.05470756351024775,0.06651949775599174,-0.0021358811904591294,-0.004121005498179449,-0.002135881190459116,-0.00412100549817947,-0.004121005497844565,0.06464467238710257,-0.004121005497801107,0.06464467238688389
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.04052,0.0445,0.02438,0.02559,0.02438,0.02559,0.02315,0.05115,0.02559,0.04948,0.22353430003498748,0.23477454627776928,0.2289087241602478,0.2513141394538392,0.22890872416024774,0.2513141394538391,0.2513141394543285,0.21222155595669928,0.2513141394538434,0.212221555956028,0.04937699664851903,0.059985238285275785,-0.0017992851222104343,-0.004114120449407302,-0.0017992851222104215,-0.004114120449407291,-0.004114120449090641,0.06512565017998816,-0.004114120449388931,0.06512565017976557
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03836,0.04139,0.02456,0.02525,0.02456,0.02525,0.02253,0.05105,0.02525,0.04935,0.2223212742635097,0.23352881868921044,0.22864019531436022,0.25153814071014263,0.22864019531436017,0.2515381407101426,0.25153814071042946,0.21191891094937823,0.2515381407101426,0.21191891094871065,0.04258483436221816,0.051665008377489094,-0.0029717233619345413,-0.005600724724905431,-0.002971723361934572,-0.00560072472490554,-0.005600724724544566,0.06416609945760934,-0.0056007247249055415,0.06416609945739438
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03587,0.0386,0.02443,0.02541,0.02443,0.02541,0.02253,0.05041,0.02541,0.04839,0.2212344747142667,0.2319249959055859,0.22878451929697355,0.2511465090809445,0.2287845192969734,0.25114650908094466,0.25114650908141656,0.21193156022474882,0.2511465090809511,0.2119315602240804,0.03679400066074919,0.044923733486774156,-0.003217367950819119,-0.005315190331266438,-0.0032173679508192073,-0.005315190331266595,-0.00531519033095026,0.06389351913364433,-0.005315190331338719,0.0638935191334297
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03482,0.03736,0.0244,0.02543,0.0244,0.02543,0.02266,0.05108,0.02543,0.0495,0.2214627068953933,0.23181543457899756,0.22931015373352656,0.25126240517565,0.22931015373352648,0.2512624051756499,0.25126240517598936,0.2122605457511302,0.2512624051756499,0.21226054575046194,0.031626464639709174,0.03864721774668454,-0.0030052996101111733,-0.005191081762578128,-0.003005299610111215,-0.00519108176257818,-0.005191081762229656,0.06388811066447744,-0.00519108176257818,0.06388811066426064
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03163,0.03379,0.02354,0.02501,0.02354,0.02501,0.02223,0.05027,0.02501,0.04865,0.2198528008789075,0.23054039503527374,0.22799469382342574,0.2507224829952541,0.2279946938234254,0.2507224829952539,0.25072248299583294,0.21166998811251655,0.25072248299533695,0.21166998811184412,0.025634556057810187,0.031046782177415747,-0.003371185733344147,-0.006004386465785069,-0.003371185733344168,-0.006004386465785209,-0.006004386465512273,0.06379215629324939,-0.006004386465425202,0.06379215629303422
1,0.7,1,1.8,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0_1,0.5,0.03084,0.03257,0.02466,0.02553,0.02466,0.02553,0.0227,0.05078,0.02553,0.04901,0.22013386972207455,0.2310409147515294,0.22882902229162955,0.25148216909864907,0.22882902229162896,0.25148216909864896,0.2514821690990461,0.21205753341179692,0.2514821690986744,0.2120575334111261,0.0201935844944968,0.024544958730836095,-0.003658538663308025,-0.005977161203356451,-0.0036585386633081617,-0.005977161203356646,-0.005977161203021163,0.06379919641310432,-0.005977161203447291,0.06379919641288877
