K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02494,0.02483,0.02485,0.02468,0.02485,0.02468,0.0235,0.00412,0.02468,0.00396,0.20184247345418854,0.21095484887776977,0.2092783158981405,0.22761691123822497,0.2092783158980777,0.22761691123808814,0.22761691123853037,0.22383236827213648,0.22761691123272787,0.22383236827154424,-5.676943410236515e-4,-9.335191732766647e-4,-7.986971092563482e-4,-0.00228747556502046,-7.98697109232831e-4,-0.002287475564808206,-0.0022874755651151528,-0.12404926414109892,-0.002287475562597489,-0.12404926414091975
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02503,0.0258,0.0247,0.0257,0.0247,0.0257,0.02422,0.00518,0.0257,0.00497,0.202608875065359,0.21229019964377668,0.21005368673576616,0.22925455394982674,0.2100536867357666,0.22925455394982666,0.22925455395023325,0.21806807296197225,0.22925455394798722,0.2180680729614614,-0.0013600891044964483,-0.0015901327765375512,-0.0017203289227893572,-0.0029062993725365817,-0.0017203289227765584,-0.0029062993725365795,-0.0029062993726559566,-0.11088720124010473,-0.0029062993717420492,-0.11088720123985044
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.0246,0.02524,0.02482,0.02498,0.02482,0.02498,0.02369,0.0063,0.02498,0.00613,0.20371704028362048,0.2133046100125211,0.2112976078223536,0.23032738483146073,0.21129760782235357,0.23032738483146056,0.23032738483198498,0.2123952214380389,0.23032738483076434,0.21239522143742617,-0.0016627119964418694,-0.0016644772406786228,-0.0019326953456784623,-0.0028416177448660727,-0.0019326953456784682,-0.0028416177448660086,-0.0028416177450066183,-0.09758448495663646,-0.002841617744645362,-0.0975844849563653
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02511,0.0251,0.02559,0.02581,0.02559,0.02581,0.02399,0.00863,0.02581,0.00843,0.20547472906915845,0.21474742892735776,0.21342104549172158,0.2322638395994359,0.21342104549172147,0.23226383959943575,0.23226383960010177,0.20770874472094433,0.2322638395992525,0.20770874472021053,-0.0016497087216828306,-0.0021220342242426614,-0.002065435104860053,-0.003440298826989705,-0.0020654351048600603,-0.003440298826989713,-0.003440298827148357,-0.08320739606360864,-0.0034402988268461268,-0.08320739606332198
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02508,0.0255,0.0248,0.02577,0.0248,0.02577,0.02421,0.01002,0.02577,0.00965,0.20601755978458136,0.21588941309415502,0.21385369905611168,0.23343679261638225,0.2138536990561116,0.23343679261638206,0.2334367926171795,0.20328357439555966,0.23343679261636321,0.2032835743947153,-0.0019668201100756684,-0.002165482633878987,-0.0025273745507110763,-0.003702065121278521,-0.0025273745507110945,-0.003702065121278442,-0.003702065121441956,-0.06988006797437903,-0.0037020651212522123,-0.06988006797409514
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02447,0.0246,0.02501,0.02553,0.02501,0.02553,0.0241,0.01227,0.02553,0.01188,0.2071717455423495,0.21727762036184692,0.21486914099580348,0.23460316251423255,0.2148691409958032,0.23460316251423205,0.23460316251516952,0.1994499701571376,0.23460316251419164,0.19944997015617402,-0.0011806168063292872,-0.001879663291328778,-0.0014909516138104189,-0.0032051674581524267,-0.0014909516138103842,-0.003205167458152337,-0.0032051674583088324,-0.05515183414850693,-0.003205167458070636,-0.05515183414824591
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02391,0.02513,0.0242,0.02536,0.0242,0.02536,0.02328,0.01505,0.02536,0.01457,0.2079736898380015,0.2181478340570967,0.21555897888448572,0.23545193872958697,0.21555897888448547,0.23545193872958647,0.23545193873064535,0.19712846270192447,0.23545193872958647,0.1971284627008476,-0.0014051642417051606,-0.0014676280528744558,-0.0017397085601730418,-0.00257939828009729,-0.001739708560172998,-0.002579398280097272,-0.00257939828022958,-0.0419603176355233,-0.002579398280097273,-0.041960317635297874
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02509,0.02485,0.02482,0.02506,0.02482,0.02506,0.0233,0.01873,0.02506,0.01807,0.21010244952180923,0.22018373772039634,0.21773844005481058,0.23785536705643703,0.2177384400548099,0.23785536705643662,0.2378553670575838,0.1964773017713753,0.23785536705643662,0.19647730177021147,-0.002774143618807998,-0.0038019785534933194,-0.003264345208849865,-0.0053955523646496174,-0.00326434520884973,-0.005395552364649421,-0.005395552364754281,-0.02922066170306805,-0.005395552364649421,-0.029220661702896306
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.0256,0.02549,0.02555,0.02591,0.02555,0.02591,0.02373,0.02187,0.02591,0.02112,0.21191936607316597,0.22241718988688658,0.2197226894076116,0.24039778753993443,0.21972268940761083,0.2403977875399337,0.2403977875411305,0.1959921123003369,0.2403977875399337,0.19599211229911243,-0.0014313720029492246,-0.002036039966613289,-0.0019462205032213678,-0.003684883991904076,-0.0019462205032214413,-0.0036848839919040705,-0.0036848839919442415,-0.013995393680834528,-0.0036848839919040714,-0.013995393680748194
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02427,0.02388,0.02394,0.02462,0.02394,0.02462,0.02255,0.02433,0.02462,0.02352,0.2122573572176832,0.22260529230467146,0.2203370628236558,0.24104778373310495,0.22033706282365462,0.2410477837331041,0.2410477837342761,0.19620650075125862,0.2410477837331041,0.19620650075001023,-0.0023524925499194913,-0.003226863104205899,-0.003071824950001916,-0.005139003154912656,-0.003071824950002071,-0.0051390031549125815,-0.005139003154883158,-7.458246168040709e-4,-0.005139003154912583,-7.458246167993489e-4
1,0.7,1,1.8,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02466,0.02566,0.0252,0.02601,0.0252,0.02601,0.02342,0.03111,0.02601,0.03007,0.21431312008983094,0.22544519201126237,0.22256395639385051,0.24437037255604066,0.22256395639384852,0.24437037255603947,0.24437037255713026,0.1982703379010954,0.24437037255603947,0.19827033789987292,-0.0013390176120310312,-0.0020418575713875868,-0.0019826114564915755,-0.003988439896720548,-0.0019826114564919024,-0.003988439896720622,-0.003988439896598068,0.014395121334464004,-0.003988439896720625,0.014395121334375958
1,0.7,1,1.8,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02523,0.02559,0.02494,0.02582,0.02494,0.02582,0.02345,0.03534,0.02582,0.03423,0.2161170044237648,0.22713749830371568,0.22448191046108845,0.2456787795234892,0.2244819104610851,0.2456787795234874,0.245678779524491,0.20108436163769733,0.2456787795234874,0.2010843616365574,-0.0020052054005038553,-0.002368602440832148,-0.002568669165647711,-0.00391598194625926,-0.0025686691656478873,-0.003915981946259451,-0.003915981946068504,0.02827242371925627,-0.003915981946259456,0.028272423719096638
1,0.7,1,1.8,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02483,0.02476,0.02454,0.02539,0.02454,0.02539,0.02279,0.04145,0.02539,0.03998,0.21699306844361027,0.22828194359794954,0.225227787935098,0.24707187854346133,0.22522778793509388,0.24707187854345955,0.24707187854419727,0.20467001877350757,0.24707187854345955,0.20467001877251564,-8.033744690005958e-4,-0.0018520688611330077,-0.0014697481937716377,-0.0038544481458172124,-0.0014697481937718938,-0.003854448145817938,-0.0038544481455454987,0.04328847668830611,-0.0038544481458179397,0.04328847668809455
1,0.7,1,1.8,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02424,0.02481,0.02388,0.02491,0.02388,0.02491,0.02248,0.04778,0.02491,0.04621,0.21851416616253058,0.22975587144162096,0.22651551823717103,0.248463001038292,0.22651551823716667,0.24846300103829022,0.2484630010388404,0.2096041260597344,0.24846300103829022,0.20960412605895076,-5.739231028874252e-4,-0.0011773555408404488,-0.0015399191350643888,-0.003544642068768629,-0.0015399191350651575,-0.0035446420687695376,-0.003544642068465238,0.057557356475592854,-0.0035446420687695415,0.05755735647536492
1,0.7,1,1.8,1,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.0247,0.02496,0.02477,0.02541,0.02477,0.02541,0.02285,0.05447,0.02541,0.05268,0.22107830451502758,0.2326514104717072,0.22973179328279483,0.25224824875200874,0.22973179328279256,0.252248248752008,0.2522482487530165,0.21508469219499776,0.252248248752008,0.21508469219445223,-0.0017314753416365022,-0.002805282710047668,-0.0021953644080450643,-0.004518651093221942,-0.002195364408047789,-0.0045186510932237215,-0.004518651093035652,0.07100369655736107,-0.004518651093223726,0.07100369655716503
1,0.7,1,1.8,1,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0_1,0.5,0.02504,0.02517,0.02585,0.02654,0.02585,0.02654,0.02364,0.06312,0.02654,0.06093,0.2236522069657253,0.23519038657517444,0.23225888981544573,0.2553521690470995,0.23225888981544465,0.2553521690470458,0.2553521690493892,0.22239097086470583,0.2553521690472102,0.22239097086444468,-7.440553650444947e-4,-0.0014967894406241852,-0.0018292785369468422,-0.004021808407304964,-0.0018292785369501852,-0.004021808407294765,-0.004021808407428924,0.08649674130270894,-0.004021808406889776,0.08649674130258693
