K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03418,0.03534,0.02481,0.0252,0.02481,0.0252,0.02372,0.01177,0.0252,0.01145,0.20683096631879644,0.2150696531785662,0.21497641716379834,0.23547645333536382,0.21497641716379834,0.23547645333536382,0.23547645333628528,0.20009388041685894,0.23547645333536382,0.20009388041590856,0.02815119406612474,0.03306926607974227,-0.0014891318705146349,-0.0027888653645920854,-0.0014891318705146349,-0.002788865364592087,-0.0027888653647482114,-0.0573239248838338,-0.002788865364592089,-0.057323924883567176
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0317,0.03341,0.02469,0.02546,0.02469,0.02546,0.02366,0.0125,0.02546,0.01206,0.2059852464595505,0.21362715641364602,0.2151678103229043,0.23482998014143228,0.2151678103229043,0.23482998014143228,0.2348299801423589,0.20093022275959924,0.23482998014143228,0.2009302227586405,0.020660050470995468,0.02462648761782666,-0.0034442842829158896,-0.004960186653839901,-0.0034442842829158896,-0.0049601866538399,-0.0049601866540053205,-0.05907884697157787,-0.004960186653839902,-0.05907884697130163
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03013,0.03218,0.02475,0.02544,0.02475,0.02544,0.02403,0.0123,0.02544,0.01192,0.20596555137025824,0.2136675594190448,0.21504095596552347,0.23484291311109692,0.21504095596552347,0.23484291311109692,0.23484291311201827,0.2002950624055129,0.23484291311109692,0.2002950624045557,0.016965698347225364,0.019979508274334423,-0.0014438849533583657,-0.0027674892552219084,-0.0014438849533583659,-0.002767489255221907,-0.002767489255378494,-0.05691521397397936,-0.002767489255221908,-0.05691521397371221
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02882,0.02919,0.02505,0.02486,0.02505,0.02486,0.0234,0.01239,0.02486,0.01193,0.20569437148096684,0.21359221083673188,0.21550292955141725,0.23559358585261164,0.21550292955141725,0.23559358585261164,0.23559358585353943,0.20076307560943857,0.23559358585261164,0.20076307560848314,0.010156675785841616,0.011621753989224243,-0.0024941751535831193,-0.003835142181134146,-0.0024941751535831197,-0.0038351421811341473,-0.0038351421812951652,-0.05727766480656972,-0.003835142181134146,-0.05727766480630337
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02653,0.02669,0.02471,0.02516,0.02471,0.02516,0.02315,0.01246,0.02516,0.01219,0.20433028684986343,0.21200656078396263,0.2141506738846243,0.23378285931851941,0.2141506738846243,0.23378285931851941,0.23378285931944148,0.20010154235516253,0.23378285931851495,0.20010154235420835,0.0039815474900558746,0.0042467200060676445,-0.0020116823923200713,-0.003045460027688816,-0.0020116823923200717,-0.0030454600276888172,-0.003045460027846317,-0.0576546480821208,-0.0030454600277028537,-0.05765464808185127
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02454,0.0247,0.02461,0.0255,0.02461,0.0255,0.02384,0.01215,0.0255,0.01191,0.20459618124222778,0.21260611464877371,0.21430675821718595,0.23422539843247211,0.21430675821718595,0.23422539843247211,0.23422539843339182,0.19952232792170427,0.23422539843247195,0.19952232792075636,-0.0015903152858991467,-0.0023615423213708526,-0.002245829652586231,-0.0032543982967113572,-0.002245829652586231,-0.003254398296711361,-0.003254398296870658,-0.05741877150377477,-0.003254398296715514,-0.05741877150350628
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02325,0.02326,0.0246,0.02572,0.0246,0.02572,0.02406,0.01235,0.02572,0.01195,0.20490965546958478,0.21329389412842395,0.21452292226551165,0.23496496476000858,0.21452292226551165,0.2349649647600086,0.23496496476093334,0.2002049767051724,0.2349649647599421,0.2002049767042175,-0.008211573732310627,-0.010363958694279248,-0.002442278471110852,-0.0040673800767846,-0.0024422784711108526,-0.0040673800767846045,-0.004067380076947305,-0.0576480297019878,-0.004067380076668689,-0.05764802970171734
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.02182,0.02132,0.02526,0.02601,0.02526,0.02601,0.02427,0.01266,0.02601,0.01233,0.20591920692069957,0.2139928030398247,0.21529900072738134,0.2346626609173734,0.21529900072738134,0.2346626609173734,0.23466266091829452,0.20038761721745668,0.23466266091735885,0.20038761721650453,-0.013309286536132827,-0.017021775839302557,-0.0010069923258608127,-0.0023414281030915743,-0.0010069923258608125,-0.0023414281030915787,-0.002341428103244142,-0.05680048763975153,-0.0023414281030377914,-0.05680048763948606
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01938,0.01908,0.02439,0.02482,0.02439,0.02482,0.02319,0.01163,0.02482,0.0113,0.20549286134169054,0.21382574442865138,0.21413391096907514,0.23383272466952446,0.21413391096907514,0.23383272466952446,0.2338327246704464,0.19979834514833428,0.23383272466952446,0.19979834514738243,-0.02000339252152932,-0.024362189254284707,-0.0022661390843408758,-0.003258952303545253,-0.0022661390843408758,-0.003258952303545253,-0.0032589523037034615,-0.05752628826047458,-0.0032589523035452548,-0.05752628826020613
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.01894,0.018,0.02474,0.0252,0.02474,0.0252,0.02347,0.01299,0.0252,0.01259,0.2075351209174974,0.21629484832855775,0.2155932224440278,0.23446533343868903,0.2155932224440278,0.23446533343868903,0.23446533343960885,0.20063763652245895,0.23446533343859588,0.20063763652150948,-0.026230511663479734,-0.03200084841939875,-0.0021135392762443,-0.003621515045909088,-0.0021135392762443,-0.0036215150459090904,-0.0036215150460648157,-0.05756378466222441,-0.0036215150458561037,-0.05756378466195804
