K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.05938,0.06643,0.02464,0.02616,0.02464,0.02616,0.0235,0.05257,0.02616,0.05075,0.23183552906371102,0.24386476090073653,0.22879145599754286,0.2509384400134061,0.22879145599754286,0.2509384400134061,0.2509384400145444,0.21242929319567602,0.2509384400134061,0.21242929319500606,0.08634449401979497,0.1019417947402148,-0.0036802292832054675,-0.005498857693556501,-0.0036802292832054683,-0.005498857693556505,-0.0054988576933714985,0.06383294382816426,-0.005498857693556505,0.0638329438279482
1,0.7,1,0.4,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.056,0.0624,0.02521,0.02602,0.02521,0.02602,0.02344,0.05166,0.02602,0.04993,0.2301124523571025,0.241507388321932,0.22940617095103988,0.2515799586619405,0.22940617095103988,0.2515799586619405,0.251579958665257,0.21263530432420114,0.2515799586619405,0.21263530432353117,0.08060114801011757,0.09480349624521671,-0.0027098611176988156,-0.004830181239560622,-0.0027098611176988143,-0.0048301812395606224,-0.004830181239808163,0.06406888519587792,-0.004830181239560627,0.06406888519565786
1,0.7,1,0.4,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.05317,0.05817,0.02567,0.02607,0.02567,0.02607,0.02336,0.05139,0.02607,0.04958,0.22824414956056574,0.23925841781635127,0.2295389574617722,0.2519129599435333,0.2295389574617722,0.2519129599435333,0.25191295994383467,0.2130546986150939,0.2519129599435333,0.21305469861442422,0.07465679442318622,0.08792866500333013,-0.00277820263054013,-0.004355079507688424,-0.00277820263054013,-0.004355079507688427,-0.004355079507328278,0.06421357467430489,-0.004355079507688427,0.06421357467409147
1,0.7,1,0.4,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0485,0.05336,0.02436,0.02573,0.02436,0.02573,0.02293,0.05152,0.02573,0.04987,0.22571520485236532,0.23606515321674074,0.22894911615907862,0.25150689968071704,0.22894911615907862,0.25150689968071704,0.2515068996814342,0.21254109978188024,0.25150689968071704,0.21254109978120805,0.06825743670442887,0.08024468311642012,-0.0027776271234172516,-0.0049962866393019395,-0.0027776271234172516,-0.004996286639301945,-0.0049962866390403865,0.0645039300280082,-0.004996286639301944,0.0645039300277911
1,0.7,1,0.4,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04562,0.0497,0.02369,0.02493,0.02369,0.02493,0.02213,0.05006,0.02493,0.04837,0.22384662337474237,0.23392179937859148,0.22845944670631715,0.2514252185090483,0.22845944670631715,0.2514252185090483,0.25142521852061905,0.2122061322623925,0.25142521852017813,0.21220613226172508,0.0612314487669532,0.07191036782042591,-0.0034627775897920487,-0.0056412617615513696,-0.0034627775897920487,-0.005641261761551374,-0.005641261763240737,0.06360153789973204,-0.00564126176357011,0.06360153789951412
1,0.7,1,0.4,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04297,0.04653,0.02532,0.02598,0.02532,0.02598,0.02324,0.05164,0.02598,0.04993,0.22171092025963385,0.2311713574569101,0.22799156888960923,0.25070262460796955,0.22799156888960923,0.25070262460796955,0.2507026246083029,0.2117381163532765,0.2507026246080078,0.21173811635260562,0.055785861311175,0.06479115990663868,-0.001969421413901175,-0.004518942524326994,-0.001969421413901175,-0.004518942524326995,-0.004518942523976737,0.06448854834342221,-0.004518942524039115,0.06448854834320468
1,0.7,1,0.4,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.04107,0.0439,0.02507,0.02581,0.02507,0.02581,0.02318,0.05089,0.02581,0.049,0.22063545169400733,0.23002105093704642,0.22835978820460334,0.25130580884278914,0.22835978820460334,0.25130580884278914,0.2513058088430846,0.21210128477971446,0.25130580884278914,0.21210128477904627,0.04933285782894861,0.057637482734342556,-0.0023236121983833415,-0.004438060370989961,-0.0023236121983833424,-0.004438060370989962,-0.004438060370628057,0.0643908384903523,-0.004438060370989964,0.0643908384901309
1,0.7,1,0.4,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03899,0.04093,0.02541,0.02601,0.02541,0.02601,0.02313,0.05136,0.02601,0.0497,0.21951334490663973,0.22836873027592874,0.22814163584114047,0.25088997576410643,0.22814163584114047,0.25088997576410643,0.25088997576450395,0.21163908211580457,0.25088997576410643,0.2116390821151392,0.043233589620727264,0.05028342046126118,-0.001430831301877148,-0.003637464904764786,-0.0014308313018771477,-0.003637464904764793,-0.0036374649044333693,0.06462304557590175,-0.00363746490476479,0.06462304557568857
1,0.7,1,0.4,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.0353,0.0381,0.02486,0.02556,0.02486,0.02556,0.02276,0.05139,0.02556,0.04986,0.21840428753528712,0.2269139573138568,0.22867266177903967,0.2508586070562316,0.22867266177903967,0.2508586070562316,0.25085860705854857,0.2123051014339957,0.2508586070562316,0.2123051014333304,0.03591050151246819,0.04190854405897147,-0.002562541791372252,-0.00481420878989431,-0.0025625417913722514,-0.0048142087898943135,-0.0048142087899266965,0.0646535953321891,-0.004814208789894312,0.0646535953319746
1,0.7,1,0.4,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H0,0.5,0.03391,0.03525,0.02485,0.02569,0.02485,0.02569,0.02269,0.05179,0.02569,0.05005,0.2176276429753736,0.22585803930967283,0.22845688988853408,0.2507353541815923,0.22845688988853408,0.2507353541815923,0.250735354181938,0.21221221941020216,0.2507353541815923,0.21221221940953308,0.030034227850875148,0.03481709008653764,-0.0020294048321666384,-0.00419842589718649,-0.002029404832166638,-0.004198425897186489,-0.004198425896838018,0.06506305238105291,-0.004198425897186491,0.06506305238083215
