K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02464,0.0245,0.02482,0.0257,0.02482,0.0257,0.02454,0.00441,0.0257,0.00432,0.20059412024105497,0.2079851986222037,0.20934350571069607,0.22788394368687737,0.20934350571069182,0.22788394368689716,0.22788394368722226,0.22460221300800373,0.2278839436818045,0.22460221300749378,-8.808410699581986e-4,-0.0021375805291500246,-0.0011191270508369689,-0.002252594286517357,-0.001119127050853842,-0.002252594286438567,-0.0022525942865549995,-0.12436490090758459,-0.0022525942846979355,-0.12436490090750801
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02404,0.02368,0.02412,0.02433,0.02412,0.02433,0.02304,0.00555,0.02433,0.00538,0.20146001589072926,0.208527093437254,0.21068427101961085,0.22912206281800962,0.21068427101961085,0.22912206281800962,0.22912206281842362,0.21869982203606483,0.22912206281596692,0.21869982203554114,-0.0019134912318492202,-0.0030872065710383523,-0.002365950228910246,-0.0037703074919593987,-0.0023659502289102457,-0.0037703074919593987,-0.0037703074920807053,-0.11173771940534458,-0.0037703074906466965,-0.11173771940509912
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02552,0.02529,0.02529,0.02561,0.02529,0.02561,0.02423,0.00689,0.02561,0.00667,0.20206774083817222,0.209273448060985,0.2117552032558808,0.2302216743487676,0.2117552032558808,0.2302216743487676,0.23022167434928806,0.21196695176140457,0.23022167434818036,0.21196695176079644,-5.084082072912573e-4,-0.0011809776265297364,-0.0010099748768003223,-0.0017008296252947455,-0.001009974876800322,-0.0017008296252947455,-0.0017008296254312893,-0.09666517985888332,-0.0017008296249032514,-0.09666517985861535
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02574,0.02557,0.02535,0.02545,0.02535,0.02545,0.02411,0.00869,0.02545,0.00849,0.2031046974695861,0.21046569168684967,0.21253156911586524,0.2318326824885261,0.21253156911586524,0.2318326824885261,0.2318326824891907,0.20722485141945682,0.23183268248839947,0.2072248514187263,-0.0010942662778012683,-0.0021853061297918016,-0.00177268078116159,-0.003383441618920185,-0.0017726807811615898,-0.003383441618920186,-0.003383441619079599,-0.08313305736805503,-0.003383441619035584,-0.08313305736777092
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02494,0.02492,0.02458,0.02536,0.02458,0.02536,0.02358,0.01062,0.02536,0.01034,0.20448251991877195,0.21198058745259002,0.21390673176934968,0.2331813139861717,0.21390673176934968,0.2331813139861717,0.2331813139869723,0.20349256396646734,0.23318131398613454,0.2034925639656158,-0.0012462346390470517,-0.0022014308026499247,-0.0019802927086597063,-0.003410705329881204,-0.0019802927086597054,-0.0034107053298812026,-0.0034107053300430393,-0.06969594505670228,-0.003410705329920459,-0.06969594505641766
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02494,0.02453,0.02518,0.02452,0.02518,0.02452,0.0228,0.01248,0.02452,0.01202,0.20485075985579046,0.21235301667860787,0.21458852380562787,0.23429365254406562,0.21458852380562787,0.23429365254406562,0.23429365254500104,0.19950437455600697,0.2342936525440472,0.19950437455504583,-6.42984221309652e-4,-0.0019217733798491635,-0.0016346852053511552,-0.003939936986268993,-0.0016346852053511544,-0.003939936986268999,-0.0039399369864291595,-0.0552901249485494,-0.003939936986241776,-0.055290124948285994
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02524,0.02471,0.0251,0.02481,0.0251,0.02481,0.0231,0.01521,0.02481,0.01474,0.20645545641227273,0.21427161882316717,0.21672947220200806,0.23675529916476262,0.21672947220200806,0.23675529916476262,0.23675529916581778,0.1980226881256519,0.23675529916476262,0.19802268812457688,-0.002507682071944559,-0.003358451725892524,-0.0037295435135081055,-0.005307459782048481,-0.0037295435135081046,-0.005307459782048486,-0.005307459782189431,-0.04300188319294606,-0.005307459782048485,-0.04300188319271832
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02421,0.02476,0.02396,0.02449,0.02396,0.02449,0.02263,0.01744,0.02449,0.01683,0.20699386689257238,0.21474206530980042,0.21727305243362852,0.23787316766692465,0.21727305243362852,0.23787316766692465,0.2378731676680668,0.1956264635598468,0.23787316766692465,0.19562646355868815,-9.346938460793824e-4,-0.0016438947081694696,-0.0022571245450427892,-0.003953609406573645,-0.0022571245450427892,-0.003953609406573648,-0.003953609406669478,-0.027551654064258347,-0.003953609406573649,-0.02755165406409708
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02503,0.02548,0.02473,0.02516,0.02473,0.02516,0.02296,0.02165,0.02516,0.02095,0.20857201673340378,0.21629694704050442,0.2188576128160705,0.2391925222149713,0.2188576128160705,0.2391925222149713,0.23919252221616352,0.1958922431571223,0.2391925222149713,0.19589224315589668,-0.0017349043149462989,-0.0021689258610079775,-0.002787281315478136,-0.00399441928042141,-0.0027872813154781366,-0.003994419280421414,-0.003994419280462984,-0.01475253662623105,-0.003994419280421415,-0.014752536626139881
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H0,0.5,0.02502,0.02533,0.02485,0.02599,0.02485,0.02599,0.02396,0.02566,0.02599,0.02467,0.20981874186585064,0.21769784097999087,0.2206215171055541,0.24134969764728914,0.2206215171055541,0.24134969764728914,0.24134969764846467,0.19617151786973963,0.24134969764728914,0.19617151786849457,-7.875257625300397e-6,-8.930758788748386e-4,-0.001285911455378011,-0.0032213957637715713,-0.0012859114553780107,-0.0032213957637715705,-0.003221395763734118,4.3668127826467466e-4,-0.0032213957637715752,4.3668127826190355e-4
