K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.80415,0.7784,0.73557,0.66959,0.73557,0.66959,0.65137,0.74943,0.66959,0.74417,0.22339512419732724,0.2309492867345817,0.23047930536854963,0.24711102267290852,0.23047930536882397,0.24711102267290858,0.2471110226731998,0.21352114687111934,0.24711102266774063,0.21352114687120663,0.028333890926898673,0.03166121490645242,0.0021121344004139896,2.6203097812688874e-4,0.0021121344005128675,2.620309781267744e-4,2.620309788251546e-4,-0.05342051166683754,2.620309766020369e-4,-0.05342051166740427
1,0.7,1,1.8,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.79794,0.77154,0.73740000000000006,0.67327,0.73740000000000006,0.67327,0.65509,0.74965,0.67327,0.74444,0.22229861072000096,0.2298833394013314,0.2296242298196061,0.246060462829365,0.22962422981854583,0.246060462829365,0.2460604628295581,0.21279469144901927,0.24606046282434654,0.2127946914474822,0.02419406427108596,0.02645238132386553,0.0036280714619957677,0.0013985210547414503,0.003628071461750114,0.0013985210547414,0.0013985210554002953,-0.05261697917550718,0.0013985210533312789,-0.05261697917650519
1,0.7,1,1.8,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78814,0.76035,0.73601,0.67149,0.73601,0.67149,0.65338,0.74744,0.67149,0.74205,0.22191961203358693,0.2299294759542245,0.23005751798959137,0.2469507868402955,0.2300575179895914,0.24695078684029553,0.246950786840349,0.21342051555240507,0.24695078683427943,0.21342051555188646,0.017136738462068896,0.018703375259174315,0.001958399739794375,-2.150557007069129e-4,0.001958399739794301,-2.1505570070708276e-4,-2.1505570008018492e-4,-0.05418189731423955,-2.150557025614562e-4,-0.05418189731499303
1,0.7,1,1.8,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78053,0.74952,0.7361,0.66926,0.7361,0.66926,0.65085,0.74745,0.66926,0.74181,0.22102642577213114,0.22916936214984948,0.2294194960157724,0.24621735683089344,0.22941949601577247,0.24621735683089346,0.24621735683094237,0.21300509004134846,0.24621735682231688,0.21300509004161006,0.01081280533927869,0.01131727955182167,8.141542278264537e-4,-0.001483982763989844,8.141542278263843e-4,-0.0014839827639899698,-0.0014839827633694402,-0.055090309295518426,-0.0014839827666227612,-0.055090309296026437
1,0.7,1,1.8,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.77229,0.74097,0.73467,0.67062,0.73467,0.67062,0.65201,0.74651,0.67062,0.74145,0.22156840241556655,0.2299430686232934,0.22966571881743014,0.2464668387722076,0.22966571881743014,0.24646683877220762,0.24646683877261444,0.21325978384344932,0.24646683876475473,0.21325978384334,0.006750809267683227,0.006436128840798884,0.00157652246021172,-8.982298985324607e-4,0.001576522460211634,-8.982298985325751e-4,-8.982298978444202e-4,-0.05440866188832051,-8.98229900527602e-4,-0.05440866188890109
1,0.7,1,1.8,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.76546,0.73003,0.73452,0.67013,0.73452,0.67013,0.65269,0.74778,0.67013,0.74224,0.22231351966664972,0.23060563564597916,0.2308322168064762,0.24737669889290026,0.2308322168064762,0.24737669889290023,0.24737669889297925,0.21336976698869556,0.24737669888446073,0.21336976698891785,0.0022434362801436432,0.0011036613800235195,0.0024184466077041256,4.54667705220518e-4,0.002418446607704096,4.5466770522042884e-4,4.5466770585287145e-4,-0.05366628267213067,4.5466770277646014e-4,-0.0536662826726526
1,0.7,1,1.8,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.75758,0.71985,0.73285,0.66794,0.73285,0.66794,0.64961,0.74622,0.66794,0.7406,0.2215752919375499,0.23032046822537244,0.22968810663717235,0.2463934658620057,0.2296881066360165,0.2463934658620281,0.2463934658620022,0.21318933694921605,0.24639346585641017,0.21318933694833997,-0.004355119577273916,-0.006622411464722012,8.075313748613655e-4,-0.0016215641573863854,8.075313745194276e-4,-0.0016215641573800125,-0.0016215641567867624,-0.0552342119193895,-0.0016215641590482627,-0.055234211920230036
1,0.7,1,1.8,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.74971,0.71228,0.73471,0.67026,0.73471,0.67026,0.65219,0.74867,0.67026,0.74329,0.22211274766404554,0.23131717617249906,0.2301234034909444,0.2469167710372236,0.2301234034909445,0.24691677103722376,0.24691677103726803,0.21319706062804056,0.24691677103249654,0.21319706062843047,-0.007074080101958372,-0.009846964514097695,0.0031177243382336647,0.0010709551070155559,0.003117724338233591,0.0010709551070152575,0.0010709551076233572,-0.052712605027931785,0.0010709551056277717,-0.05271260502839494
1,0.7,1,1.8,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.74513,0.70408,0.73632,0.66952,0.73632,0.66952,0.65108,0.74945,0.66952,0.74441,0.2219997518402794,0.23127332099391087,0.2297731797255697,0.24651504935307977,0.2297731797255698,0.2465150493530798,0.2465150493531637,0.21255503380012822,0.24651504935135493,0.2125550338003596,-0.012013075809858121,-0.015900067764295985,0.0030777966441306493,7.043145773813218e-4,0.003077796644130299,7.043145773810295e-4,7.043145779969864e-4,-0.052784238585974946,7.043145769698163e-4,-0.05278423858648349
1,0.7,1,1.8,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.73836,0.69402,0.73718,0.67157,0.73718,0.67157,0.65419,0.74939,0.67157,0.74361,0.22299201563693244,0.23273165139516014,0.23021472516051478,0.24686062131483405,0.23021472516051503,0.24686062131483402,0.24686062131494468,0.2134598799141468,0.24686062130977618,0.21345987991435111,-0.016940531777334927,-0.02178351710202607,0.002871268480686943,6.173922824941347e-4,0.0028712684806863975,6.173922824937411e-4,6.173922831267122e-4,-0.05354327825808182,6.173922810927853e-4,-0.053543278258606344
