K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.81409,0.79838,0.66879,0.60196,0.66879,0.60196,0.57552,0.85489,0.60196,0.85056,0.25024910975774595,0.25979624105736326,0.24846910062266392,0.267315299536871,0.24846910065059993,0.2673152995468107,0.2673152996978886,0.23281659110577088,0.26731529947567545,0.23281659090949355,0.08044744435656034,0.09085026172771521,0.0021197878719868024,-7.129495131450009e-4,0.002119787884079554,-7.129495076776547e-4,-7.129494396431404e-4,0.06848645324103833,-7.129494326096135e-4,0.06848645317343033
1,0.7,1,1.8,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.80558,0.79007,0.66761,0.60075,0.66761,0.60075,0.57356,0.85416,0.60075,0.84953,0.24869479517797183,0.25852264190369867,0.24890733409421176,0.2679444073533396,0.24890733411394525,0.2679444073617807,0.2679444075217487,0.232926872276072,0.2679444072892607,0.23292687207383017,0.074633323872420207,0.08457193942008745,0.0021729656664996578,-4.4488151916913525e-4,0.0021729656740958245,-4.448815155484293e-4,-4.448814453698505e-4,0.06863095350869111,-4.4488145042838903e-4,0.06863095343863095
1,0.7,1,1.8,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.79823,0.78077,0.67032,0.6048,0.67032,0.6048,0.57778,0.85526,0.6048,0.85094,0.24676508392649166,0.2558146096943727,0.24845581114196316,0.26720247903187694,0.2484558111615514,0.267202479039333,0.267202479185605,0.2327718608016942,0.26720247896870597,0.23277186061786875,0.0688154995329792,0.07799190608814009,0.0031818744819770177,5.934455435044532e-4,0.0031818744906821333,5.934455472665569e-4,5.934456109277958e-4,0.0692247233911736,5.934456141302009e-4,0.06922472332803419
1,0.7,1,1.8,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.78955,0.7716,0.6689,0.6023,0.6689,0.6023,0.57598,0.85654,0.6023,0.85207,0.24600630862102663,0.254732978192591,0.24891763496482308,0.26741542483406855,0.24891763499817618,0.26741542484127245,0.2674154249949415,0.23343784463067183,0.2674154247744046,0.23343784442794413,0.06362916054125041,0.07171275154315228,0.00342573117950569,1.7656876971907265e-4,0.0034257311937802367,1.7656877312141443e-4,1.7656884439927356e-4,0.07026450842305505,1.765688445152673e-4,0.0702645083522335
1,0.7,1,1.8,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.77984,0.75931,0.66885,0.60164,0.66885,0.60164,0.57562,0.85391,0.60164,0.84923,0.24492487100404645,0.25402487924801026,0.24924989471995807,0.2680811058638804,0.24924989474658896,0.26808110587579187,0.2680811060321396,0.23390766516748793,0.2680811058199575,0.23390766496377768,0.05647522555548679,0.06397385696927328,0.0029303734644435587,2.0603090959679296e-4,0.0029303734744188857,2.0603091405608763e-4,2.0603098474351772e-4,0.06920538232536114,2.0603098411534364e-4,0.06920538225536696
1,0.7,1,1.8,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.77148,0.7494,0.66689,0.60143,0.66689,0.60143,0.57573,0.85366,0.60143,0.84895,0.24381785258849914,0.2529581884392837,0.24918519790728008,0.2681345993326796,0.24918519794182403,0.2681345993385124,0.2681345995060634,0.23346900525390377,0.26813459926833355,0.23346900503334936,0.05046765136793506,0.05717471678052812,0.0025701586854146113,4.748257531977151e-4,0.0025701586988336874,4.7482575576518775e-4,4.7482583251080526e-4,0.06889905655400264,4.748258353876817e-4,0.06889905647739726
1,0.7,1,1.8,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.76294,0.73952,0.66559,0.60035,0.66559,0.60035,0.57334,0.85227,0.60035,0.84758,0.24222506415987402,0.25120595054371814,0.24868677725327284,0.267694661120808,0.24868677727943608,0.26769466112765283,0.2676946612903161,0.23306143774790597,0.26769466106878254,0.2330614375357184,0.04332013774555605,0.04895685943885919,0.001401270948652607,-0.001480103272270692,0.0014012709603681828,-0.001480103269631067,-0.0014801031965445094,0.06733496806404914,-0.0014801031992211088,0.06733496799144056
1,0.7,1,1.8,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.75357,0.72965,0.66755,0.60222,0.66755,0.60222,0.57597,0.8523,0.60222,0.84799,0.24147860505878668,0.25025742754869396,0.24884823048062868,0.2676110703255727,0.2488482305085059,0.2676110703371569,0.26761107049093946,0.23301097890443206,0.2676110702536634,0.233010978709198,0.037735879387873955,0.04283083181181121,0.0016713425257987651,-4.7970256889048776e-4,0.0016713425372736205,-4.79702562064708e-4,-4.7970249506750715e-4,0.06752659906448956,-4.7970248792642673e-4,0.06752659899630399
1,0.7,1,1.8,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.74921,0.72066,0.66912,0.60347,0.66912,0.60347,0.57706,0.85475,0.60347,0.8501,0.24021412645774523,0.24908071824901468,0.24762004498510765,0.26657233377075223,0.24762004500772536,0.2665723337810601,0.26657233391828167,0.23242122406501067,0.2665723337102923,0.23242122388533223,0.03332465728376682,0.03734250437669771,0.0030863342009038973,6.980048448824021e-4,0.003086334210979582,6.980048491674919e-4,6.980049112844598e-4,0.06900374286557964,6.980049145021225e-4,0.06900374280260696
1,0.7,1,1.8,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1_1,0.5,0.74008,0.71143,0.67028,0.60462,0.67028,0.60462,0.57758,0.85639,0.60462,0.85172,0.2401106855509615,0.2494127650915324,0.24826161342102576,0.26742131860763363,0.24826161345150244,0.26742131862179847,0.267421318775754,0.23289800926282148,0.2674213185452164,0.23289800906431793,0.027567162014788663,0.03061436573530421,0.002934786641550299,4.867144448186148e-4,0.0029347866528107234,4.86714451179334e-4,4.8671452018111277e-4,0.0694513264159389,4.867145177417907e-4,0.06945132634615081
