K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.79593,0.76363,0.76696,0.70347,0.76696,0.70347,0.68786,0.66187,0.70347,0.65682,0.21365869385039532,0.2212389555976945,0.22200278091574038,0.23759755275302175,0.22200278091574038,0.23759755275302175,0.23759755275303251,0.23324650799791397,0.2375975527532205,0.23324650799889196,0.00248965415866342,0.0010541507437364212,0.002580466716633157,-1.6683271127128093e-5,0.0025804667166331573,-1.668327112727778e-5,-1.668326913975021e-5,-0.12205831627245595,-1.6683271048627146e-5,-0.12205831627432444
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.78847,0.75668,0.75807,0.69436,0.75807,0.69436,0.67899,0.67892,0.69436,0.67347,0.2153516844734501,0.223073346224848,0.2236923302895004,0.2392757931871654,0.22369233028950042,0.23927579318716546,0.23927579318708986,0.22819703768462718,0.23927579317855477,0.22819703768553687,0.001288802221933728,-2.7328631151921025e-4,0.0012232443465250973,-0.0011956319186114546,0.0012232443465250316,-0.0011956319186116815,-0.0011956319167988898,-0.10891993505696508,-0.0011956319210296579,-0.10891993505864896
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.78578,0.75193,0.75514,0.68817,0.75514,0.68817,0.67178,0.6988,0.68817,0.69316,0.2173558187483845,0.22548844309236452,0.22508159444529866,0.2411717428044163,0.2250815944444418,0.2411717428039338,0.24117174280429288,0.22293791632807272,0.24117174279561426,0.22293791632853927,0.00262533621224732,0.001138029168586686,0.0022941542886795495,-3.3733385461563097e-4,0.002294154288477677,-3.3733385474753435e-4,-3.3733385305065024e-4,-0.09367414669368496,-3.3733385710076524e-4,-0.09367414669520324
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.7808,0.74581,0.75061,0.68242,0.75061,0.68242,0.66522,0.71854,0.68242,0.71274,0.21809506204477394,0.22640588348432752,0.2260634041678406,0.24260512662857184,0.22606340416784063,0.24260512662857178,0.24260512662845113,0.2179603447051794,0.24260512662107384,0.21796034470585005,0.0027932763013537244,0.001284269513115242,0.002658171159102776,-3.6029218012242903e-4,0.002658171159102681,-3.6029218012271103e-4,-3.602921788554901e-4,-0.07998775338392378,-3.602921823122642e-4,-0.0799877533850662
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.77357,0.73944,0.74249,0.67706,0.74249,0.67706,0.6596,0.73582,0.67706,0.7304,0.220117078152415,0.22825333176312979,0.2285909582791083,0.24495384601400852,0.22859095827910833,0.24495384601400869,0.2449538460139551,0.21489344215251024,0.244953846010116,0.21489344215298165,0.0029921127974392014,0.0019145575981004963,0.0027019803786122094,5.811665264310078e-4,0.002701980378612103,5.811665264307103e-4,5.811665273544013e-4,-0.06544887987752154,5.811665253135273e-4,-0.06544887987832644
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.76676,0.73141,0.73547,0.67043,0.73547,0.67043,0.65259,0.74965,0.67043,0.7442,0.2215667056160494,0.23032533862148033,0.22983096248718562,0.24708787113380062,0.22983096248718565,0.24708787113380076,0.24708787113385094,0.21299619074295645,0.2470878711267481,0.21299619074320775,0.0021962396575169,0.0013732100840482175,0.0019649760364806013,1.1910865448310962e-4,0.001964976036480576,1.1910865448292772e-4,1.191086550624277e-4,-0.05260578255587794,1.1910865244434299e-4,-0.052605782556347735
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.75802,0.72331,0.72632,0.66108,0.72632,0.66108,0.64169,0.76532,0.66108,0.75982,0.22371371349203617,0.23257889837854762,0.23236894000634128,0.24985832271178013,0.23236894000634128,0.24985832271178016,0.24985832271204134,0.2115855933956067,0.2498583227085684,0.2115855933955701,0.0014598018901715924,7.440206049216855e-4,0.0013604484308699868,-5.900389458185456e-4,0.0013604484308698047,-5.900389458186661e-4,-5.900389455831582e-4,-0.03917581227448527,-5.90038946776033e-4,-0.03917581227463043
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.75216,0.71828,0.7192,0.65663,0.7192,0.65663,0.63667,0.77937,0.65663,0.7741,0.22575403507838984,0.2344830753631333,0.23410417044811105,0.25095455084628704,0.234104170448111,0.25095455084628704,0.2509545508475128,0.21171687646740042,0.250954550840056,0.2117168764662978,0.0032297755869004777,0.0024232999327677023,0.0028533979146465856,0.0010082009309241766,0.002853397914646656,0.0010082009309241443,0.0010082009311160117,-0.024166020338410366,0.0010082009299531359,-0.02416602033853197
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.74606,0.7106,0.71547,0.64936,0.71547,0.64936,0.6287,0.79456,0.64936,0.78973,0.2262778596554022,0.23539349293559322,0.23429180194988236,0.25180877492335857,0.2342918019498823,0.25180877492335846,0.25180877492654286,0.21091647404188535,0.251808774919942,0.21091647403781252,0.0031386430218935434,0.0023194609006753778,0.002606069752484704,6.243590823820328e-4,0.0026060697524849263,6.243590823823224e-4,6.243590830173723e-4,-0.00982073941356974,6.243590830688076e-4,-0.009820739414104912
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1_1,0.5,0.74055,0.70351,0.70686,0.63991,0.70686,0.63991,0.61777,0.80755999999999994,0.63991,0.80273,0.2288821749084111,0.23770319916847724,0.2372460561402828,0.25479028381339724,0.2372460561402826,0.2547902838133971,0.2547902838195475,0.21331749773799152,0.2547902838081905,0.21331749773081524,0.0031645036514559247,0.0023154708492597095,0.0025518813070808865,6.349249514736272e-4,0.0025518813070817717,6.349249514743459e-4,6.349249527481763e-4,0.004599866869642829,6.34924954063611e-4,0.004599866868405825
