K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.81481,0.79625,0.73513,0.6712,0.73513,0.6712,0.65281,0.74662,0.6712,0.7415,0.22314322712208387,0.22921725386861014,0.23146318318358908,0.24807725477543321,0.23146318318334716,0.24807725477543321,0.24807725477553236,0.21412965538704729,0.2480772547668516,0.21412965538727757,0.03395152485915215,0.03709792941540075,0.002766259986364363,0.001143742575129247,0.002766259986288076,0.0011437425751292544,0.0011437425757565732,-0.053534066736388095,0.0011437425725889592,-0.053534066736896264
1,0.7,1,0.4,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.80922,0.78731,0.73534,0.67077,0.73534,0.67077,0.6527,0.74892,0.67077,0.74368,0.22105250415005662,0.22719954936697925,0.22994791699714692,0.2467437442865154,0.22994791699680783,0.24674374428651544,0.2467437442865391,0.21326198287821396,0.24674374427819448,0.21326198287825396,0.027737906009491317,0.029912274512912094,0.0021263182682598517,-2.316507808514991e-5,0.0021263182681592317,-2.3165078085151446e-5,-2.316507747781119e-5,-0.05328935272115889,-2.3165080412158895e-5,-0.053289352721733914
1,0.7,1,0.4,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.80105,0.77847,0.73689,0.67289,0.73689,0.67289,0.65426,0.74878,0.67289,0.74333,0.22026022776029935,0.226171926944644,0.22980332420254326,0.24641310318561252,0.22980332420254326,0.24641310318561252,0.24641310318562054,0.21324627858974896,0.24641310318205287,0.21324627859006204,0.020874519507011594,0.022244897862856557,0.0020587779652584885,-1.5511751899802053e-4,0.0020587779652584885,-1.5511751899801945e-4,-1.5511751839383548e-4,-0.054108487829396965,-1.5511751992455783e-4,-0.05410848782988924
1,0.7,1,0.4,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.79249,0.76737,0.73662,0.669,0.73662,0.669,0.65068,0.74759,0.669,0.74256,0.2198538467559799,0.2260784915339229,0.22983239161123767,0.2468626597091458,0.22983239161088007,0.2468626597091458,0.246862659709155,0.2134238428832908,0.2468626597053391,0.2134238428840452,0.014757277555305577,0.014974567715968026,0.0022449779444993112,-3.0804718085240156e-4,0.0022449779443806327,-3.0804718085240205e-4,-3.080471802541688e-4,-0.05359895027213034,-3.0804718190615907e-4,-0.05359895027249867
1,0.7,1,0.4,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.78582,0.75862,0.7371,0.67051,0.7371,0.67051,0.65206,0.74871,0.67051,0.74314,0.21834691212083515,0.22477035151628655,0.22913319075201535,0.246069744798918,0.22913319075244026,0.24606974479901234,0.2460697447989784,0.2124650633962981,0.24606974479043298,0.2124650633967508,0.008793190363367058,0.008080019973624867,0.002101549649761707,-4.081040285244139e-4,0.002101549649910174,-4.081040284931867e-4,-4.0810402790772453e-4,-0.054309237085509374,-4.081040310551633e-4,-0.054309237085964225
1,0.7,1,0.4,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.77603,0.74755,0.73786,0.67177,0.73786,0.67177,0.65365,0.74847,0.67177,0.74342,0.2192519282878884,0.22601539019815597,0.2298452510694401,0.24672673153159924,0.2298452510690706,0.24672673153159924,0.2467267315317512,0.2129281256120641,0.24672673152830665,0.21292812561195962,0.002592903760462864,8.258490584635212e-4,0.0030162906487560246,5.1292549933651e-4,0.003016290648658107,5.129254993365054e-4,5.129254999834019e-4,-0.05380895302454223,5.129254984027291e-4,-0.053808953025168985
1,0.7,1,0.4,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.76598,0.73619,0.73493,0.67015,0.73493,0.67015,0.65151,0.7492,0.67015,0.74358,0.21926170194238823,0.2259819580734783,0.23003986178247218,0.24668001995977182,0.23003986178254132,0.24668001995977182,0.24668001996053726,0.2130215355129488,0.24668001995787198,0.2130215355126756,-0.0041656567351341335,-0.006452529245687507,0.001637897315281351,-4.430964524531077e-4,0.0016378973152974012,-4.4309645245310973e-4,-4.4309645168286117e-4,-0.05384894726259408,-4.4309645296668464e-4,-0.053848947263207436
1,0.7,1,0.4,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.75579,0.72419,0.73485,0.66952,0.73485,0.66952,0.65171,0.74721,0.66952,0.74162,0.2200360949494756,0.227177227652385,0.23010453580785825,0.24696952539685543,0.23010453580785076,0.24696952539718073,0.24696952539687472,0.21352120532265423,0.24696952539420133,0.21352120532298993,-0.01109921347473264,-0.014573644924774974,0.0017629845820714561,-5.7770275244549e-4,0.0017629845820692877,-5.777027523285457e-4,-5.777027518387356e-4,-0.05406882090550414,-5.77702753204565e-4,-0.05406882090599213
1,0.7,1,0.4,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.74715,0.71395,0.73532,0.67265,0.73532,0.67265,0.65413,0.74661,0.67265,0.74144,0.22058189790267052,0.22751631896294924,0.23024974234769727,0.24677793722198013,0.23024974234793763,0.24677793722146874,0.24677793722123398,0.21401655972135009,0.24677793721589675,0.21401655972182634,-0.01693463287161651,-0.021062887908822606,0.002387025183851959,3.078600932178628e-4,0.002387025183927855,3.078600930363172e-4,3.0786009355908726e-4,-0.05378082148985621,3.078600916131841e-4,-0.053780821490308973
1,0.7,1,0.4,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.73592,0.70104,0.73384,0.66913,0.73384,0.66913,0.65108,0.74673,0.66913,0.74166,0.22072301268662503,0.22858157944235877,0.22999160735985943,0.2468957034665421,0.22999160735966653,0.2468957034665421,0.24689570346657502,0.21330916236568334,0.24689570346075213,0.21330916236620526,-0.023855712432663052,-0.02939767245333114,0.0018662103866877522,-8.805896946689627e-4,0.001866210386633759,-8.80589694668964e-4,-8.80589694060379e-4,-0.05422807659569086,-8.80589696464769e-4,-0.054228076596126024
1,0.7,1,0.4,1.8,-0.2282587,0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.72672,0.68875,0.73525,0.66977,0.73525,0.66977,0.6509,0.74698,0.66977,0.74137,0.22137699597017704,0.22991649459847124,0.22969347633110443,0.2469039356949535,0.22969347633068682,0.2469039356949535,0.24690393569495866,0.21324634420410468,0.24690393569296484,0.2132463442032767,-0.030272079442036644,-0.036513383646200666,0.0019074374581385786,-3.837992188298524e-4,0.0019074374580265545,-3.8379921882985386e-4,-3.8379921822447315e-4,-0.054449392244413274,-3.8379921942805287e-4,-0.054449392245213786
1,0.7,1,0.4,1.8,-0.2282587,0.11111111111111105,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.71794,0.67901,0.73632,0.67051,0.73632,0.67051,0.65324,0.74866,0.67051,0.74384,0.2223780176614918,0.23075364536911458,0.22981798663448488,0.2463456267346241,0.22981798663445227,0.2463456267346241,0.2463456267346299,0.21284456523788486,0.246345626728273,0.21284456523802142,-0.03588928901812615,-0.04281545100422201,0.0026136258023067805,8.413185493303751e-4,0.0026136258022834355,8.413185493303758e-4,8.413185499438358e-4,-0.05321801066917864,8.413185472827486e-4,-0.053218010669721115
1,0.7,1,0.4,1.8,-0.2282587,0.16666666666666663,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.70725,0.66564,0.73505,0.67025,0.73505,0.67025,0.65177,0.74932,0.67025,0.74438,0.2234906033248389,0.23281083096843777,0.22964883642481373,0.24646071427900837,0.22964883642481373,0.24646071427900837,0.24646071427910723,0.21305909841763998,0.246460714275285,0.21305909841748213,-0.04241992422591601,-0.05073397515017049,0.0024137081590857416,9.064361359447488e-5,0.0024137081590857425,9.064361359447431e-5,9.064361421859311e-5,-0.05317118573682369,9.064361248459374e-5,-0.05317118573745112
1,0.7,1,0.4,1.8,-0.2282587,0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.69807,0.6526,0.73821,0.67317,0.73821,0.67317,0.65499,0.75119,0.67317,0.74558,0.22492036294806594,0.234719911485265,0.22978386101339462,0.24632786200536647,0.22978386101313344,0.2463278620046547,0.24632786200469664,0.21260924432629583,0.24632786199990925,0.21260924432632264,-0.048050752409491415,-0.0573209877658614,0.003418218958165356,0.0012510111411321058,0.0034182189580839522,0.0012510111408880601,0.00125101114149927,-0.052421359559556464,0.001251011139573943,-0.05242135956012421
1,0.7,1,0.4,1.8,-0.2282587,0.2777777777777777,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.68382,0.63811,0.7352,0.66986,0.7352,0.66986,0.65186,0.74701,0.66986,0.7412,0.2268598294472003,0.23696618736986938,0.23006339008984564,0.2464864355030844,0.23006339008984564,0.24648643550308444,0.246486435503108,0.21352117350069688,0.2464864354940963,0.21352117350098146,-0.056258298581298966,-0.06610256999549458,0.0017611493897312185,2.5819683395834463e-4,0.0017611493897312172,2.581968339583454e-4,2.5819683456676046e-4,-0.054351337643318044,2.581968314229166e-4,-0.05435133764381439
1,0.7,1,0.4,1.8,-0.2282587,0.33333333333333326,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.67564,0.62623,0.73638,0.67055,0.73638,0.67055,0.65203,0.74929,0.67055,0.7441,0.22799017734087312,0.2390788595962996,0.22961711430408205,0.2461835249946389,0.22961711430408205,0.2461835249946389,0.2461835249948238,0.21339728829845134,0.24618352499434387,0.21339728829815283,-0.06188226858147183,-0.07329290891857804,0.002631144753024633,2.5621393510583715e-4,0.002631144753024633,2.562139351058352e-4,2.5621393577298653e-4,-0.054152542148185843,2.5621393515865107e-4,-0.05415254214885029
1,0.7,1,0.4,1.8,-0.2282587,0.38888888888888884,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.66317,0.61249,0.7357,0.67093,0.7357,0.67093,0.65262,0.74728000000000006,0.67093,0.74152,0.22890406501466162,0.2406619025750393,0.22843646896607853,0.2453683904047789,0.22843646896615685,0.24536839040478553,0.24536839040464348,0.2125002175093533,0.24536839039947633,0.21250021750981107,-0.06949885272076338,-0.08206000706829496,0.0014426021665292252,-0.0010808326903583632,0.0014426021665492831,-0.0010808326903564416,-0.0010808326897985407,-0.054823165002671544,-0.0010808326918728582,-0.054823165003127276
1,0.7,1,0.4,1.8,-0.2282587,0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.65192,0.59936,0.73576,0.66998,0.73576,0.66998,0.65194,0.74811,0.66998,0.74259,0.23224423678390194,0.2445226020279884,0.23001952609517323,0.24652976488610598,0.23001952609517323,0.24652976488610598,0.24652976488614692,0.21307235890091455,0.24652976488339207,0.21307235890118562,-0.07440272767059798,-0.08756875541553244,0.0024869468689427904,4.2909471369468303e-4,0.00248694686894279,4.290947136946856e-4,4.290947143072e-4,-0.053519997204684956,4.290947130511985e-4,-0.05351999720518923
1,0.7,1,0.4,1.8,-0.2282587,0.5,-0.2282587,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.6415,0.58592,0.73408,0.66944,0.73408,0.66944,0.65148,0.74651,0.66944,0.74128,0.23503772542618037,0.24811585941434708,0.23027893976044433,0.24658534537537669,0.23027893976044433,0.24658534537537669,0.24658534537538182,0.21361638648107917,0.2465853453676795,0.21361638648138945,-0.08204569526792685,-0.09662976778204548,0.0015676135951685681,-7.975156589342198e-4,0.0015676135951685681,-7.97515658934219e-4,-7.975156583304629e-4,-0.054521029259457204,-7.975156605597339e-4,-0.05452102925995058
