K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.8378,0.83077,0.66789,0.60416,0.66789,0.60416,0.57725,0.85552,0.60416,0.85086,0.2548771088142429,0.2639100572836524,0.249312726850132,0.26764950355320705,0.24931272688926248,0.2676495035737746,0.26764950372969704,0.2335455468925999,0.26764950351485967,0.2335455466912678,0.09779689828497952,0.10887687173931605,0.0038904570467004278,0.0016018787437787128,0.003890457062837933,0.0016018787520634397,0.0016018788220621039,0.07018834806485806,0.0016018788236506687,0.07018834799428358
1,0.7,1,0.4,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.82947,0.82097,0.66897,0.60165,0.66897,0.60165,0.57547,0.85353,0.60165,0.84887,0.25263427866151383,0.260801493377468,0.249539765322163,0.2679679477139054,0.24953976535285802,0.26796794772893795,0.26796794787393957,0.23400656976158526,0.2679679476748138,0.23400656957678748,0.08967595947249012,0.09944275519557155,0.0026451396631159084,-5.042511541620203e-4,0.0026451396758562324,-5.042511471716473e-4,-5.042510805857986e-4,0.06902381281440818,-5.042510811365428e-4,0.06902381274732163
1,0.7,1,0.4,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.82144,0.80903,0.66524,0.60121,0.66524,0.60121,0.57457,0.85304,0.60121,0.84829,0.2488146892775881,0.25731397315425547,0.249132223400073,0.2686629527941879,0.24913222343445068,0.2686629528099559,0.26866295296095455,0.23300294657691392,0.2686629527393335,0.2330029463848276,0.08167904025645191,0.09087198213393624,0.0014658311008576997,-6.899207404649518e-4,0.0014658311158580021,-6.899207345115062e-4,-6.899206674867591e-4,0.06778312117147836,-6.899206690314815e-4,0.06778312110447517
1,0.7,1,0.4,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.8156,0.80266,0.66697,0.60181,0.66697,0.60181,0.57473,0.85336,0.60181,0.84878,0.24738381177217894,0.255483044684388,0.24933298757794947,0.2681988103573516,0.24933298760993988,0.2681988103687075,0.26819881053119626,0.23332208231550283,0.2681988103001715,0.2333220821146083,0.07683073408618406,0.08545147668022819,0.002726286933448461,1.9989715965915432e-4,0.00272628694601908,1.998971643253668e-4,1.9989723324609048e-4,0.0687692757637139,1.9989723630784215e-4,0.0687692756942342
1,0.7,1,0.4,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.80915,0.79493,0.67133,0.60565,0.67133,0.60565,0.57921,0.85633,0.60565,0.85195,0.24485218746339318,0.25263759019811655,0.24798775107029664,0.26728473241486617,0.24798775111379606,0.2672847324344306,0.26728473258610336,0.23278013443336415,0.2672847323740705,0.23278013424235516,0.07121413019874315,0.07885662393351292,0.004049313203294149,0.001812514501909885,0.004049313221786011,0.001812514510120233,0.0018125145790809382,0.0699887044337199,0.0018125145819149551,0.06998870436444546
1,0.7,1,0.4,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.79863,0.78314,0.66981,0.60553,0.66981,0.60553,0.57901,0.8522,0.60553,0.84749,0.24512603040173025,0.2527163783900363,0.2501397837416444,0.2694058316623584,0.2501397837533317,0.2694058316672129,0.2694058318085578,0.23438408363926846,0.26940583158962034,0.23438408345620965,0.06344439244733381,0.07016130062960928,0.0029204746775539597,4.8553159096025175e-4,0.0029204746823678104,4.8553159280911374e-4,4.8553165719532923e-4,0.06913696721992829,4.85531658038681e-4,0.06913696715604334
1,0.7,1,0.4,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.79047,0.77432,0.66761,0.60396,0.66761,0.60396,0.57726,0.85433,0.60396,0.85015,0.2416231029233164,0.24887180362275965,0.24847192686553754,0.26760326337889956,0.24847192687148253,0.2676032633787135,0.2676032635267357,0.23274149912467657,0.26760326332316653,0.23274149893304025,0.056128767007162975,0.061950867647095634,0.002286145793668004,-2.043283015174984e-5,0.002286145796822313,-2.0432829121804562e-5,-2.0432763101559163e-5,0.06847190735183342,-2.0432767490408327e-5,0.06847190728600179
1,0.7,1,0.4,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.77924,0.76078,0.66776,0.60089,0.66776,0.60089,0.57449,0.85348,0.60089,0.84866,0.24042300729039517,0.24769838964610744,0.24911638706226366,0.2687286424027424,0.2491163870860783,0.2687286424125092,0.2687286425613061,0.23242509370284112,0.26872864234986477,0.23242509351157034,0.048730670712607164,0.053629767673470066,0.002232024595763387,-3.5955481551390683e-4,0.002232024605242,-3.595548098593745e-4,-3.595547450118753e-4,0.06799283960090789,-3.595547536680254e-4,0.06799283953433846
1,0.7,1,0.4,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.77151,0.75237,0.66827,0.60407,0.66827,0.60407,0.57748,0.8541,0.60407,0.84966,0.23920619424191286,0.24593100531224135,0.24846722858790002,0.2671682722383968,0.24846722860037204,0.2671682722431886,0.26716827239311314,0.23329577875161545,0.26716827216168737,0.23329577855690564,0.0430416571351983,0.04719165321512522,0.0028358226452619003,7.302942216544182e-4,0.0028358226519207435,7.302942251630467e-4,7.302942931498339e-4,0.06920011093652836,7.302942942998946e-4,0.06920011086867582
1,0.7,1,0.4,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,linear,mult,binary,DIFF,H1,0.5,0.76126,0.73876,0.66661,0.60085,0.66661,0.60085,0.57499,0.8541,0.60085,0.84969,0.23824943516587724,0.2452683593181035,0.249013768769527,0.2680408634077463,0.24901376878681586,0.2680408634231571,0.2680408635599388,0.23279084067474048,0.26804086335586336,0.2327908404935596,0.03504676470454932,0.03809604720470416,0.001379332742436147,-0.0013042101198830233,0.0013793327502131204,-0.0013042101150897054,-0.0013042100522725317,0.06831589189821143,-0.0013042100473539132,0.068315891835221
