K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.80075,0.77444,0.76455,0.69973,0.76455,0.69973,0.68516,0.65855,0.69973,0.65286,0.21205812287265818,0.21778552807337942,0.22200833144047952,0.2374170237535733,0.22200833144047952,0.2374170237535733,0.2374170237535662,0.23387225703880543,0.2374170237457964,0.2338722570397876,0.0019790964434326687,-7.250357624676927e-4,0.0014829313069740042,-0.0018316123437237038,0.001482931306974004,-0.0018316123437236971,-0.00183161234173653,-0.1226931152848285,-0.001831612345921427,-0.12269311528669741
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.79797,0.76952,0.7598,0.69534,0.7598,0.69534,0.67965,0.67916,0.69534,0.67343,0.21346812842755972,0.2197747791661503,0.2233923363657555,0.23934615499067713,0.22339233636572878,0.23934615499063533,0.2393461549906021,0.22779869278281623,0.23934615498720657,0.22779869278346526,0.0019077678146906432,-7.818477877608402e-4,0.0017029136908690969,-0.0013672592483502924,0.0017029136908626335,-0.0013672592483617795,-0.0013672592465346345,-0.10900924744194312,-0.0013672592493676262,-0.10900924744371607
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.79115,0.76304,0.75356,0.68859,0.75356,0.68859,0.67163,0.69836,0.68859,0.69306,0.21551106637489117,0.22175940094416674,0.22536616302538437,0.24152744232260148,0.22536616302538437,0.24152744232260148,0.24152744232247486,0.22287198434889058,0.24152744231604342,0.2228719843497052,0.002512950657487951,5.141571252940343e-4,0.0015831123449515968,-0.001215710420336775,0.001583112344951596,-0.0012157104203367735,-0.001215710418770718,-0.09432712439193261,-0.0012157104222969512,-0.09432712439337128
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.78652,0.75851,0.74668,0.68116,0.74668,0.68116,0.66403,0.7172,0.68116,0.71205,0.21688341077101517,0.2231018915493386,0.22681234426299543,0.24288185907794702,0.22681234426299543,0.24288185907794702,0.24288185907792878,0.2189889120717325,0.24288185907640486,0.21898891207228652,0.002492670559623074,8.731548017158787e-4,0.0016224881715270491,-0.00102199359217537,0.0016224881715270485,-0.001021993592175369,-0.0010219935908907796,-0.08027955650775594,-0.0010219935924615409,-0.0802795565089174
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.78265,0.75473,0.74103,0.67584,0.74103,0.67584,0.65883,0.73398,0.67584,0.72848,0.21803807405173495,0.22465775755154413,0.22890550748830085,0.24548853567832934,0.2289055074880664,0.24548853567832934,0.24548853567825274,0.2157913614984822,0.24548853566625764,0.21579136149897346,0.0029948493925438255,0.0015019475289007214,0.0024671779534074885,-3.116028731647752e-5,0.0024671779533385904,-3.116028731647725e-5,-3.116028639657707e-5,-0.06589353358538405,-3.116029088724064e-5,-0.06589353358618463
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.77656,0.74919,0.73744,0.67126,0.73744,0.67126,0.65216,0.75016,0.67126,0.74487,0.21841499204151663,0.22486053977673462,0.22894613274924,0.24571361456066745,0.22894613274943496,0.24571361456051583,0.24571361456072738,0.2120796320296941,0.2457136145559983,0.21207963202980817,0.0034002115052260205,0.0018643345055904493,0.0028882188774087534,4.024202426353386e-4,0.002888218877456483,4.02420242589215e-4,4.0242024323090754e-4,-0.05190875542629768,4.024202414740283e-4,-0.051908755426830926
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.76989,0.74234,0.7286,0.66201,0.7286,0.66201,0.64314,0.76547,0.66201,0.76006,0.22080652241056686,0.22740323072095067,0.23163830648539366,0.24850938121270413,0.23163830648539366,0.24850938121220495,0.24850938121392424,0.21104525202973068,0.2485093812072787,0.2110452520277998,0.0033557616240315106,0.0018171961208933776,0.002375113421403792,8.133249402333407e-5,0.0023751134214037915,8.133249384627324e-5,8.133249448513734e-5,-0.03797477454836181,8.133249377326723e-5,-0.03797477454887792
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.76269,0.73456,0.72066,0.65492,0.72066,0.65492,0.63501,0.77905,0.65492,0.77379,0.2228290270632836,0.2295831602077559,0.23357103834064796,0.2509810381027612,0.23357103834064796,0.2509810381027612,0.2509810381053821,0.21122320791825402,0.2509810380988805,0.21122320791544827,0.0032258184086490795,0.002145953192252133,0.002366761360417163,4.463715094981001e-4,0.0023667613604171633,4.4637150949809593e-4,4.463715099569586e-4,-0.023762483597513092,4.463715086217717e-4,-0.023762483597906073
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.75719,0.72861,0.71466,0.64708,0.71466,0.64708,0.62615,0.79385,0.64708,0.7889,0.22485618895626422,0.23156816783921294,0.23613112339910655,0.2534496354529741,0.23613112339851422,0.25344963545290616,0.25344963545583876,0.2120692098289384,0.25344963544632776,0.21206920982465913,0.003525552257727293,0.0020569791362802054,0.002826920384827725,2.7314298989240604e-4,0.0028269203846358723,2.731429898669656e-4,2.7314299050404243e-4,-0.00995347254109696,2.731429903980524e-4,-0.009953472541761266
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,linear,mult,binary,EQ,H1,0.5,0.74988,0.7203,0.70467,0.63825,0.70467,0.63825,0.61631,0.80504,0.63825,0.80011,0.22596910854016491,0.2327334301557711,0.2374023628911207,0.25501250162066397,0.2374023628911207,0.2550125016201208,0.25501250162598,0.21319600530688712,0.2550125016131875,0.2131960053006195,0.0031285297355214264,0.0021416913561291026,0.0018273756169153719,-1.9712040075644548e-4,0.001827375616915373,-1.9712040096658395e-4,-1.9712040009052536e-4,0.003831151689710538,-1.971203975847787e-4,0.0038311516886077833
