K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01409,0.02344,0.01342,0.02535,0.01342,0.02535,0.02381,0.00553,0.02535,0.0054,0.22154314811677664,0.22974282057513595,0.23183345473094288,0.2500493873333093,0.23183345473094286,0.2500493873333093,0.2500493873338831,0.22106071843547687,0.25004938733303506,0.22106071843472883,-0.010513520726202666,0.030472492820768273,-0.018915202535372284,0.03506267587992499,-0.018915202535372284,0.03506267587992499,0.035062675879767614,-0.07371097249148309,0.0350626758800287,-0.07371097249107375
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01489,0.02352,0.01434,0.02536,0.01434,0.02536,0.02387,0.00669,0.02536,0.00647,0.21881743327991182,0.2268656939779579,0.22883276616280374,0.24737135174155342,0.22883276616280374,0.24737135174155342,0.2473713517422278,0.21600193061070436,0.24737135174145827,0.21600193060987843,-0.009362956155138255,0.02671288445027392,-0.016636453753823797,0.03140119244592294,-0.016636453753823797,0.03140119244592294,0.03140119244575883,-0.06633542464678135,0.03140119244617188,-0.06633542464637272
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01562,0.02296,0.01479,0.02503,0.01479,0.02503,0.02353,0.00795,0.02503,0.00768,0.21536080317435685,0.22328496205308093,0.22574894466811798,0.2442901891732261,0.22574894466811798,0.2442901891732261,0.24429018917399584,0.21089661500620838,0.24429018917322495,0.21089661500531234,-0.00879031590299953,0.022890369274856725,-0.015320684118021637,0.026763990362114465,-0.015320684118021637,0.026763990362114465,0.026763990361948632,-0.058231844365314804,0.026763990362123746,-0.05823184436491969
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01695,0.0239,0.01618,0.02574,0.01618,0.02574,0.02396,0.00906,0.02574,0.00874,0.21383700068668907,0.22171201920303496,0.22389655023687274,0.24298070931148175,0.22389655023687274,0.24298070931148175,0.24298070931235524,0.20678151968784086,0.24298070931148175,0.20678151968686892,-0.008299094205516519,0.01911032100339789,-0.013811158150483128,0.022832653903023796,-0.013811158150483128,0.022832653903023796,0.022832653902863903,-0.05081848357564981,0.022832653903023793,-0.05081848357527685
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01858,0.02428,0.01806,0.02556,0.01806,0.02556,0.0239,0.01122,0.02556,0.01098,0.21197101356801745,0.21955196026450266,0.22210292902004844,0.24095681151561202,0.22210292902004844,0.24095681151561202,0.24095681151657786,0.2025098012555622,0.24095681151561155,0.2025098012545275,-0.006202817395207794,0.016144922747249935,-0.01070085978443504,0.019092730102244874,-0.01070085978443504,0.019092730102244868,0.019092730102097794,-0.041782577339882124,0.019092730102251824,-0.04178257733954702
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01937,0.0242,0.01952,0.02567,0.01952,0.02567,0.02387,0.01312,0.02567,0.01264,0.21103579074572665,0.2187876908471809,0.2215973764533019,0.24087470869173863,0.2215973764533019,0.24087470869173863,0.24087470869279293,0.20024565765961894,0.24087470869173863,0.200245657658518,-0.005378600447045153,0.012946716508848445,-0.00921709556675046,0.01525057055645339,-0.009217095566750462,0.015250570556453387,0.015250570556326835,-0.03369303434411958,0.015250570556453383,-0.03369303434383497
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.01981,0.02397,0.01987,0.02519,0.01987,0.02519,0.02332,0.01517,0.02519,0.01453,0.20930365976919454,0.2170223777033651,0.21998077924262605,0.23960038664050826,0.21998077924262605,0.23960038664050828,0.23960038664162964,0.197682670717177,0.23960038664050826,0.19768267071601905,-0.0050152486369769225,0.008615639759260205,-0.00816039662767923,0.009999047266351346,-0.00816039662767923,0.009999047266351343,0.009999047266250678,-0.026166536537973743,0.009999047266351343,-0.026166536537741803
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.02208,0.02474,0.02127,0.02544,0.02127,0.02544,0.02347,0.01826,0.02544,0.0178,0.20864358485842904,0.21669198164920864,0.21928263042908425,0.23972068082993725,0.21928263042908425,0.23972068082993725,0.2397206808311089,0.19606796577867086,0.23972068082993725,0.1960679657774642,-0.003297531514935652,0.005478910257484685,-0.005928208010663441,0.005235029141928682,-0.005928208010663442,0.005235029141928679,0.005235029141867225,-0.017104675549797416,0.005235029141928677,-0.017104675549637335
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.02332,0.02478,0.02369,0.02548,0.02369,0.02548,0.02341,0.02212,0.02548,0.0214,0.20914484420225243,0.2171713998613602,0.2195376055187998,0.2400375357502498,0.2195376055187998,0.2400375357502498,0.24003753575143194,0.19589728786412994,0.2400375357502498,0.19589728786289307,-0.002245568629779486,0.0016965893879908847,-0.004114822590285133,8.212503660801722e-4,-0.004114822590285132,8.212503660801669e-4,8.212503660686944e-4,-0.008478735484593759,8.212503660801646e-4,-0.008478735484510858
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H0,0.5,0.02463,0.02476,0.02565,0.02567,0.02565,0.02567,0.02345,0.02511,0.02567,0.02441,0.2104005133432691,0.21831616600542844,0.22105423238702748,0.2417364802825336,0.22105423238702748,0.2417364802825336,0.24173648028371067,0.19683873681368172,0.2417364802825336,0.19683873681242944,-0.0019873680872300858,-0.00275589882449895,-0.0032023259756715646,-0.005244963467040376,-0.0032023259756715646,-0.005244963467040378,-0.005244963467012473,-0.0011275091991496075,-0.0052449634670403795,-0.0011275091991423058
