K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.62103,0.67151,0.55898,0.58656,0.55898,0.58656,0.56854,0.5427,0.58656,0.53607,0.23311585780898028,0.24553762164110704,0.24141502613032123,0.2582208649092246,0.24141502612981752,0.2582208649090623,0.25822086490952056,0.22994993794044222,0.25822086490654345,0.22994993794043556,0.004866856778899732,0.05308686879808437,-0.011839841032941974,0.03776187992567311,-0.011839841033083226,0.03776187992561567,0.0377618799273098,-0.07187457354491374,0.03776187992502243,-0.07187457354642039
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.63173,0.67366,0.57201,0.58887,0.57201,0.58887,0.57083,0.57017,0.58887,0.5633,0.2305295625368104,0.24213664806719046,0.23862087762533463,0.25497031677138565,0.23862087762533468,0.25497031677138565,0.2549703167715783,0.22562347104577116,0.2549703167677966,0.2256234710461871,0.003372056537728433,0.046471598325792465,-0.011828272149615555,0.03194230183291021,-0.011828272149615621,0.031942301832909366,0.03194230183434026,-0.06457067007224088,0.03194230183199477,-0.06457067007342866
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.64349,0.67612,0.58901,0.59675,0.58901,0.59675,0.57909,0.6029,0.59675,0.59657,0.22928518256668143,0.23984463157403166,0.238176524994385,0.2547893816270655,0.23817652499438496,0.2547893816270653,0.25478938162719933,0.22120613505075543,0.2547893816241164,0.2212061350511256,0.004345952677011937,0.04235127722529256,-0.009039843415190709,0.029599295250910478,-0.009039843415190861,0.02959929525091005,0.029599295252098107,-0.05608062610446308,0.029599295250120384,-0.05608062610541794
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.65669,0.67969,0.60404,0.60026,0.60404,0.60026,0.58146,0.63369,0.60026,0.62792,0.22695625219670973,0.23712320518213956,0.23555670559336356,0.25206853299010157,0.23555670559336364,0.2520685329901016,0.2520685329902171,0.21712061170085153,0.25206853298508924,0.21712061170113323,0.0031514659665536774,0.03580410795283617,-0.008657585462630447,0.0242438518013684,-0.0086575854626306,0.02424385180136806,0.024243851802290085,-0.04838339292779958,0.024243851800400888,-0.04838339292851067
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.67191,0.68333,0.62307,0.60867,0.62307,0.60867,0.58934,0.66625,0.60867,0.66044,0.22715537707500744,0.236868769684512,0.23567718577620786,0.2522517792078496,0.2356771857762079,0.2522517792078497,0.25225177920800756,0.2151696139008999,0.25225177920861225,0.21516961390104247,0.004062306632274187,0.031310076124721246,-0.005843925957977251,0.02143569402144695,-0.005843925957977293,0.021435694021446617,0.021435694022081078,-0.039371211422710974,0.02143569402174785,-0.03937121142315717
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.68485,0.68694,0.63851,0.61252,0.63851,0.61252,0.59255,0.69597,0.61252,0.68976,0.22707296469699093,0.23618808917585726,0.23559095875574818,0.2519543572020929,0.23559095875584277,0.25195435720209297,0.25195435720223447,0.21353333499532182,0.25195435719832154,0.21353333499557173,0.003669971462119696,0.02599501512521086,-0.0046850837851634885,0.017366313599879033,-0.004685083785137869,0.017366313599878763,0.017366313600206365,-0.031052073331937324,0.01736631359873089,-0.031052073332057666
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.69829,0.69099,0.6555,0.61949,0.6555,0.61949,0.5997,0.72557,0.61949,0.71996,0.22703457431457844,0.2359382838393965,0.2353272520756774,0.25197519575011185,0.23532725207572958,0.2519751957503189,0.2519751957506041,0.21251247150224442,0.251975195748368,0.2125124715019234,0.003865666586693182,0.020236678811894872,-0.0024410206032191486,0.013251305560632313,-0.0024410206032045153,0.01325130556069936,0.013251305560762974,-0.022076076158896934,0.013251305560083922,-0.022076076158883056
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.71426,0.696,0.67463,0.62708,0.67463,0.62708,0.60673,0.75345,0.62708,0.74809,0.22748528331115425,0.23652396623452462,0.23613051551840855,0.2530582484600982,0.2361305155184086,0.25305824846009817,0.2530582484623118,0.2123898814493204,0.25305824845514674,0.21238988144686333,0.004871233818308787,0.01583254260438673,4.6203299547520804e-4,0.010459888663023758,4.620329954753506e-4,0.010459888663023833,0.010459888663356702,-0.012905721277559153,0.010459888663156006,-0.012905721277791854
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.72517,0.69731,0.68964,0.63165,0.68964,0.63165,0.61031,0.77984,0.63165,0.77498,0.22808574038187526,0.2370210547214359,0.23663574812285174,0.25373997149720834,0.23663574812285174,0.25373997149720823,0.2537399715037719,0.2124986924666218,0.25373997149374744,0.21249869245957712,0.004028253274136992,0.008752376041793526,0.001196062856089443,0.004535773297453072,0.0011960628560897194,0.004535773297453279,0.004535773298696603,-0.003957495787584248,0.0045357733006106595,-0.003957495788763558
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1_1,0.5,0.73833,0.70121,0.70511,0.63968,0.70511,0.63968,0.61731,0.80572,0.63968,0.80091,0.22861731632781113,0.23788065049387158,0.23741446113060916,0.2555451493877098,0.23741446113060877,0.2555451493877096,0.2555451493930986,0.21285152328970813,0.2555451493812093,0.21285152328391113,0.002189250926298392,0.0015472964726220052,0.0016888948577700894,-8.371752562474608e-5,0.0016888948577705352,-8.37175256242908e-5,-8.371752466731339e-5,0.0036372001882711215,-8.37175215725306e-5,0.0036372001873377934
