K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.61037,0.65066,0.5604,0.58576,0.5604,0.58576,0.56837,0.54256,0.58576,0.53636,0.23190401687526413,0.2394285431635194,0.24244715804640266,0.25901245195021416,0.24244715804640266,0.25901245195021416,0.2590124519505109,0.23028506516678904,0.25901245195016853,0.23028506516721306,-0.005464290753887382,0.032360554960587457,-0.011710323988899311,0.0382134477715976,-0.011710323988899311,0.0382134477715976,0.038213447773233884,-0.07168139013093112,0.0382134477716164,-0.07168139013231281
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.62489,0.65836,0.57617,0.5931,0.57617,0.5931,0.57519,0.57254,0.5931,0.56622,0.22870837426025792,0.2361089774636814,0.23894108083625998,0.25583844660267724,0.23894108083618873,0.25583844660267724,0.2558384466028784,0.224985341692285,0.2558384466000655,0.2249853416927332,-0.004506555974633474,0.029416997969845413,-0.010098821091382161,0.03454300502657919,-0.010098821091399965,0.03454300502657919,0.03454300502800952,-0.06343025183035772,0.03454300502586301,-0.0634302518315305
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.6406,0.66468,0.5922,0.59826,0.5922,0.59826,0.58041,0.60356,0.59826,0.59715,0.22738337817527043,0.23434317936045307,0.237877600336665,0.254188465069165,0.23787760033689337,0.254188465069165,0.2541884650692909,0.2216279593260492,0.25418846506726805,0.2216279593265971,-0.0042695415197699935,0.025023718656353083,-0.009036513769702883,0.029633901966470675,-0.009036513769632432,0.02963390196647068,0.02963390196765813,-0.056329941875301076,0.029633901965953967,-0.05632994187620952
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.65492,0.6727,0.60822,0.60393,0.60822,0.60393,0.5855,0.63632,0.60393,0.62968,0.22555242751311005,0.23231023402413417,0.2362379473018929,0.2524063586513293,0.2362379473018929,0.2524063586513293,0.25240635865142175,0.21752929624210757,0.2524063586462691,0.21752929624241066,-0.002963689241711364,0.022104778699568745,-0.006998853321512107,0.0260212036155814,-0.006998853321512107,0.0260212036155814,0.026021203616498418,-0.04770116985596448,0.026021203614061395,-0.04770116985666839
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.67244,0.67873000000000006,0.62503,0.61106,0.62503,0.61106,0.59168,0.66683,0.61106,0.66025,0.22577891317841542,0.23243698690215278,0.23662578472782872,0.25327898380379105,0.23662578472782872,0.25327898380379105,0.25327898380387787,0.21587514820098372,0.25327898380047187,0.215875148201215,-0.0013301589178414347,0.019221315175218634,-0.0047890210347893885,0.022112576313948074,-0.0047890210347893885,0.022112576313948078,0.02211257631457136,-0.039209268731955106,0.0221125763129747,-0.039209268732388634
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.68568,0.68466,0.63927,0.61311,0.63927,0.61311,0.59424,0.69564,0.61311,0.68954,0.22425073102246504,0.2308403547677566,0.23528188668609584,0.251848496448768,0.23528188668609584,0.251848496448768,0.2518484964492064,0.21306427383558743,0.2518484964444426,0.21306427383532542,-9.404501109413036e-4,0.015338995146171352,-0.003797442955229903,0.017074080087012423,-0.003797442955229904,0.017074080087012423,0.017074080087435516,-0.03056666914282284,0.01707408008719358,-0.030566669143088792
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.70339,0.69636,0.65591,0.61891,0.65591,0.61891,0.59818,0.72627,0.61891,0.72078,0.224270049249773,0.23121807889667823,0.23570448235960867,0.25301559031791127,0.23570448235910077,0.25301559031791127,0.25301559031846343,0.21228934561795368,0.2530155903073775,0.2122893456170439,8.58575882430998e-4,0.012843528143260447,-0.002086831200377156,0.013083310651557947,-0.0020868312005221665,0.01308331065155794,0.013083310651705577,-0.021542177702834887,0.013083310648781285,-0.021542177702968953
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.71605,0.70263,0.67198,0.6264,0.67198,0.6264,0.60533,0.75262,0.6264,0.74744,0.2251092026035181,0.2317327845886361,0.23630204280032582,0.25292018248315584,0.23630204280032582,0.25292018248315584,0.25292018248515935,0.21193085420511198,0.2529201824801031,0.21193085420308733,8.784732257368067e-4,0.008701734549532244,-0.0011674680058321506,0.00876810524292443,-0.001167468005832149,0.008768105242924434,0.008768105243140471,-0.013684066955347279,0.00876810524352604,-0.013684066955461864
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.73455,0.71253,0.69103,0.63439,0.69103,0.63439,0.61240000000000006,0.78042,0.63439,0.77577,0.22503223903392772,0.23189276929024175,0.23624218829013538,0.2538047075788793,0.23624218828983615,0.2538047075788793,0.2538047075825544,0.21218883287467327,0.2538047075721717,0.2121888328708988,0.0026633360250169023,0.005788963714524875,9.605660975819824e-4,0.004392715485343671,9.605660974924754e-4,0.004392715485343668,0.00439271548573105,-0.0045028645583260075,0.004392715485624339,-0.004502864558710855
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,add,binary,EQ,H1,0.5,0.74776,0.71941,0.70379,0.63901,0.70379,0.63901,0.61755,0.80542,0.63901,0.80056,0.22729547856387552,0.23445975173075667,0.23839174571683466,0.2566009882567045,0.23839174571683466,0.25660098825669875,0.2566009882653075,0.21389914023762788,0.2566009882474708,0.21389914022785833,0.002559268959235636,0.0016830307084870918,0.0016583528894445303,-3.099868397552087e-4,0.0016583528894445314,-3.0998683975686246e-4,-3.099868377888507e-4,0.0036652535989679866,-3.099868361421088e-4,0.0036652535970707065
