K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.02157,0.04544,0.01308,0.0252,0.01308,0.0252,0.02366,0.00532,0.0252,0.00513,0.2230901961484621,0.24746866486166166,0.23053889570651645,0.24886015352647758,0.23053889570651642,0.24886015352647736,0.24886015352704702,0.22065872785154536,0.2488601535262877,0.22065872785079763,0.02516523950290406,0.09479148295875947,-0.018835213644144855,0.035311621209896185,-0.01883521364414484,0.03531162120989636,0.035311621209742475,-0.07358676880533832,0.03531162120992904,-0.07358676880493248
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01951,0.0398,0.01339,0.02498,0.01339,0.02498,0.02327,0.00528,0.02498,0.00506,0.22302138840539165,0.24350052107366404,0.23136744512822718,0.24935558238554292,0.23136744512822718,0.2493555823855427,0.2493555823861107,0.22174479919352616,0.24935558238522906,0.22174479919277662,0.016946473904653495,0.08219739024921187,-0.01962141014726024,0.03508668324449291,-0.019621410147260238,0.03508668324449299,0.03508668324434178,-0.07511308515088856,0.035086683244641134,-0.0751130851504805
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01868,0.03577,0.01315,0.02529,0.01315,0.02529,0.02372,0.00575,0.02529,0.0056,0.2228511714527195,0.24079769263842757,0.23121471886468928,0.24961945686778317,0.23121471886468928,0.24961945686778297,0.24961945686835588,0.22117214513400565,0.24961945686747627,0.22117214513325242,0.0106628745010896,0.07116037193209486,-0.018789510877329427,0.036074566830158694,-0.018789510877329427,0.03607456683015874,0.036074566830004325,-0.0740895126866099,0.036074566830460925,-0.07408951268619846
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01654,0.03209,0.01292,0.0256,0.01292,0.0256,0.02411,0.00564,0.0256,0.00549,0.22237743360328222,0.23738747609657493,0.23088862199817925,0.2489325050179585,0.23088862199817925,0.24893250501795827,0.24893250501852668,0.2210783233702875,0.24893250501780892,0.22107832336953617,0.00297255854277628,0.0585904476773601,-0.019255883612586594,0.035578206776828235,-0.019255883612586608,0.03557820677682828,0.03557820677667457,-0.07440013277195419,0.035578206776818506,-0.07440013277154355
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01569,0.02912,0.01313,0.02544,0.01313,0.02544,0.02387,0.00535,0.02544,0.00518,0.22266626181310895,0.23563154565550481,0.2310666996368031,0.2496112730256095,0.2310666996368031,0.24961127302560934,0.2496112730261834,0.2212302003005266,0.24961127302534714,0.2212302002997736,-0.004823862817763351,0.04612513346883306,-0.02012476413745027,0.034477896195491256,-0.02012476413745027,0.03447789619549135,0.03447789619533161,-0.07514026464734708,0.0344778961956285,-0.07514026464693324
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01505,0.02512,0.01406,0.02572,0.01406,0.02572,0.02402,0.00559,0.02572,0.00543,0.22279607335842921,0.2335587673878575,0.23073329205731272,0.24912832914024258,0.2307332920573126,0.24912832914024235,0.2491283291408175,0.22059452199438087,0.2491283291401577,0.22059452199363067,-0.010415053187341072,0.03548676636843899,-0.018644083478215,0.035315912454529676,-0.018644083478214987,0.03531591245452973,0.03531591245437655,-0.07412504542117768,0.03531591245461868,-0.07412504542077117
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.0129,0.02167,0.01316,0.02499,0.01316,0.02499,0.02355,0.00514,0.02499,0.00499,0.22375890414832622,0.2326395555257578,0.23098679067942524,0.24878992955977852,0.23098679067942518,0.24878992955977833,0.24878992956034504,0.22134866233520634,0.24878992955971083,0.22134866233445416,-0.018483851716416453,0.02311435957453724,-0.020049752500213278,0.0344406486304022,-0.020049752500213267,0.034440648630402255,0.034440648630244756,-0.07527930303642393,0.034440648630243056,-0.07527930303600802
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01195,0.01937,0.01316,0.02552,0.01316,0.02552,0.02393,0.00518,0.02552,0.00508,0.2240000799189637,0.23184181254984174,0.23073152918353507,0.24908217106735392,0.23073152918353496,0.24908217106735364,0.24908217106792718,0.22093053177541824,0.2490821710671554,0.22093053177466396,-0.024412901401306183,0.012460837729905593,-0.019130821346939015,0.035287227552570834,-0.019130821346938994,0.03528722755257087,0.0352872275524154,-0.07496805072517176,0.035287227552536944,-0.07496805072475937
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01147,0.01738,0.01352,0.02675,0.01352,0.02675,0.02519,0.00566,0.02675,0.00549,0.22606981195055761,0.23321486516026782,0.23190072973660375,0.25058921694176645,0.23190072973660333,0.25058921694176617,0.25058921694234015,0.22164878711087332,0.25058921694163194,0.22164878711012062,-0.03066841566425112,0.001412691083056206,-0.018448683095617976,0.035956778154782196,-0.018448683095617813,0.03595677815478228,0.0359567781546302,-0.07422403189088805,0.035956778154787906,-0.07422403189048042
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.01013,0.01542,0.0128,0.02492,0.0128,0.02492,0.02333,0.00527,0.02492,0.00513,0.2262604292402538,0.2324923583396347,0.23077206603512257,0.24874644867393278,0.23077206603512182,0.24874644867393234,0.24874644867450227,0.2209258142547306,0.2487464486737606,0.22092581425397917,-0.03814340017035233,-0.010131616984501242,-0.01994518213257304,0.03489178692904302,-0.019945182132572577,0.0348917869290431,0.034891786928886996,-0.07489276256516578,0.03489178692925078,-0.07489276256475295
