K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.10674,0.11887,0.04436,0.02557,0.04436,0.02557,0.02292,0.095,0.02557,0.09212,0.2649537655375046,0.2802493052308294,0.24890530874042402,0.2774720008156291,0.24890530874042402,0.27747200081563206,0.2774720008163146,0.24194458471484642,0.277472000815668,0.24194458471469163,0.1178275770631013,0.13759816161497757,0.018981520507744803,-0.04742080290794773,0.018981520507744803,-0.04742080290799978,-0.04742080290789276,0.08853955886884156,-0.04742080290784739,0.08853955886864712
1,0.7,1,1.8,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.09934,0.10611,0.04399,0.02543,0.04399,0.02543,0.02254,0.09384,0.02543,0.09129,0.26142065927102187,0.2740309779460087,0.24865500126303897,0.2773833539703268,0.24865500126303897,0.2773833539703269,0.27738335397380376,0.2414307939733545,0.2773833539704614,0.24143079397319303,0.10971248215030721,0.12372564518802659,0.01915212327738288,-0.047423175155555476,0.01915212327738287,-0.04742317515555582,-0.04742317515607665,0.08863750624279851,-0.047423175155393224,0.08863750624266499
1,0.7,1,1.8,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.09216,0.09431,0.04355,0.02594,0.04355,0.02594,0.02304,0.09453,0.02594,0.09155,0.257583639394602,0.26813157676065313,0.24865655587905167,0.2776257382960174,0.2486565558790517,0.2776257382960176,0.2776257382983911,0.24161081523011912,0.2776257382958606,0.24161081522995972,0.0998689219907351,0.10861692070657851,0.017837081353323087,-0.0481350303757688,0.017837081353323073,-0.0481350303757691,-0.04813503037597298,0.08754092975627807,-0.048135030375055815,0.08754092975613946
1,0.7,1,1.8,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.08683,0.08469,0.04421,0.02562,0.04421,0.02562,0.02266,0.09471,0.02562,0.09186,0.25529312284468997,0.2640726253326633,0.24857021907829857,0.277188348777678,0.24857021907829857,0.27718834877767806,0.2771883487783453,0.2422217787706274,0.2771883487777717,0.24222177877046927,0.09251821528257674,0.09575225008986504,0.01883756673349705,-0.04706532485572463,0.018837566733496992,-0.04706532485572486,-0.047065324855642236,0.08876926116832261,-0.047065324854724325,0.08876926116818898
1,0.7,1,1.8,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.08039,0.07599,0.0446,0.02601,0.0446,0.02601,0.02308,0.09463,0.02601,0.09198,0.2515748007436142,0.2585876443090338,0.24796366617790874,0.2764147217311769,0.24796366617790874,0.27641472173117715,0.27641472173187553,0.2412819525655337,0.27641472173146864,0.24128195256537088,0.08481842978819878,0.08239910893620382,0.019670789419380726,-0.0464018332427915,0.01967078941938072,-0.04640183324279172,-0.046401833242723456,0.08925959267519304,-0.046401833242994614,0.08925959267505168
1,0.7,1,1.8,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.07404,0.06666,0.04379,0.02479,0.04379,0.02479,0.02182,0.09225,0.02479,0.08915,0.24903578596727982,0.25534750028442604,0.2478078389621591,0.27637958440198285,0.24780783896215922,0.2763795844019831,0.27637958440195987,0.24102237692757258,0.276379584401985,0.2410223769274099,0.07506836791224868,0.06709965104428242,0.01809023635571974,-0.04820593692610031,0.018090236355719692,-0.04820593692610046,-0.048205936925842505,0.08805671042046344,-0.04820593692611236,0.08805671042032534
1,0.7,1,1.8,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.06988,0.06013,0.04489,0.02567,0.04489,0.02567,0.02293,0.09407,0.02567,0.09107,0.2480006033076283,0.2534793786338975,0.24906459856480387,0.2777480714119018,0.2490645985648038,0.2777480714119019,0.27774807142299185,0.2420122380269437,0.27774807142303953,0.2420122380267786,0.0660809765861794,0.052232297813661455,0.017380494263161572,-0.049084597117071645,0.017380494263161447,-0.049084597117071756,-0.04908459711881316,0.08735894228811941,-0.04908459711875845,0.08735894228798505
1,0.7,1,1.8,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.06585,0.05387,0.04535,0.02517,0.04535,0.02517,0.02241,0.0943,0.02517,0.09192,0.2463176722184925,0.25171955456339384,0.24832507697804262,0.27657502784438504,0.24832507697804265,0.2765750278443854,0.27657502784526955,0.24177273059127902,0.2765750278444145,0.24177273059110888,0.05986289391192224,0.04038464375443625,0.01940151588071207,-0.04696189837574657,0.01940151588071204,-0.04696189837574687,-0.046961898375664037,0.08829887338892195,-0.046961898375490585,0.0882988733887794
1,0.7,1,1.8,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.06019,0.04884,0.0432,0.02522,0.0432,0.02522,0.02255,0.0932,0.02522,0.09048,0.24364986755285448,0.2500635915114727,0.24709253796488304,0.2753782698521882,0.24709253796488306,0.2753782698521883,0.2753782698524097,0.24116914773760395,0.2753782698521348,0.24116914773743026,0.05142339014311035,0.026851964114674835,0.018803755717471025,-0.04684572640327412,0.018803755717470977,-0.04684572640327434,-0.04684572640307272,0.08801733925034678,-0.04684572640325269,0.08801733925020863
1,0.7,1,1.8,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0_1,0.5,0.05786,0.04321,0.04513,0.02557,0.04513,0.02557,0.02274,0.09482,0.02557,0.09219,0.24341607918884195,0.2499370673999483,0.24823052446063798,0.27573708154773086,0.24823052446063779,0.2757370815477311,0.2757370815479259,0.24219063032892799,0.27573708154777704,0.2421906303287588,0.04524847156227082,0.014820090397704115,0.020333465516104467,-0.0457948018838504,0.020333465516104102,-0.045794801883850815,-0.04579480188363955,0.0896508958662118,-0.045794801882514995,0.0896508958660649
