K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.02483,0.05104,0.01366,0.02632,0.01366,0.02632,0.02487,0.00567,0.02632,0.00552,0.22477726437038398,0.2504520051251114,0.23246964230327818,0.2508164135969901,0.23246964230327818,0.2508164135969901,0.250816413597568,0.22186598608496227,0.2508164135968593,0.2218659860842088,0.03570175425875738,0.10527182367044541,-0.018358697744042588,0.03595708852907372,-0.018358697744042588,0.03595708852907372,0.035957088528917575,-0.0735694292747022,0.03595708852906961,-0.07356942927429339
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.02112,0.0433,0.01251,0.02455,0.01251,0.02455,0.02306,0.00523,0.02455,0.005,0.22167453797519682,0.24332944533824336,0.2306377902575037,0.24933486752351053,0.2306377902575037,0.24933486752351053,0.2493348675240827,0.22135009712764453,0.24933486752310602,0.22135009712689496,0.025005508446373195,0.08970366647055301,-0.020488674273119463,0.03418081839899653,-0.020488674273119463,0.03418081839899653,0.03418081839883845,-0.07575381129589644,0.034180818398878814,-0.07575381129548311
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01989,0.03744,0.0132,0.02487,0.0132,0.02487,0.02354,0.00588,0.02487,0.00569,0.2208083288906754,0.2383681432498774,0.23033939255781788,0.24862289496181406,0.23033939255781788,0.24862289496181406,0.24862289496238707,0.22068315188549906,0.24862289496179021,0.22068315188475035,0.017755100554874382,0.07676320562380708,-0.019351678711998596,0.0345892475920351,-0.019351678711998593,0.034589247592035105,0.034589247591879285,-0.07440350587656092,0.0345892475919386,-0.07440350587615233
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01804,0.0335,0.01338,0.02606,0.01338,0.02606,0.02427,0.00562,0.02606,0.00543,0.22165296316694943,0.23578298589419422,0.23209158098531285,0.2501008655667268,0.23209158098531285,0.2501008655667268,0.2501008655672991,0.22181255333195124,0.2501008655666076,0.22181255333119848,0.009421568097237692,0.06287400592061115,-0.01904889400915601,0.03494905060938029,-0.01904889400915601,0.03494905060938029,0.034949050609226276,-0.07434291262070168,0.03494905060918528,-0.07434291262029168
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01561,0.02807,0.01325,0.02525,0.01325,0.02525,0.02385,0.00544,0.02525,0.0053,0.22004722417544664,0.23151311446850897,0.23059669290476398,0.24883239756852343,0.23059669290476398,0.24883239756852343,0.24883239756909672,0.2209945714544665,0.24883239756831868,0.22099457145371093,-1.7240344945237404e-4,0.04837006894434134,-0.020179843764834747,0.03439918008834937,-0.020179843764834747,0.03439918008834937,0.034399180088194634,-0.0756350544055103,0.034399180088534646,-0.07563505440509899
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01397,0.02388,0.01259,0.02457,0.01259,0.02457,0.02313,0.00502,0.02457,0.00484,0.22042249371204498,0.22913194656060001,0.23037357306199088,0.24856238457792332,0.23037357306199088,0.24856238457792335,0.24856238457848634,0.22088179265663227,0.24856238457788563,0.22088179265588262,-0.007935300499894453,0.03482857654935115,-0.01871668509632164,0.03608041258386966,-0.01871668509632164,0.03608041258386966,0.03608041258371713,-0.07461252758167679,0.03608041258409962,-0.07461252758126431
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01314,0.02073,0.013,0.02461,0.013,0.02461,0.02301,0.00571,0.02461,0.00553,0.22100641181583508,0.2278645627029528,0.2306302403281561,0.24846360805208825,0.2306302403281561,0.24846360805208825,0.2484636080526641,0.2209664175960008,0.24846360805192613,0.2209664175952458,-0.017345491735874043,0.02001427862263325,-0.019875190797976484,0.034205440611166996,-0.019875190797976484,0.034205440611166996,0.0342054406110106,-0.07489796159631254,0.034205440611204584,-0.07489796159590177
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01176,0.01734,0.01383,0.02523,0.01383,0.02523,0.0237,0.00556,0.02523,0.00537,0.22245511612802793,0.22756246498510752,0.23122988366972938,0.24910811763707974,0.23122988366972938,0.24910811763707974,0.24910811763765422,0.22151514583028137,0.24910811763689802,0.2215151458295265,-0.026564693077881858,0.005190870598194746,-0.020124335507155967,0.03400516065317448,-0.020124335507155967,0.03400516065317448,0.0340051606530168,-0.07584052989817534,0.034005160653334504,-0.07584052989776086
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.01034,0.01433,0.01328,0.0251,0.01328,0.0251,0.02371,0.00542,0.0251,0.00522,0.22388406783719744,0.22821997052837967,0.23112143521601855,0.24881360908041583,0.23112143521601855,0.24881360908041583,0.24881360908098707,0.22165947055998367,0.24881360908032427,0.22165947055923238,-0.03542093078324768,-0.009648748617354146,-0.020117839419361606,0.03365714009620472,-0.020117839419361606,0.03365714009620472,0.033657140096048456,-0.0754096945082214,0.03365714009623668,-0.07540969450781058
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.00956,0.01299,0.01323,0.02578,0.01323,0.02578,0.02406,0.00557,0.02578,0.00537,0.22460863137082904,0.22914678293937232,0.2301115744614263,0.24856066459526371,0.2301115744614263,0.24856066459526371,0.24856066459583606,0.22034358959749265,0.24856066459507536,0.22034358959674324,-0.04244622446551279,-0.022273312437082127,-0.018450963209591727,0.03557180221638469,-0.018450963209591727,0.03557180221638469,0.03557180221622799,-0.07408407301139644,0.03557180221639654,-0.07408407301098704
