K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.12546,0.14865,0.04515,0.02616,0.04515,0.02616,0.02261,0.09468,0.02616,0.09202,0.27264783086470695,0.29244015339352947,0.2482980827602478,0.2767288969634937,0.2482980827602478,0.2767288969634937,0.2767288969672901,0.24174487367191158,0.27672889696368075,0.2417448736717464,0.137690517649418,0.16656580927402076,0.019927615469037166,-0.04666098682114907,0.019927615469037166,-0.046660986821149074,-0.046660986821768884,0.08908799479189762,-0.046660986820387086,0.08908799479176284
1,0.7,1,0.4,1,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.11637,0.13383,0.04486,0.02651,0.04486,0.02651,0.02364,0.09495,0.02651,0.09209,0.26866812764915654,0.28539491042823395,0.2493543389825759,0.278177898732871,0.2493543389825759,0.278177898732871,0.2781778987402897,0.2426752573503219,0.27817789873739474,0.24267525735015677,0.12825787622898446,0.15223481568350297,0.019011867367884905,-0.04711249053743934,0.019011867367884905,-0.04711249053743934,-0.047112490539353735,0.08890517975090659,-0.04711249053808814,0.08890517975076792
1,0.7,1,0.4,1,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.10961,0.1203,0.04582,0.02572,0.04582,0.02572,0.02307,0.09488,0.02572,0.09193,0.2639825367208642,0.27771964973340246,0.2489605050585584,0.27790512878945556,0.2489605050585584,0.27790512878945556,0.2779051287898322,0.24194526906426453,0.27790512878949375,0.24194526906411015,0.11823122688108717,0.1367016527009108,0.018469482847677802,-0.04740947539479838,0.018469482847677802,-0.04740947539479838,-0.04740947539467312,0.08787491933219424,-0.047409475394595946,0.08787491933206605
1,0.7,1,0.4,1,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.09976,0.10537,0.04431,0.02492,0.04431,0.02492,0.02224,0.09363,0.02492,0.09083,0.2595201420308729,0.2700302039482804,0.2480748157155733,0.27648878739737864,0.2480748157155733,0.27648878739737864,0.27648878740123045,0.24143592853419793,0.27648878739753635,0.24143592853403095,0.109762103183282,0.12237356557446645,0.018879419445202286,-0.04728242942126903,0.018879419445202286,-0.04728242942126903,-0.04728242942185921,0.08865054684359938,-0.04728242942087983,0.08865054684345611
1,0.7,1,0.4,1,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.09314,0.09499,0.04446,0.02571,0.04446,0.02571,0.02265,0.09476,0.02571,0.09166,0.2560152542083647,0.26421240567861565,0.24827112246205152,0.2762854788460094,0.24827112246205152,0.2762854788460094,0.27628547884665067,0.24146586916303714,0.27628547884601223,0.24146586916287432,0.10026820295243086,0.1074248080267253,0.01872743361110355,-0.047444595878555845,0.01872743361110355,-0.04744459587855585,-0.047444595878478255,0.08836393830859504,-0.047444595878459235,0.08836393830845424
1,0.7,1,0.4,1,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.08763,0.08472,0.04442,0.02568,0.04442,0.02568,0.02292,0.09514,0.02568,0.09218,0.2538512821035903,0.26009645524829134,0.24951262943424396,0.27734145940676075,0.24951262943424396,0.27734145940676075,0.2773414594096854,0.2425549434558475,0.27734145940699306,0.24255494345568682,0.09150744231970105,0.09264239021047407,0.01961764281617064,-0.046446892740341035,0.01961764281617064,-0.04644689274034104,-0.04644689274073589,0.08884722750565621,-0.04644689274030916,0.08884722750551916
1,0.7,1,0.4,1,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.07844,0.07358,0.04362,0.02516,0.04362,0.02516,0.02188,0.09313,0.02516,0.09036,0.24885103508288225,0.2535926774412282,0.24796174476148475,0.27605888316859073,0.24796174476148475,0.27605888316859073,0.27605888317713695,0.2409378529110028,0.27605888317585225,0.24093785291083408,0.08088814894450927,0.0764398125159024,0.01847090124180735,-0.047629693353189104,0.018470901241807353,-0.047629693353189104,-0.047629693354763816,0.08780360389103532,-0.04762969335417376,0.08780360389089362
1,0.7,1,0.4,1,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.07318,0.06475,0.04341,0.02474,0.04341,0.02474,0.02191,0.09396,0.02474,0.09118,0.24628593922112657,0.25039714688810033,0.2482799526974582,0.2774543777574647,0.2482799526974582,0.2774543777574647,0.27745437775957527,0.24149193333585983,0.27745437775734627,0.24149193333570318,0.0707315826281244,0.06016079513242738,0.017783562013211834,-0.04855093471388531,0.01778356201321183,-0.0485509347138853,-0.04855093471419225,0.0877746607115439,-0.048550934712721684,0.08777466071140996
1,0.7,1,0.4,1,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.06753,0.05708,0.04439,0.02537,0.04439,0.02537,0.02271,0.09487,0.02537,0.09198,0.2446232844587756,0.24839660751788284,0.24891058842501032,0.2771011247302077,0.24891058842501032,0.2771011247302077,0.2771011247315293,0.24187456176865285,0.27710112473054016,0.241874561768487,0.061934163500995426,0.04555666906460504,0.018999924320906927,-0.04660962194075595,0.018999924320906927,-0.046609621940755956,-0.04660962194084252,0.08816564740300296,-0.04660962193909988,0.08816564740286398
1,0.7,1,0.4,1,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H0,0.5,0.06301,0.05046,0.045,0.0262,0.045,0.0262,0.02325,0.09565,0.0262,0.0926,0.24315392130710514,0.24690738877490148,0.24932782487089203,0.2773158112326728,0.24932782487089203,0.2773158112326728,0.2773158112324825,0.24239130847321397,0.2773158112328709,0.24239130847305695,0.05356769565318367,0.031194050607682985,0.019901743337406765,-0.04584690746468173,0.01990174333740677,-0.04584690746468174,-0.04584690746439067,0.08920244160857355,-0.04584690746381405,0.08920244160844382
