K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.00745,0.02486,0.00596,0.025,0.00596,0.025,0.02452,6e-4,0.025,5.7e-4,0.2733044398777936,0.2906381736712746,0.2820168449993347,0.30367413046339675,0.28201684499871915,0.3036741304631872,0.30367413046336567,0.3055506775252227,0.3036741303401027,0.3055506775225467,-0.010452319510315972,0.08501829065707998,-0.035039780076901485,0.08439195007908745,-0.035039780076175815,0.0843919500792531,0.08439195007900253,-0.15670315881667293,0.08439195015625486,-0.1567031588101941
1,0.7,1,0.4,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.00823,0.02465,0.00664,0.02471,0.00664,0.02471,0.02401,9e-4,0.02471,8.7e-4,0.25901656250242305,0.2739305654401173,0.2680679732001842,0.28822296861277574,0.2680679732000284,0.28822296861276125,0.2882229686128629,0.28557218750715135,0.2882229685618694,0.2855721875061265,-0.011681826629084083,0.07282927545383018,-0.033460612763361944,0.07264324632712357,-0.03346061276328179,0.07264324632712063,0.07264324632711154,-0.14184138138706823,0.07264324635656469,-0.1418413813851762
1,0.7,1,0.4,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01001,0.02444,0.00793,0.02497,0.00793,0.02497,0.024,0.00145,0.02497,0.00141,0.24795861403870453,0.26091774857780486,0.2576417993730926,0.277142113265535,0.2576417993729909,0.27714211326542604,0.27714211326559407,0.26693354038725625,0.2771421132492207,0.2669335403867295,-0.010128006632337577,0.06375950042233705,-0.029821822799513256,0.06283556315945546,-0.029821822799517894,0.06283556315936605,0.0628355631593149,-0.12407994906687797,0.06283556316929712,-0.12407994906647916
1,0.7,1,0.4,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01116,0.02446,0.00932,0.02477,0.00932,0.02477,0.02368,0.00231,0.02477,0.00227,0.23629120727915273,0.2481810326852354,0.24571971896945646,0.2647739129297211,0.2457197189693777,0.2647739129296558,0.2647739129299681,0.2483249576201826,0.2647739129255129,0.2483249576196003,-0.008402520173745702,0.055261713970790424,-0.02572893669249573,0.053781924469921465,-0.025728936692586055,0.053781924469847114,0.05378192446982343,-0.10669831355113048,0.05378192447083422,-0.10669831355084072
1,0.7,1,0.4,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01336,0.02554,0.0117,0.0255,0.0117,0.0255,0.02404,0.00378,0.0255,0.00364,0.22680294902599868,0.23693192879685673,0.2371763763180729,0.25546056244867077,0.2371763763180729,0.25546056244867077,0.25546056244906984,0.2327718344899374,0.255460562447849,0.23277183448932337,-0.007368512738619519,0.04569658338784623,-0.0219500761843746,0.044532167286740885,-0.0219500761843746,0.04453216728674089,0.044532167286612266,-0.08949840604769103,0.04453216728708901,-0.08949840604730208
1,0.7,1,0.4,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01548,0.02549,0.01345,0.02542,0.01345,0.02542,0.02399,0.00598,0.02542,0.00573,0.2201395900934422,0.22930470478626674,0.230162908677145,0.24850763018866703,0.230162908677145,0.24850763018866703,0.24850763018926728,0.21983066135276114,0.248507630188466,0.2198306613519893,-0.006112326673179762,0.03609104549628067,-0.01810075507185181,0.03455957667772916,-0.01810075507185181,0.03455957667772916,0.034559576677570904,-0.07195684329156672,0.03455957667787063,-0.0719568432911586
1,0.7,1,0.4,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01743,0.0253,0.01637,0.02604,0.01637,0.02604,0.02448,0.00908,0.02604,0.00872,0.2152678543216884,0.2235926328344964,0.22573161590039656,0.2443511830544874,0.22573161590039656,0.2443511830544874,0.24435118305530734,0.2096692906550205,0.2443511830544826,0.2096692906540838,-0.005329464187583886,0.026637468025997386,-0.014851523750554768,0.025065511334429254,-0.01485152375055477,0.02506551133442925,0.02506551133426666,-0.05467965656940332,0.025065511334414457,-0.05467965656901655
1,0.7,1,0.4,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.01909,0.02501,0.01863,0.0253,0.01863,0.0253,0.02367,0.01284,0.0253,0.01238,0.21053776148640183,0.21810149936877865,0.2211827502696108,0.23945310274869824,0.2211827502696108,0.23945310274869822,0.23945310274972806,0.2007616913603727,0.23945310274869824,0.20076169135928415,-0.004566347190850608,0.01658434774635361,-0.011263716912359084,0.014776896097632972,-0.011263716912359086,0.014776896097632972,0.014776896097494273,-0.037249031722725194,0.014776896097632965,-0.03724903172241702
1,0.7,1,0.4,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.02168,0.02423,0.02119,0.02478,0.02119,0.02478,0.02272,0.01836,0.02478,0.01761,0.20871018496646762,0.21627091866872894,0.21960856080375676,0.2393305791113096,0.21960856080375676,0.2393305791113096,0.2393305791124726,0.19624281443346822,0.2393305791113096,0.19624281443226832,-0.0025776798442345926,0.00740226055946867,-0.006736167393994248,0.005017867394755614,-0.006736167393994248,0.005017867394755609,0.005017867394685925,-0.01858279544947767,0.005017867394755605,-0.018582795449307202
1,0.7,1,0.4,1,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H0,0.5,0.02453,0.02458,0.02535,0.02584,0.02535,0.02584,0.02369,0.02579,0.02584,0.02489,0.21000002420660022,0.2180333658407388,0.22124912554311624,0.24214223097441873,0.22124912554311624,0.24214223097441873,0.24214223097559642,0.19661667147119835,0.24214223097441873,0.19661667146995088,-7.675572959350486e-4,-0.0014826113065742853,-0.0014040905874203385,-0.002753465271173306,-0.0014040905874203385,-0.002753465271173313,-0.002753465271134326,2.0205086384432664e-4,-0.0027534652711733117,2.0205086384400697e-4
