K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.88995,0.88627,0.73734,0.58488,0.73734,0.58488,0.5565,0.90556,0.58488,0.90179,0.286951971263551,0.2999458233227222,0.26907024883342157,0.29331660581829305,0.2690702489463481,0.2933166058497285,0.2933166063076197,0.2633441469259943,0.29331660575168855,0.2633441462722657,0.12660447364595756,0.14470698734612675,0.01940861126412089,-0.04043705024282076,0.01940861132462435,-0.040437050219991694,-0.04043704994738606,0.0946638367777085,-0.04043705001627834,0.09466383650052367
1,0.7,1,1.8,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.87994000000000006,0.86991,0.73503,0.58202,0.73503,0.58202,0.55327,0.904,0.58202,0.90038,0.2816778072303993,0.29237423559507847,0.2685429882643312,0.2932699418596585,0.2685429883652143,0.2932699418889809,0.2932699423003924,0.26203082006950107,0.2932699417542418,0.2620308194683696,0.11440482295730289,0.1272259414741866,0.016204102045302024,-0.0439515930686282,0.01620410209563573,-0.043951593050511585,-0.04395159279605744,0.09199391750795032,-0.043951592841916735,0.0919939172516221
1,0.7,1,1.8,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.87422,0.85786,0.73525,0.58247,0.73525,0.58247,0.55362,0.90574,0.58247,0.90218,0.27853314160471876,0.2870735423165602,0.268750217033803,0.2931077666106315,0.2687502171191706,0.2931077666441461,0.2931077670377419,0.2624035678547318,0.29310776651752374,0.2624035672929996,0.10646529343652901,0.11401658378115143,0.01730952369004551,-0.04276905620571354,0.01730952373342569,-0.04276905618338448,-0.04276905594198943,0.09293127363846593,-0.04276905601100186,0.09293127339738343
1,0.7,1,1.8,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.8649,0.84277,0.73674,0.58357,0.73674,0.58357,0.55443,0.90617,0.58357,0.90264,0.2756191353895619,0.2823340343530616,0.26863027010161344,0.2926477619733351,0.26863027019497915,0.29264776200002596,0.29264776238125845,0.2621735580338416,0.292647761889303,0.2621735574798137,0.09770895793027044,0.10005985173192644,0.01802653932002343,-0.04215696365283949,0.01802653936492093,-0.042156963638361744,-0.04215696340264401,0.09283906590843649,-0.042156963467675924,0.09283906567217626
1,0.7,1,1.8,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.85481,0.82379,0.73463,0.58214,0.73463,0.58214,0.55269,0.90604,0.58214,0.90255,0.2725918149916577,0.27822596494954793,0.2691086894669648,0.293494166245034,0.2691086895552743,0.2934941662805943,0.29349416667957784,0.2617635560717537,0.2934941661371733,0.26176355548723135,0.08784425117314906,0.08508717380201411,0.016982412359867503,-0.04362186630836268,0.01698241240262111,-0.04362186629537298,-0.04362186604344637,0.09236372344693924,-0.043621866110753596,0.09236372319339452
1,0.7,1,1.8,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.84464,0.80705,0.7345,0.58034,0.7345,0.58034,0.5515,0.90523,0.58034,0.90142,0.269578516601035,0.27453220553209945,0.2684653874534034,0.2932264952481672,0.2684653875567704,0.29322649528135003,0.2932264956888917,0.26180900472421365,0.29322649514451243,0.26180900414883096,0.0782460839833784,0.07053802068223373,0.015703128737723494,-0.044507650671929716,0.015703128785986745,-0.04450765065295082,-0.04450765040753998,0.0912939508212127,-0.044507650456768896,0.09129395057416603
1,0.7,1,1.8,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.83573,0.79043,0.73472,0.58192,0.73472,0.58192,0.55321,0.90576,0.58192,0.90205,0.26799059464675495,0.2724336710238268,0.26834698062706586,0.29262459106273175,0.2683469807314731,0.29262459109865885,0.2926245914989792,0.2620702825663791,0.29262459097439325,0.2620702819831718,0.07157901232511506,0.058661556387318924,0.017752006834850696,-0.042379676453502074,0.017752006888598234,-0.042379676430540095,-0.04237967618321571,0.09296646833875229,-0.04237967625005336,0.09296646808971745
1,0.7,1,1.8,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.82614,0.77343,0.73697,0.58323,0.73697,0.58323,0.55347,0.90392,0.58323,0.90037,0.2664384617326109,0.2706209859294667,0.2686739793061572,0.2928885461443738,0.26867397942024174,0.29288854617656207,0.2928885465926633,0.26253583361184235,0.2928885460687257,0.2625358330213709,0.06300985635964437,0.04487423234240281,0.018065361666567078,-0.04269758188838411,0.018065361717947006,-0.042697581869504314,-0.042697581613794965,0.09274705442632883,-0.04269758168597665,0.09274705417106399
1,0.7,1,1.8,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.81543,0.75495,0.73625,0.58274,0.73625,0.58274,0.55346,0.90605,0.58274,0.90264,0.2646753036932471,0.26924705083306016,0.268439339252783,0.2922302253030518,0.2684393394059472,0.29223022536031734,0.29223022578379054,0.2623895717744437,0.2922302252695132,0.26238957115949846,0.05581558172083441,0.032563044468183665,0.01868103253075799,-0.04196284897785419,0.018681032601851368,-0.041962848945753015,-0.04196284868551177,0.09437290305477916,-0.04196284876399265,0.09437290279224261
1,0.7,1,1.8,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1_1,0.5,0.80696,0.7376,0.73809,0.58847,0.73809,0.58847,0.55998,0.90544,0.58847,0.902,0.2655070569180023,0.27066335154199167,0.27088416175264324,0.2940414696637061,0.27088416184054276,0.2940414696870774,0.2940414701413039,0.26412019774384554,0.29404146959373756,0.2641201971172626,0.04908393792675255,0.021080730638797805,0.020654689089575465,-0.039018017013926404,0.02065468912947963,-0.039018016998723835,-0.039018016732710825,0.09545262439004151,-0.039018016804233634,0.09545262412219217
