K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.66498,0.78331,0.60174,0.72387,0.60174,0.72387,0.71372,0.44011,0.72387,0.43474,0.2811339094363335,0.29820454950734765,0.28876215178961795,0.3091182806400666,0.28876215178961795,0.3091182806400663,0.30911828064092833,0.3106488235374457,0.3091182806395817,0.31064882353786216,-0.008486532944146464,0.08550686728772952,-0.025674828445318914,0.08475603785258892,-0.025674828445318928,0.08475603785258821,0.08475603785441739,-0.1556488096179255,0.08475603785242357,-0.15564880961961253
1,0.7,1,1.8,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.67706,0.77732,0.6188,0.71874,0.6188,0.71874,0.70751,0.49245,0.71874,0.48699,0.26749293539548663,0.2831401112489284,0.27530601224770146,0.2949523838187352,0.27530601224770146,0.2949523838187349,0.2949523838195246,0.29022949342655413,0.2949523838181311,0.290229493427093,-0.007469805966505949,0.07617897834730324,-0.022516444845018534,0.07560695848673027,-0.022516444845018625,0.07560695848672931,0.07560695848876758,-0.1389616586383862,0.07560695848656011,-0.13896165864024518
1,0.7,1,1.8,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.68856,0.77259,0.63369,0.7115,0.63369,0.7115,0.69852,0.54085,0.7115,0.53524,0.2577642529039153,0.27170404099666656,0.26603360081223354,0.28457797744879365,0.2660336008122336,0.28457797744879343,0.28457797744942753,0.27272250750388716,0.2845779774449796,0.272722507504505,-0.005014007655302668,0.06803798177608664,-0.01802331276842397,0.06734802295065717,-0.018023312768424102,0.0673480229506563,0.06734802295275498,-0.12048309662315805,0.06734802294949106,-0.1204830966250412
1,0.7,1,1.8,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.69531,0.76107,0.64486,0.70274,0.64486,0.70274,0.68857,0.58414,0.70274,0.57888,0.24869310757010757,0.261099214483757,0.25706739400965756,0.27452339157557315,0.25706739400965756,0.2745233915755727,0.2745233915759978,0.2567016489930457,0.274523391569765,0.2567016489936868,-0.005176219716916049,0.05737420846144447,-0.016415643474574033,0.05674987330981083,-0.01641564347457408,0.056749873309810045,0.05674987331179316,-0.10459108444137538,0.056749873307893065,-0.10459108444311187
1,0.7,1,1.8,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.70286,0.7531,0.65689,0.69365,0.65689,0.69365,0.67857,0.62566,0.69365,0.62012,0.241747203219337,0.25245204279642625,0.2502878857032877,0.2668461943131965,0.2502878857032877,0.2668461943131965,0.26684619431340617,0.24322570547845923,0.2668461943045682,0.2432257054788106,-0.00433430488437259,0.04794753927932415,-0.013837479211348397,0.04680897300257227,-0.01383747921134844,0.04680897300257182,0.04680897300425963,-0.08718240785385045,0.04680897300005376,-0.08718240785534219
1,0.7,1,1.8,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.71088,0.74293,0.66688,0.68187,0.66688,0.68187,0.66518,0.66643,0.68187,0.6605,0.23520963277789633,0.2448938999864553,0.24385242735869098,0.2598921551988103,0.24385242735822352,0.25989215519838915,0.2598921551988813,0.23104285831060428,0.25989215518726594,0.23104285831069765,-0.003051053393159358,0.03829284629807109,-0.010759790959266631,0.03655261856026383,-0.010759790959374373,0.03655261856015366,0.036552618561512755,-0.0692737734195507,0.036552618556760015,-0.069273773420643
1,0.7,1,1.8,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.71896,0.73232,0.67788,0.67234,0.67788,0.67234,0.65428,0.70698,0.67234,0.70143,0.2305415507389875,0.2399390621047176,0.2393612083008243,0.2558810257241586,0.23936120830082425,0.25588102572415866,0.2558810257242221,0.2213364885105188,0.25588102571748583,0.22133648851079743,-0.001618970524822583,0.029510590775728048,-0.007314181114700846,0.02815671100895351,-0.0073141811147009175,0.02815671100895326,0.028156711009698087,-0.05100546297172219,0.02815671100697216,-0.0510054629722443
1,0.7,1,1.8,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.72927,0.72597,0.69196,0.66468,0.69196,0.66468,0.64565,0.74537,0.66468,0.73995,0.22769606693387898,0.23657705383508465,0.23634117688467896,0.2530525647011316,0.23634117688467174,0.2530525647011315,0.253052564701499,0.2145856061610302,0.2530525646985389,0.21458560616082495,0.001216488299000118,0.021631238606684488,-0.00261877583556589,0.020425942418792677,-0.0026187758355682824,0.020425942418792614,0.020425942419058638,-0.032082268246954954,0.02042594241765916,-0.03208226824705248
1,0.7,1,1.8,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.73245,0.71256,0.69677,0.65112,0.69677,0.65112,0.62999,0.77537,0.65112,0.76996,0.2283624671746072,0.23709391485096312,0.23699850475076814,0.25403809852931647,0.236998504750768,0.25403809852931636,0.2540380985326341,0.21326197977943986,0.25403809853142495,0.21326197977559797,0.0013771021451401031,0.011434553404452309,-7.065941341007154e-4,0.009779901952878518,-7.065941341005297e-4,0.009779901952878705,0.009779901953517805,-0.014233489907825289,0.009779901953652378,-0.014233489908363204
1,0.7,1,1.8,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.73935,0.70131,0.70694,0.63919,0.70694,0.63919,0.61802,0.80651,0.63919,0.80174,0.2290105663867547,0.23828542519594106,0.23728002414829324,0.25540587035564416,0.23728002414837585,0.2554058703556437,0.2554058703638362,0.21305646900520686,0.2554058703480212,0.21305646899566227,0.002555128504766088,0.0018020898695774023,0.0021700005114932888,2.968326043617337e-4,0.002170000511521105,2.9683260436247496e-4,2.96832606265988e-4,0.0037315538505759047,2.96832608126486e-4,0.003731553848697626
1,0.7,1,1.8,1.8,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.74406,0.69175,0.71478,0.6285,0.71478,0.6285,0.60476,0.83217,0.6285,0.82757,0.23378506098055984,0.2435037968435451,0.2421379818332265,0.2612851347206831,0.24213798183322618,0.2612851347206826,0.26128513474923626,0.21921370755693273,0.2612851347060311,0.21921370752072317,0.004687981824161185,-0.006884057436283469,0.005931430461222058,-0.008603277664522712,0.00593143046122414,-0.008603277664521401,-0.008603277654973865,0.02335111476407338,-0.008603277653234563,0.023351114754992467
1,0.7,1,1.8,1.8,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.74792,0.67863,0.7213,0.61455,0.7213,0.61455,0.58971,0.85657,0.61455,0.85234,0.2399694917810561,0.250410361104943,0.2482678934648887,0.2680124291038827,0.24826789347014347,0.26801242910387807,0.26801242918170654,0.22817132311565572,0.2680124290638756,0.22817132301485799,0.006519679418489815,-0.01658139696901707,0.009244103414007046,-0.01896039260727119,0.009244103416588519,-0.0189603926072698,-0.018960392574555278,0.042832479113269976,-0.01896039257547856,0.04283247908046285
1,0.7,1,1.8,1.8,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.74841,0.66322,0.72434,0.60115,0.72434,0.60115,0.57468,0.87752,0.60115,0.87319,0.2454090484339626,0.2577841780363011,0.25379023822467817,0.27611028452567615,0.25379023823980645,0.2761102845317918,0.2761102846637956,0.2377640401193464,0.2761102844756882,0.23776403993897963,0.006275012504791849,-0.02742144401295074,0.01081420902050204,-0.029239274202866285,0.010814209028602136,-0.029239274199241716,-0.02923927413492929,0.06103181987200163,-0.029239274135439003,0.06103181980726091
1,0.7,1,1.8,1.8,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.75391,0.64906,0.73172,0.58933,0.73172,0.58933,0.56015,0.89506,0.58933,0.89106,0.25578658520569714,0.2693811692584795,0.26398157456436094,0.28737495247358646,0.26398157462268806,0.28737495250314943,0.28737495278694764,0.25366570296320207,0.28737495239625965,0.25366570257198456,0.00931030718100997,-0.0360642830967822,0.01520592437035235,-0.038840096000006326,0.015205924396841798,-0.038840095985510456,-0.03884009582764904,0.08140156904463826,-0.03884009585989721,0.08140156888643604
1,0.7,1,1.8,1.8,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.75762,0.6358,0.73805,0.57591,0.73805,0.57591,0.5447,0.91279,0.57591,0.90921,0.2664387495120572,0.28186765818578824,0.2745861716283498,0.3004121946507262,0.2745861717635998,0.30041219468190017,0.30041219520980095,0.27148355990080614,0.3004121945696017,0.2714835591105782,0.010845446242603382,-0.04567930690084356,0.018579838365464195,-0.04809820774629017,0.018579838439443514,-0.048098207720655387,-0.04809820736205165,0.10243525156749393,-0.04809820748601068,0.10243525120597914
1,0.7,1,1.8,1.8,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1_1,0.5,0.76125,0.62206,0.74372,0.56148,0.74372,0.56148,0.53032,0.92618,0.56148,0.92288,0.2777409673063139,0.2951229204380075,0.2854054528109489,0.31327902845188893,0.2854054530983301,0.3132790285283091,0.31327902941188346,0.2908851431819258,0.3132790284567088,0.29088514180173586,0.013737228887435981,-0.054333668555080115,0.02308136479294731,-0.056909812017032116,0.02308136496168673,-0.056909811946152584,-0.05690981123534042,0.12331196614404326,-0.05690981156056334,0.12331196542591777
