K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.78926,0.84732,0.6689,0.68504,0.6689,0.68504,0.66782,0.66332,0.68504,0.65782,0.23789979566856956,0.26105211919949045,0.2431425165138945,0.2591001142778443,0.2431425165138945,0.2591001142778443,0.2591001142779328,0.2317222698668596,0.2591001142687075,0.23172226986735314,0.045032075019060126,0.10863730827577547,-0.009447243421884398,0.03964720005903446,-0.009447243421884398,0.03964720005903446,0.03964720006034565,-0.07040330542362302,0.039647200056348746,-0.07040330542467559
1,0.7,1,0.4,1.8,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.77819,0.83297,0.66711,0.68639,0.66711,0.68639,0.66966,0.66499,0.68639,0.65912,0.23581859079221726,0.25576913733209916,0.2432972370828482,0.2599328075398192,0.2432972370828482,0.2599328075398192,0.25993280753991305,0.23132698423954742,0.25993280753523923,0.23132698424004006,0.03607312476277072,0.09562337759833327,-0.01009101496558201,0.039646721294054554,-0.01009101496558201,0.039646721294054554,0.039646721295364645,-0.07063215847303034,0.03964672129267287,-0.07063215847408462
1,0.7,1,0.4,1.8,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.76682,0.81826,0.66872,0.68553,0.66872,0.68553,0.66818,0.66727,0.68553,0.66132,0.23408587496489647,0.2504105601502173,0.24267756277770633,0.2593444194904628,0.24267756277770633,0.2593444194904628,0.25934441949054593,0.23054639680283448,0.2593444194860561,0.23054639680334096,0.027452855606039932,0.08173478610181242,-0.00944254315698636,0.03967287950224609,-0.009442543156986363,0.03967287950224609,0.039672879503560736,-0.07028886648721731,0.0396728795009613,-0.07028886648827745
1,0.7,1,0.4,1.8,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.75084,0.79796,0.66624,0.6841,0.66624,0.6841,0.66682,0.66319,0.6841,0.65736000000000006,0.2341631655471992,0.24709811200033632,0.2439172850548831,0.2600459263772257,0.2439172850548831,0.2600459263772257,0.2600459263774219,0.23129485213385395,0.2600459263705452,0.23129485213393142,0.018279056445102793,0.06752835718155731,-0.009712021214986146,0.03953095775491555,-0.009712021214986146,0.03953095775491555,0.039530957756258166,-0.07016473378073204,0.039530957752787,-0.07016473378192409
1,0.7,1,0.4,1.8,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.73909,0.7809,0.67054,0.68816,0.67054,0.68816,0.6708,0.66571,0.68816,0.65994,0.23408491260024564,0.24483837530035477,0.24453500169299175,0.26142871535340706,0.24453500169299175,0.26142871535340706,0.2614287153534986,0.23171390921663879,0.26142871534492845,0.23171390921713572,0.010090245533534388,0.054549907910689956,-0.008754797420543695,0.04050096064177339,-0.008754797420543695,0.04050096064177338,0.0405009606430836,-0.069240322405842325,0.04050096063922776,-0.0692403224068986
1,0.7,1,0.4,1.8,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.72375,0.75746,0.66769,0.68486,0.66769,0.68486,0.66837,0.66378,0.68486,0.65733,0.2329847900885162,0.24138739905046228,0.2435326567720451,0.2597099121105889,0.2435326567720451,0.2597099121105889,0.2597099121106768,0.2311159426385566,0.2597099121028431,0.23111594263905688,-6.801413509745892e-4,0.03875620267513799,-0.009982785935675814,0.039487485989001335,-0.009982785935675812,0.039487485989001335,0.03948748599031403,-0.07085490580710761,0.039487485986880205,-0.07085490580816346
1,0.7,1,0.4,1.8,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.70799,0.73557,0.66697,0.68355,0.66697,0.68355,0.66647,0.66314,0.68355,0.65735,0.23348043759393142,0.2397975649420685,0.24381764821692284,0.26014151849780687,0.24381764821692284,0.26014151849780687,0.26014151849789136,0.2316092343539473,0.2601415184919449,0.23160923435445044,-0.010159975279503616,0.024400604773982103,-0.010781785088448367,0.03905127140775042,-0.010781785088448367,0.03905127140775042,0.03905127140906162,-0.07110421473609688,0.03905127140607364,-0.07110421473715119
1,0.7,1,0.4,1.8,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.69243,0.71294,0.66605,0.68397,0.66605,0.68397,0.66779,0.66348,0.68397,0.65709,0.23357929338221897,0.23854697997385896,0.24312891125643926,0.2595849290904785,0.24312891125643926,0.2595849290904785,0.2595849290905558,0.23127893655709555,0.25958492908826264,0.23127893655759907,-0.019679429413533456,0.009351839971363254,-0.010590615313757447,0.0387186136674184,-0.010590615313757448,0.03871861366741839,0.03871861366872984,-0.0712539582361418,0.0387186136667775,-0.07125395823719416
1,0.7,1,0.4,1.8,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.6767,0.6899,0.66603,0.68325,0.66603,0.68325,0.66642,0.66366,0.68325,0.65767,0.23496630571423854,0.23923027892676196,0.2437307459509912,0.2601270001671692,0.2437307459513582,0.2601270001671692,0.26012700016724777,0.23118424008862848,0.2601270001628686,0.2311842400891323,-0.028383036083135638,-0.004365902135295072,-0.010551933009532746,0.03847751866006346,-0.010551933009444674,0.03847751866006346,0.03847751866136366,-0.07035215072526774,0.03847751865874814,-0.07035215072631566
1,0.7,1,0.4,1.8,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.66259,0.66716,0.6668,0.68435,0.6668,0.68435,0.66706,0.66532,0.68435,0.65945,0.23627740986936294,0.24009143459634888,0.24390503408890088,0.2602797784057036,0.24390503408890088,0.2602797784057036,0.2602797784057887,0.23147461553073237,0.2602797783954581,0.2314746155312467,-0.037499819517721994,-0.018810712521773132,-0.009825155749890539,0.03941601112572558,-0.009825155749890537,0.03941601112572558,0.039416011127036035,-0.07038980764989795,0.039416011122692204,-0.0703898076509488
