K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,0.2513144,-0.5,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.90994,0.9149,0.73744,0.58549,0.73744,0.58549,0.55672,0.90543,0.58549,0.90149,0.29445914587783295,0.31149086600648923,0.26901993339815494,0.29305887098643923,0.26901993351343173,0.29305887103681205,0.2930588714583848,0.26306865683499187,0.2930588709042068,0.26306865623965414,0.14647699598454264,0.1728037525518597,0.01991718746015331,-0.04001241625593763,0.019917187517861024,-0.0400124162272284,-0.04001241597164264,0.09508858695907298,-0.04001241603805087,0.09508858670200172
1,0.7,1,0.4,1.8,0.2513144,-0.4444444444444444,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.90301,0.9028,0.73455,0.58194,0.73455,0.58194,0.55294,0.90529,0.58194,0.90141,0.2892561704609011,0.30303165816971983,0.2694390380585532,0.2936199550146138,0.2694390381776442,0.2936199550661885,0.2936199554561917,0.2624761870796285,0.2936199549251034,0.262476186504927,0.13476111402558633,0.15577687621478817,0.01762245125295616,-0.04294298681170993,0.01762245131484767,-0.04294298678414083,-0.04294298653663903,0.09284137649991142,-0.042942986591681415,0.0928413762490441
1,0.7,1,0.4,1.8,0.2513144,-0.3888888888888889,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.89624,0.89311,0.73611,0.58454,0.73611,0.58454,0.55496,0.90636,0.58454,0.90238,0.28495635450410256,0.29639083467156335,0.2683895814767433,0.29293261459039205,0.2683895815622488,0.29293261461927966,0.29293261503386103,0.2625329961324867,0.2929326145104762,0.2625329955461118,0.12626480602869283,0.1423020774717194,0.01847964927950226,-0.04257558211038178,0.01847964932583839,-0.042575582090743774,-0.042575581834768214,0.09400893288534509,-0.04257558190000091,0.09400893262898717
1,0.7,1,0.4,1.8,0.2513144,-0.33333333333333337,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.88752,0.8807,0.73512,0.5846,0.73512,0.5846,0.55617,0.90578,0.5846,0.90223,0.28113880935656527,0.2899319126433848,0.26985016178884186,0.2937807213342999,0.2698501619268398,0.29378072139062605,0.29378072181224857,0.2630775973455963,0.29378072129335836,0.2630775967347046,0.11559800029196199,0.12706159195095965,0.017501585900930035,-0.04250552397493182,0.017501585967138966,-0.04250552394330821,-0.04250552368287132,0.09291795897100558,-0.042505523754264106,0.09291795871083443
1,0.7,1,0.4,1.8,0.2513144,-0.2777777777777778,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.87906,0.86679,0.73626,0.58439,0.73626,0.58439,0.55457,0.90562,0.58439,0.9018,0.27669429962348746,0.2837253087648368,0.2681331369379539,0.2920465954926609,0.26813313706309966,0.29204659553116535,0.2920465959242667,0.26246583643867616,0.2920465954229766,0.26246583587216493,0.10627326667222567,0.1127801652010104,0.018004074368648933,-0.04174327262140356,0.01800407442851356,-0.04174327260043691,-0.04174327235959671,0.09345901233410966,-0.04174327242242418,0.09345901209313003
1,0.7,1,0.4,1.8,0.2513144,-0.2222222222222222,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.87011,0.85209,0.73617,0.58416,0.73617,0.58416,0.55529,0.90603,0.58416,0.90262,0.27399255366560693,0.2794056573580763,0.26939541922432847,0.29367558768168317,0.26939541933696287,0.29367558772113406,0.293675588152311,0.26308566304184966,0.2936755876306458,0.2630856624354612,0.0968401139369212,0.09763281360519717,0.018717675916223715,-0.041553985558994096,0.01871767596894785,-0.04155398553625908,-0.04155398528066647,0.09389835896772153,-0.04155398535821663,0.09389835870763968
1,0.7,1,0.4,1.8,0.2513144,-0.16666666666666669,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.85878,0.83306,0.73453,0.58231,0.73453,0.58231,0.55296,0.90334,0.58231,0.89974,0.27092055392905673,0.27473028873577476,0.2695966461527168,0.2941817603411251,0.2695966462850328,0.29418176039658434,0.29418176080731995,0.26316440857387635,0.2941817602999641,0.263164407985072,0.08621538120294987,0.08139255150308641,0.017815990680164626,-0.043083546022352114,0.017815990743149202,-0.04308354598698084,-0.04308354573699624,0.09320422753511114,-0.04308354581080389,0.09320422728120092
1,0.7,1,0.4,1.8,0.2513144,-0.11111111111111116,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.84848,0.81634,0.73623,0.5844,0.73623,0.5844,0.55688,0.90567,0.5844,0.9018,0.2681257274375427,0.27100400818823245,0.2695470621587013,0.29326997434290253,0.2695470622332895,0.29326997437521707,0.2932699747715179,0.26318593539609264,0.29326997425191975,0.2631859348321178,0.07731757948710524,0.06729079604409043,0.01839181337200235,-0.041812801353614364,0.018391813412543638,-0.04181280133508236,-0.04181280108748001,0.09450423173134495,-0.04181280116414204,0.09450423148193252
1,0.7,1,0.4,1.8,0.2513144,-0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.8385,0.79607000000000006,0.73511,0.5823,0.73511,0.5823,0.55412,0.9057,0.5823,0.90215,0.2653593402128191,0.26817029211087834,0.2692207737222172,0.29406814364510914,0.2692207738178771,0.2940681436816263,0.29406814409691723,0.2632937828354681,0.2940681435704678,0.26329378224974426,0.06645621635918915,0.05093581797509394,0.018117371375425163,-0.04207738122280251,0.018117371424350534,-0.04207738119958498,-0.04207738094657398,0.0938995859771426,-0.04207738101768163,0.09389958572407513
1,0.7,1,0.4,1.8,0.2513144,0,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.8274,0.77641,0.73671,0.58403,0.73671,0.58403,0.55449,0.90579,0.58403,0.90208,0.2631446315180003,0.26640802358589066,0.26913160197801483,0.2935274949648106,0.2691316020774339,0.293527495000319,0.2935274954290007,0.2633159982963205,0.2935274948984973,0.26331599769323305,0.056418922514639966,0.03497695523906352,0.018511553891338108,-0.041905497664388884,0.018511553942307888,-0.04190549763979372,-0.04190549738387426,0.09411728251182151,-0.04190549744675871,0.09411728225394192
1,0.7,1,0.4,1.8,0.2513144,0.05555555555555558,0.2513144,250,250,125,125,125,125,250,stepwise,mult,binary,DIFF,H1,0.5,0.81526,0.75509,0.73644,0.58396,0.73644,0.58396,0.55528,0.9062,0.58396,0.90272,0.26117002307855347,0.26485163085117974,0.2693959041330384,0.293616753369518,0.2693959042419797,0.2936167534093947,0.29361675381139185,0.2633603749985151,0.29361675332264753,0.26336037442345095,0.04674198902777368,0.01957483656562453,0.01893457834908603,-0.04133970001549503,0.01893457840532609,-0.041339699991165005,-0.04133969974600733,0.09467660365165202,-0.041339699811349453,0.0946766034054384
