K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1.8,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.67954,0.79417,0.60124,0.72523,0.60124,0.72523,0.71549,0.4405,0.72523,0.43512,0.279503472231341,0.29570030790923674,0.28851195238224825,0.30882070847148413,0.28851195238224825,0.30882070847148413,0.30882070847234794,0.3101326798508643,0.3088207084711166,0.3101326798512784,-0.0032884953366732316,0.0853580503065747,-0.026600420298045088,0.08404469594137724,-0.026600420298045088,0.08404469594137724,0.08404469594320267,-0.15614478889033814,0.08404469594123318,-0.15614478889202266
1,0.7,1,0.4,1.8,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.69413,0.7904,0.6203,0.72002,0.6203,0.72002,0.70842,0.49258,0.72002,0.48734,0.267626457334794,0.2821852900014248,0.27675651483798774,0.296131851958938,0.27675651483798774,0.296131851958938,0.29613185195973984,0.2902373485261248,0.2961318519582996,0.29023734852665023,-8.479231381091473e-4,0.07754131978018812,-0.021102073396970285,0.07696356024863985,-0.021102073396970285,0.07696356024863986,0.07696356025067878,-0.13718037938440517,0.07696356024844409,-0.13718037938626654
1,0.7,1,0.4,1.8,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.70047,0.7821,0.63171,0.70867,0.63171,0.70867,0.69552,0.53872,0.70867,0.53303,0.2562622165940371,0.2688500006864565,0.26572706956317205,0.2841302028504693,0.26572706956317205,0.2841302028504693,0.2841302028510918,0.2726866521925682,0.2841302028489991,0.27268665219319,-0.0015477416931064293,0.06702212281117936,-0.019415819239858887,0.06574526656881918,-0.019415819239858887,0.0657452665688192,0.06574526657091266,-0.12131831742565162,0.06574526656843879,-0.12131831742753131
1,0.7,1,0.4,1.8,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.70927,0.77389,0.64395,0.701,0.64395,0.701,0.68622,0.58244,0.701,0.57665,0.24655384813106143,0.2575024820217394,0.25627069070304903,0.27361637574346176,0.25627069070304903,0.27361637574346176,0.2736163757438735,0.2566085242587139,0.2736163757418231,0.25660852425936537,-0.0014528417381939175,0.057142774731270024,-0.01671834116571248,0.056025162513047976,-0.01671834116571248,0.05602516251304798,0.05602516251502771,-0.10470431726481846,0.056025162512489984,-0.10470431726655245
1,0.7,1,0.4,1.8,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.71791,0.76822,0.65656,0.69277,0.65656,0.69277,0.67639,0.62793,0.69277,0.62234,0.23807937843738117,0.24748315317097583,0.24800685952550441,0.26439974866582616,0.24800685952550441,0.26439974866582616,0.2643997486660731,0.2415439699102433,0.26439974865680393,0.24154396991081434,-3.7451891533027534e-4,0.04834366042311214,-0.013020421386649932,0.046916800173970465,-0.013020421386649932,0.04691680017397047,0.04691680017567367,-0.08634159525372294,0.0469168001712283,-0.08634159525516637
1,0.7,1,0.4,1.8,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.72253,0.75685,0.66544,0.68213,0.66544,0.68213,0.66516,0.66647,0.68213,0.66017,0.2327831936969166,0.24118198068971064,0.24317553330316977,0.25973461499664574,0.24317553330284655,0.25973461499664574,0.25973461499645867,0.23018035302328232,0.2597346149895932,0.2301803530239908,1.355099346772366e-4,0.039068140490112147,-0.010700595281674101,0.037056527547736536,-0.010700595281791276,0.037056527547736536,0.03705652754890353,-0.06870720316846476,0.03705652754547442,-0.06870720316940698
1,0.7,1,0.4,1.8,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.73069,0.74947,0.67636,0.67269,0.67636,0.67269,0.6542,0.70585,0.67269,0.69942,0.22784774786575984,0.2354300645421484,0.2388412182313348,0.2550747550836912,0.2388412182313348,0.2550747550836912,0.25507475508374217,0.22110710511475426,0.2550747550813693,0.22110710511504353,6.613613294432091e-4,0.029806744196404784,-0.007582202837161278,0.028089542990254512,-0.007582202837161279,0.028089542990254512,0.028089542990992457,-0.051243470117607416,0.02808954298967156,-0.05124347011812315
1,0.7,1,0.4,1.8,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.73588,0.73788,0.686,0.65885,0.686,0.65885,0.63987,0.74135,0.65885,0.7356,0.22607301047759998,0.2328124802316718,0.23688289514125183,0.25276432909286556,0.23688289514125183,0.25276432909286556,0.25276432909333624,0.2153515134182807,0.2527643290910102,0.21535151341788988,4.0161950594601423e-4,0.019724160661633988,-0.005371664192416941,0.017934543991515048,-0.005371664192416941,0.017934543991515044,0.01793454399180156,-0.03398831861745753,0.017934543991449396,-0.03398831861760802
1,0.7,1,0.4,1.8,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.74245,0.7298,0.6948,0.65016,0.6948,0.65016,0.62948,0.7751,0.65016,0.76978,0.22527540024871162,0.23195598123751654,0.23621877421642612,0.2531822384193634,0.23621877421642612,0.2531822384193634,0.2531822384213674,0.2129196201129465,0.2531822384185466,0.21291962011063784,9.158071475991417e-4,0.01001003789930044,-0.0024400628160705746,0.007968278584619851,-0.002440062816070577,0.00796827858461985,0.007968278584897435,-0.015614758288996344,0.007968278584978117,-0.01561475828919265
1,0.7,1,0.4,1.8,0,0,0,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.75048,0.72153,0.70645,0.64088,0.70645,0.64088,0.61866,0.80555,0.64088,0.80073,0.22631878220853915,0.23336665937005216,0.23762419020469108,0.2552152750464465,0.23762419020469108,0.2552152750464465,0.25521527505953734,0.21356381078638467,0.25521527504497943,0.21356381077141587,0.003346210480032735,0.002525612081776396,0.0023915512950614137,7.549060459170741e-4,0.0023915512950614124,7.549060459170692e-4,7.549060494617511e-4,0.004112378594187754,7.549060510093729e-4,0.00411237859068382
1,0.7,1,0.4,1.8,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.75607,0.71193,0.71598,0.63019,0.71598,0.63019,0.60685,0.83389,0.63019,0.82978,0.23037426543617032,0.23792360955182934,0.24185723720891023,0.2608445929816671,0.24185723721438787,0.2608445929863465,0.26084459301185225,0.2188325009749388,0.26084459296882595,0.21883250094322748,0.00598770359813395,-0.005329743466255109,0.0073236475967576806,-0.00767787449691893,0.007323647598321776,-0.00767787449536641,-0.007677874486873345,0.024567724875001928,-0.007677874480279911,0.024567724866496953
1,0.7,1,0.4,1.8,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.75836,0.69777,0.7197,0.61409,0.7197,0.61409,0.58878,0.85618,0.61409,0.85204,0.23625652607884567,0.24457252664991627,0.24794516516053924,0.2685542081112424,0.24794516517798565,0.2685542081186643,0.26855420819726866,0.22757019483475785,0.2685542080888109,0.22757019473375176,0.005630838752063852,-0.016043842512993234,0.008694562849552848,-0.018945432502415874,0.00869456285534161,-0.018945432500555116,-0.018945432467477073,0.04230180666157254,-0.018945432466420508,0.0423018066284833
1,0.7,1,0.4,1.8,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.7619,0.6885,0.72529,0.60389,0.72529,0.60389,0.57726,0.87681,0.60389,0.87265,0.24309676034027697,0.25245764535116605,0.25435576187058057,0.27627414531893785,0.2543557618908625,0.27627414532428757,0.27627414545262957,0.2392677992722711,0.276274145254979,0.23926779910331372,0.0067019683796148205,-0.025495344332323606,0.011851094990138854,-0.028763899803793406,0.011851094999777356,-0.028763899800738332,-0.028763899738474267,0.06214203650314861,-0.028763899738448794,0.062142036440269416
1,0.7,1,0.4,1.8,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.7673,0.67643,0.73325,0.59044,0.73325,0.59044,0.56229,0.89731,0.59044,0.89352,0.2519998373962849,0.262347460612671,0.26331276773351486,0.2869097414379884,0.2633127678251902,0.28690974146206777,0.2869097417649687,0.2543466962061941,0.2869097413683857,0.2543466957839349,0.00946486060664644,-0.03327588290058853,0.0169239693949731,-0.037045122949844356,0.016923969434813762,-0.037045122939457796,-0.037045122770322236,0.0838429957611592,-0.03704512279009036,0.08384299559257988
1,0.7,1,0.4,1.8,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.7691,0.6612,0.73817,0.57698,0.73817,0.57698,0.54628,0.91328,0.57698,0.90935,0.262567522112331,0.27488214423039053,0.2736636440181102,0.29894005607250007,0.27366364417558037,0.29894005614244096,0.2989400567145752,0.2718810168950409,0.29894005607537144,0.27188101606912973,0.009919900070425527,-0.04358263844946607,0.019959035389094097,-0.04645163437661154,0.019959035469402822,-0.04645163433850358,-0.04645163396868769,0.10327103223806239,-0.04645163411748806,0.10327103186439802
1,0.7,1,0.4,1.8,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.77263,0.64906,0.74233,0.56064,0.74233,0.56064,0.52797,0.92728,0.56064,0.92361,0.27331940520156484,0.28730993782211167,0.2844746067917183,0.31281716778186974,0.28447460713199774,0.31281716791149117,0.31281716875391463,0.2893968953009882,0.31281716783702546,0.2893968939487123,0.010079326246742728,-0.05408525298286217,0.021308260609126703,-0.05865071824463479,0.021308260821635457,-0.058650718141499115,-0.058650717447678906,0.12240067219824215,-0.05865071776143905,0.1224006714950155
1,0.7,1,0.4,1.8,0.38888888888888884,0.38888888888888884,0.38888888888888884,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.77335,0.63351,0.74492,0.54703,0.74492,0.54703,0.51277,0.93792,0.54703,0.9347,0.2883854138135156,0.3039498006369844,0.2997149534269165,0.329592635381363,0.2997149540306173,0.32959263558431073,0.329592636865044,0.3128265848366668,0.3295926355692412,0.3128265826338069,0.013567630712217796,-0.061984402436594706,0.02710538101153469,-0.06642791181630753,0.027105381431890476,-0.0664279116325147,-0.06642791036259538,0.14570666723303985,-0.06642791107217394,0.14570666594433043
1,0.7,1,0.4,1.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.77898,0.62408,0.75113,0.53659,0.75113,0.53659,0.50181,0.94965,0.53659,0.94682,0.3028597912278436,0.3198742876120088,0.31371761129365056,0.34528330334591945,0.31371761235896456,0.3452833036946866,0.34528330545251723,0.33703770339037564,0.34528330399549434,0.3370377000277927,0.016944944495445174,-0.06960109597131611,0.03216002133928282,-0.07487038783645537,0.03216002227228246,-0.07487038741719493,-0.07487038522961725,0.16857875032020678,-0.07487038656946553,0.16857874808548368
1,0.7,1,0.4,1.8,0.5,0.5,0.5,250,250,125,125,125,125,250,stepwise,mult,binary,EQ,H1,0.5,0.77853000000000006,0.60836,0.75494000000000006,0.52211,0.75494000000000006,0.52211,0.48707,0.95785,0.52211,0.95526,0.3169250629771551,0.33614803547917405,0.3285888905898868,0.36256890881084775,0.32858889214483533,0.36256890927117674,0.3625689112984686,0.3601126997193488,0.3625689098707635,0.36011269522131373,0.018291596197147094,-0.08000871897940175,0.03615235062267837,-0.08477858612343883,0.03615235224086559,-0.08477858534397122,-0.08477858210846406,0.18991650898081136,-0.0847785842103417,0.18991650561845655
