K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,0.1,-0.05,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.6963,0.64678,0.70644,0.62518,0.70596,0.6242,0.62383,0.72262,0.62607,0.72385,0.0967937481653241,0.10131149818362883,0.10018554789984083,0.10960655430455406,0.10018554789984083,0.10960655430455404,0.10960655430455404,0.09227674622602407,0.10960655430455404,0.09227674622602407,-0.012369545115520955,-0.015841783045612175,8.488683288218357e-4,-2.3321710707144793e-4,8.48868328821834e-4,-2.332171070714504e-4,-2.3321710707144668e-4,-0.02133438365838522,-2.3321710707144668e-4,-0.02133438365838522
1,0,1,0.25,0.25,0.1,-0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.69815,0.64827,0.70472,0.62112,0.70416,0.62051,0.62016,0.72223,0.62188,0.72398,0.096885050643587,0.10148312393648147,0.10020581309159807,0.10971722563779608,0.10020581309159807,0.10971722563779608,0.10971722563779608,0.09212899428155619,0.10971722563779608,0.09212899428155619,-0.011846235395122667,-0.015161263995386323,5.040655149234701e-4,-7.134064053057932e-4,5.040655149234689e-4,-7.134064053057949e-4,-7.134064053057916e-4,-0.021640812139520557,-7.134064053057916e-4,-0.021640812139520557
1,0,1,0.25,0.25,0.1,-0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.70284,0.6549,0.7045,0.62588,0.70405,0.62539,0.62475,0.72249,0.62664,0.72432,0.09679827959561807,0.1012290692520449,0.10032755075682982,0.10940619999131973,0.10032755075682982,0.10940619999131973,0.10940619999131972,0.09221208067217404,0.10940619999131972,0.09221208067217404,-0.010887290734470688,-0.013978579467980283,6.872552347347691e-4,-2.668387776802928e-4,6.87255234734768e-4,-2.668387776802948e-4,-2.668387776802913e-4,-0.021221030887949098,-2.668387776802913e-4,-0.021221030887949098
1,0,1,0.25,0.25,0.1,-0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.70515,0.65869,0.70495,0.62416,0.70436,0.62326,0.62285,0.72581,0.62546,0.72781,0.09633888518799179,0.10076635386092075,0.10013649294280533,0.10960961422742696,0.10013649294280533,0.10960961422742696,0.10960961422742696,0.09169330418157186,0.10960961422742696,0.09169330418157186,-0.009637987851725132,-0.012556506527621185,0.0010114907364262562,-7.348824453741424e-5,0.001011490736426254,-7.348824453741706e-5,-7.348824453741316e-5,-0.020702776237310174,-7.348824453741316e-5,-0.020702776237310174
1,0,1,0.25,0.25,0.1,-0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.70742,0.6596,0.70323,0.62203,0.7028,0.62145,0.62097,0.72057,0.6234,0.7222,0.09657691497190385,0.1010229490239778,0.10037516106480396,0.10998811288779299,0.10037516106480396,0.10998811288779298,0.10998811288779298,0.09210103585513797,0.10998811288779298,0.09210103585513797,-0.009602209723912002,-0.012419172728657559,3.2889679338935884e-4,-8.679955337292424e-4,3.2889679338935765e-4,-8.67995533729245e-4,-8.67995533729241e-4,-0.021743217483034354,-8.67995533729241e-4,-0.021743217483034354
1,0,1,0.25,0.25,0.1,0,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.71241,0.66769,0.70703,0.62654,0.70591,0.62597,0.62551,0.7255,0.62845,0.72679,0.09609557632999792,0.10050251082649655,0.1000446832600237,0.10942308313982814,0.1000446832600237,0.10942308313982813,0.10942308313982813,0.09168297179968916,0.10942308313982813,0.09168297179968916,-0.008024180753242955,-0.010477656962733584,0.0010198805987180098,2.191264033415972e-5,0.0010198805987180085,2.1912640334157713e-5,2.191264033416158e-5,-0.02094908199261107,2.191264033416158e-5,-0.02094908199261107
1,0,1,0.25,0.25,0.1,0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.71584,0.67068,0.70713,0.62421,0.70663,0.62355,0.62337,0.72653,0.62603,0.72832,0.09599543574676371,0.10031067911806564,0.10001320067323675,0.10939788799312879,0.10001320067323675,0.10939788799312879,0.10939788799312879,0.0916335562276999,0.10939788799312879,0.0916335562276999,-0.0072130598845603425,-0.00945434528858958,9.474910093000575e-4,-1.3311469994068634e-4,9.474910093000569e-4,-1.3311469994068843e-4,-1.3311469994068442e-4,-0.02083406423415093,-1.3311469994068442e-4,-0.02083406423415093
1,0,1,0.25,0.25,0.1,0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.72015,0.67688,0.70788,0.62699,0.70729,0.62623,0.62579,0.72727,0.6285,0.72834,0.09622319999577965,0.10079810444564526,0.10012456576543474,0.10971645735138298,0.10012456576543474,0.10971645735138298,0.10971645735138298,0.09184297943712678,0.10971645735138298,0.09184297943712678,-0.005688097884142868,-0.007763469558297053,0.0016083670872226376,6.404742922375645e-4,0.001608367087222636,6.404742922375625e-4,6.404742922375663e-4,-0.020372170086148,6.404742922375663e-4,-0.020372170086148
1,0,1,0.25,0.25,0.1,0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.72054,0.677,0.70569,0.62198,0.70479,0.62139,0.62067,0.72371,0.62361,0.72584,0.09592841102697242,0.10033768258406872,0.10002740788874823,0.10965518669712696,0.10002740788874823,0.10965518669712696,0.10965518669712696,0.09182483707512237,0.10965518669712696,0.09182483707512237,-0.00584699329881178,-0.007854479035464622,6.033820796291114e-4,-6.311660158331633e-4,6.033820796291105e-4,-6.311660158331651e-4,-6.311660158331616e-4,-0.02141155183487303,-6.311660158331616e-4,-0.02141155183487303
1,0,1,0.25,0.25,0.1,0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.72285,0.68294,0.70442,0.62506,0.70452,0.6248,0.62477,0.72391,0.6266,0.72554,0.09644373833748993,0.10070515989158862,0.10041999633553372,0.10991452957289034,0.10041999633553372,0.10991452957289034,0.10991452957289034,0.09217174072727075,0.10991452957289034,0.09217174072727075,-0.004655346249904204,-0.0063400526728183354,9.170225853942542e-4,-6.330063512393479e-5,9.17022585394253e-4,-6.33006351239372e-5,-6.330063512393323e-5,-0.020896699245843964,-6.330063512393323e-5,-0.020896699245843964
1,0,1,0.25,0.25,0.1,0.05,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.72659,0.68491,0.70595,0.62512,0.70586,0.6249,0.62421,0.72422,0.62623,0.72657,0.09595468707586205,0.10013734120360784,0.10004646309801171,0.10958105067722153,0.10004646309801171,0.10958105067722153,0.10958105067722153,0.09182877557842413,0.10958105067722153,0.09182877557842413,-0.003858788832805527,-0.005338263854913658,9.222218719031855e-4,-9.53337852254688e-5,9.222218719031848e-4,-9.533378522547036e-5,-9.533378522546674e-5,-0.021065159769599256,-9.533378522546674e-5,-0.021065159769599256
1,0,1,0.25,0.25,0.1,0.06,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.72981,0.68918,0.7056,0.62594,0.70489,0.62492,0.6243,0.72448,0.62706,0.7258,0.09598372750458577,0.10017207022353371,0.10012918328960918,0.10954496335361696,0.10012918328960918,0.10954496335361696,0.10954496335361696,0.09187367571478798,0.10954496335361696,0.09187367571478798,-0.0027778416613067776,-0.004090447267365184,0.0011999070772504528,2.1076820145435579e-4,0.0011999070772504515,2.1076820145435375e-4,2.1076820145435728e-4,-0.020746330150319927,2.1076820145435728e-4,-0.020746330150319927
1,0,1,0.25,0.25,0.1,0.07,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.73208,0.6946,0.70717,0.62595,0.70647,0.62618,0.62514,0.72417,0.62725,0.72568,0.09600757575420239,0.1000224558883205,0.10019785648861056,0.1095469910536627,0.10019785648861056,0.1095469910536627,0.1095469910536627,0.09188195924361452,0.1095469910536627,0.09188195924361452,-0.0022334536563140997,-0.0033982526802844187,8.664611915238577e-4,-2.3319793386778728e-4,8.664611915238562e-4,-2.3319793386778864e-4,-2.3319793386778476e-4,-0.02101747919714285,-2.3319793386778476e-4,-0.02101747919714285
1,0,1,0.25,0.25,0.1,0.08,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.73395,0.69482,0.70397,0.62068,0.70394,0.62022,0.61969,0.72385,0.62244,0.72534,0.09595455652850592,0.09998571995282043,0.10028030505492276,0.10949441925777731,0.10028030505492276,0.10949441925777731,0.10949441925777731,0.09188397734828564,0.10949441925777731,0.09188397734828564,-0.0016580051098765204,-0.0026628048490707564,3.691170770460662e-4,-9.218327646605666e-4,3.691170770460652e-4,-9.218327646605684e-4,-9.218327646605646e-4,-0.021199099667107063,-9.218327646605646e-4,-0.021199099667107063
1,0,1,0.25,0.25,0.1,0.09,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.73955,0.70125,0.70613,0.62494,0.70574,0.6242,0.62372,0.72459,0.62602,0.72647,0.09599748722263522,0.10012262485627665,0.10025383915641853,0.10954011160480787,0.10025383915641853,0.10954011160480785,0.10954011160480785,0.09205847151228068,0.10954011160480785,0.09205847151228068,-1.8339793276339906e-4,-8.246809494851121e-4,0.001210719059151683,2.2270493029725937e-4,0.0012107190591516821,2.227049302972583e-4,2.2270493029726143e-4,-0.020792279492240814,2.2270493029726143e-4,-0.020792279492240814
1,0,1,0.25,0.25,0.1,0.1,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,EQ,H1,0.5,0.74255,0.70424,0.70572,0.62539,0.70517,0.62474,0.6245,0.72411,0.62621,0.72574,0.09570636837252394,0.09975869448433987,0.10010149640587511,0.10955037249154284,0.10010149640587511,0.10955037249154284,0.10955037249154284,0.0919157334099478,0.10955037249154284,0.0919157334099478,5.409048776296372e-4,4.1903241723445366e-5,0.0010639195268916052,5.065336418108091e-5,0.0010639195268916043,5.065336418107947e-5,5.0653364181083494e-5,-0.021056600699722882,5.0653364181083494e-5,-0.021056600699722882
1,0,1,0.25,0.25,0.1,0.11,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.74388,0.70665,0.70689,0.62266,0.70621,0.62238,0.62168,0.72379,0.62423,0.72554,0.09589451709900158,0.10008975463781246,0.10001756779775932,0.10959019747786602,0.10001756779775932,0.10959019747786602,0.10959019747786602,0.09187806736480815,0.10959019747786602,0.09187806736480815,0.0011923387588396812,8.165341868338044e-4,7.516278357508495e-4,-3.7774801767260325e-4,7.516278357508491e-4,-3.777480176726043e-4,-3.7774801767260065e-4,-0.02101049897180796,-3.7774801767260065e-4,-0.02101049897180796
1,0,1,0.25,0.25,0.1,0.12,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.7475,0.7113,0.7062,0.62365,0.70585,0.62287,0.62166,0.72414,0.62512,0.72626,0.09576213833642991,0.09989729840122187,0.10012695771096881,0.10954157336178616,0.10012695771096881,0.10954157336178616,0.10954157336178616,0.09174134210656071,0.10954157336178616,0.09174134210656071,0.0022808487017242246,0.0020866802995650035,0.0011048263190103305,-9.49919578945024e-5,0.00110482631901033,-9.499195789450367e-5,-9.499195789449961e-5,-0.0208147388558852,-9.499195789449961e-5,-0.0208147388558852
1,0,1,0.25,0.25,0.1,0.13,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.75114,0.71597,0.70677,0.62516,0.70594,0.62443,0.62425,0.72461,0.62642,0.72613,0.09555471658694926,0.09963632691546345,0.09996780208488582,0.10928559240552917,0.09996780208488582,0.10928559240552917,0.10928559240552917,0.09136892246486825,0.10928559240552917,0.09136892246486825,0.003151406507906954,0.0031130940177834195,0.0010831758014366465,-2.6015157388266114e-4,0.0010831758014366458,-2.601515738826625e-4,-2.601515738826587e-4,-0.020837363705057444,-2.601515738826587e-4,-0.020837363705057444
1,0,1,0.25,0.25,0.1,0.14,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.75323,0.71903,0.7071,0.6262,0.70624,0.62571,0.62502,0.72373,0.6279,0.72644,0.09578126666886246,0.09988384356673635,0.09985382067089286,0.1092072754862517,0.09985382067089286,0.1092072754862517,0.1092072754862517,0.09160623443580437,0.1092072754862517,0.09160623443580437,0.0037732739914440082,0.003997279203740233,9.008224586913134e-4,-2.27181345642032e-4,9.008224586913134e-4,-2.2718134564203284e-4,-2.2718134564202926e-4,-0.021041946330299648,-2.2718134564202926e-4,-0.021041946330299648
1,0,1,0.25,0.25,0.1,0.15,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.75573,0.7202,0.70672,0.62608,0.70634,0.62559,0.62558,0.72428,0.62799,0.72647,0.09614335893256727,0.10033987319836717,0.10039366030133304,0.1096887513669756,0.10039366030133302,0.1096887513669756,0.1096887513669756,0.09179388604345666,0.1096887513669756,0.09179388604345666,0.004640801584090036,0.004912888741374436,0.0011252057984026667,3.5282169464242666e-5,0.0011252057984026662,3.528216946424135e-5,3.528216946424516e-5,-0.020965891418764468,3.528216946424516e-5,-0.020965891418764468
1,0,1,0.25,0.25,0.1,0.16,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.75876999999999994,0.72471,0.70714,0.62468,0.70659,0.62408,0.62356,0.7246,0.62609,0.72648,0.09617895284872457,0.10029312962245138,0.10025385170749758,0.10950659670475162,0.10025385170749758,0.10950659670475162,0.1095065967047516,0.09166399887306813,0.1095065967047516,0.09166399887306813,0.005914276079469558,0.006603071241848158,0.0012867003636359909,3.998930675603053e-4,0.0012867003636359907,3.998930675603045e-4,3.998930675603081e-4,-0.020546887318575867,3.998930675603081e-4,-0.020546887318575867
1,0,1,0.25,0.25,0.1,0.17,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.76176,0.72822,0.70548,0.62439,0.70519,0.62386,0.62334,0.72553,0.62623,0.72652,0.09607862728171163,0.10024401131303884,0.10020896313734634,0.1095436183529592,0.10020896313734634,0.1095436183529592,0.1095436183529592,0.09182661991329992,0.1095436183529592,0.09182661991329992,0.006507669135007799,0.007352253293971005,0.001077919907762317,2.8188830728261248e-5,0.0010779199077623164,2.818883072826045e-5,2.818883072826409e-5,-0.020917908080308138,2.818883072826409e-5,-0.020917908080308138
1,0,1,0.25,0.25,0.1,0.18,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.76331,0.73209,0.70674,0.62531,0.70627,0.62512,0.62433,0.72531,0.62652,0.72728,0.09611047361316843,0.10036563107065537,0.10003497386771834,0.10939181842449762,0.10003497386771834,0.10939181842449762,0.10939181842449762,0.09174252838714912,0.10939181842449762,0.09174252838714912,0.007185417659643377,0.00816368152668787,8.998373048734881e-4,-1.4800399036783582e-4,8.998373048734873e-4,-1.4800399036783729e-4,-1.4800399036783327e-4,-0.02106558106601941,-1.4800399036783327e-4,-0.02106558106601941
1,0,1,0.25,0.25,0.1,0.19,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.76837,0.73694,0.70808,0.62519,0.70729,0.62521,0.62467,0.72621,0.62691,0.72802,0.09616232765433923,0.10036885675405327,0.10001146946313848,0.10929263954319149,0.10001146946313848,0.10929263954319149,0.10929263954319149,0.09171459427891188,0.10929263954319149,0.09171459427891188,0.008386088207422317,0.00966516354226391,0.0012036399214048778,2.4447357570965854e-4,0.001203639921404877,2.4447357570965686e-4,2.4447357570966065e-4,-0.020767879530604626,2.4447357570966065e-4,-0.020767879530604626
1,0,1,0.25,0.25,0.1,0.2,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.76963,0.7393,0.70627,0.62368,0.70598,0.62309,0.62261,0.72497,0.62478,0.72652,0.09632128072617051,0.1003687482845233,0.10001901679137094,0.10934864679011247,0.10001901679137094,0.10934864679011246,0.10934864679011246,0.0919066722035417,0.10934864679011246,0.0919066722035417,0.008928572564587706,0.010148579620467705,0.001039287327583443,-2.4122141204559723e-4,0.001039287327583443,-2.412214120455986e-4,-2.4122141204559425e-4,-0.020914053475587915,-2.4122141204559425e-4,-0.020914053475587915
1,0,1,0.25,0.25,0.1,0.21,0.1,250,250,125,125,125,125,250,inv_u,continuous,125,DIFF,H1,0.5,0.77358,0.74392,0.7081,0.62756,0.70808,0.62722,0.62661,0.72726,0.62954,0.72933,0.09646730099082226,0.10066697662716374,0.10020617918164575,0.10961924196667323,0.10020617918164575,0.10961924196667323,0.10961924196667323,0.09150001323761868,0.10961924196667323,0.09150001323761868,0.010462725820050174,0.012096324504214993,0.0016324411047303864,6.750958405753278e-4,0.0016324411047303861,6.750958405753275e-4,6.750958405753308e-4,-0.020381218343549216,6.750958405753308e-4,-0.020381218343549216
