K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,-0.05,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02417,0.02148,0.02945,0.02505,0.02936,0.02519,0.02528,0.01992,0.02513,0.0199,0.09598933264171448,0.10032052256736822,0.10033076141592298,0.10944432021356922,0.10033076141592298,0.10944432021356922,0.10944432021356922,0.08997954034276878,0.10944432021356922,0.08997954034276878,-0.0017014298711904012,-0.006203343949127627,0.006282253141248182,-1.2099542868249841e-4,0.006282253141248182,-1.2099542868249882e-4,-1.209954286824998e-4,-0.008249756090072984,-1.209954286824998e-4,-0.008249756090072984
1,0,1,0.25,0,0.1,-0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02415,0.02152,0.02916,0.02541,0.02918,0.02538,0.0253,0.02013,0.02548,0.02018,0.09587146787573037,0.1001495626550964,0.10035782479593748,0.10958814202230846,0.10035782479593747,0.10958814202230846,0.10958814202230846,0.08980678802243967,0.10958814202230846,0.08980678802243967,-0.0016577455747965578,-0.0061624868176839796,0.006216355546399103,4.569432427634745e-5,0.006216355546399103,4.5694324276347046e-5,4.569432427634625e-5,-0.008579386343342078,4.569432427634625e-5,-0.008579386343342078
1,0,1,0.25,0,0.1,-0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02381,0.02216,0.02829,0.02512,0.02836,0.02532,0.02536,0.01967,0.025,0.01964,0.09550743446235894,0.09974706948514608,0.10001300917468761,0.10919055369949832,0.10001300917468761,0.10919055369949832,0.10919055369949832,0.08943298973970686,0.10919055369949832,0.08943298973970686,-8.755659638257545e-4,-0.005308361918263633,0.006357254121269101,1.1824681180770392e-4,0.006357254121269101,1.1824681180770409e-4,1.1824681180770292e-4,-0.008287506152109545,1.1824681180770292e-4,-0.008287506152109545
1,0,1,0.25,0,0.1,-0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02479,0.02233,0.02882,0.02491,0.02905,0.02504,0.0249,0.02029,0.02474,0.02008,0.09560437435680337,0.09983990109582382,0.10017008896761112,0.10942855993344056,0.10017008896761112,0.10942855993344056,0.10942855993344056,0.08960939666610676,0.10942855993344056,0.08960939666610676,-2.424504253159479e-4,-0.004654898653057224,0.006603173152544042,3.5949391857208104e-4,0.006603173152544042,3.594939185720799e-4,3.5949391857207887e-4,-0.008165922894198416,3.5949391857207887e-4,-0.008165922894198416
1,0,1,0.25,0,0.1,-0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02464,0.022,0.02839,0.02411,0.02849,0.0242,0.0241,0.01921,0.02418,0.01943,0.09578644344780861,0.10014337846127028,0.10006640293808082,0.10933324489024736,0.10006640293808082,0.10933324489024736,0.10933324489024736,0.08971754203867341,0.10933324489024736,0.08971754203867341,-3.061710290021507e-4,-0.004794255325250792,0.006018610037134259,-3.2592102568751934e-4,0.006018610037134259,-3.259210256875195e-4,-3.2592102568752043e-4,-0.00860373622183042,-3.2592102568752043e-4,-0.00860373622183042
1,0,1,0.25,0,0.1,0,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02596,0.0231,0.02907,0.02527,0.02904,0.0251,0.02546,0.02037,0.02525,0.02012,0.09601363579551192,0.10014632072029159,0.10043387211052568,0.10968396904007031,0.10043387211052568,0.10968396904007031,0.10968396904007031,0.08997533502112026,0.10968396904007031,0.08997533502112026,-1.70903652243514e-4,-0.0045590582530721565,0.005811214330915898,-4.256678543909204e-4,0.005811214330915898,-4.2566785439092115e-4,-4.256678543909221e-4,-0.008599835551909693,-4.256678543909221e-4,-0.008599835551909693
1,0,1,0.25,0,0.1,0.01,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.0257,0.02292,0.02905,0.02527,0.02903,0.02545,0.02524,0.01965,0.02533,0.01985,0.09598891388157813,0.10003872532696605,0.1004377995218263,0.10953844300559697,0.1004377995218263,0.10953844300559695,0.10953844300559695,0.08991909342934737,0.10953844300559695,0.08991909342934737,0.00037698352098768963,-0.004110981045985271,0.006099613648338322,-1.757251801178934e-4,0.006099613648338322,-1.7572518011789402e-4,-1.7572518011789486e-4,-0.008745666479060945,-1.7572518011789486e-4,-0.008745666479060945
1,0,1,0.25,0,0.1,0.02,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02494,0.02198,0.02907,0.02432,0.02907,0.0243,0.02422,0.01985,0.02429,0.0199,0.09595128685569823,0.09998872110592877,0.1005375516352185,0.10955469055461896,0.1005375516352185,0.10955469055461896,0.10955469055461896,0.08983049591807178,0.10955469055461896,0.08983049591807178,8.653404393028308e-4,-0.003413682468305221,0.00600192948866856,-8.078761529079143e-5,0.006001929488668561,-8.078761529079208e-5,-8.078761529079275e-5,-0.00840159178406661,-8.078761529079275e-5,-0.00840159178406661
1,0,1,0.25,0,0.1,0.03,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02621,0.02319,0.02894,0.02533,0.02915,0.02538,0.02525,0.02051,0.02525,0.02051,0.09594687966745132,0.10025248962417033,0.10039428340321618,0.10980175236132178,0.10039428340321618,0.10980175236132178,0.10980175236132178,0.08990927820070832,0.10980175236132178,0.08990927820070832,0.0014238803545655774,-0.0029816183953853075,0.006263052155080859,8.392033418600655e-5,0.006263052155080859,8.392033418600674e-5,8.392033418600523e-5,-0.008343138937944947,8.392033418600523e-5,-0.008343138937944947
1,0,1,0.25,0,0.1,0.04,0.1,250,250,125,125,125,125,250,inv_u,continuous,250,DIFF,H0,0.5,0.02676,0.02407,0.02933,0.0251,0.02941,0.02531,0.02545,0.02019,0.02514,0.02045,0.09622507968624264,0.10034710558114661,0.10060761436621082,0.10963395899964143,0.10060761436621082,0.10963395899964143,0.10963395899964143,0.09014872044950598,0.10963395899964143,0.09014872044950598,0.0014628981787573343,-0.0028365961136633485,0.005624218865168653,-5.91785864617829e-4,0.005624218865168654,-5.917858646178293e-4,-5.917858646178306e-4,-0.008762697909524825,-5.917858646178306e-4,-0.008762697909524825
