K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02013,0.02497,0.01919,0.02427,0.01922,0.02432,0.02452,0.0132,0.02425,0.01314,0.09618215996990102,0.09986980667495778,0.10072556455493129,0.10936218239767656,0.10072556455493129,0.10936218239767656,0.10936218239767656,0.09288175923052382,0.10936218239767656,0.09288175923052382,-0.008486398786956988,-1.5273949319283744e-4,-0.010999417235757572,-1.6839711704807073e-4,-0.010999417235757572,-1.6839711704807073e-4,-1.6839711704807293e-4,-0.02505002004137269,-1.6839711704807293e-4,-0.02505002004137269
1,0,1,0.25,0,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02068,0.02475,0.01978,0.02473,0.0199,0.02484,0.02504,0.01359,0.02481,0.01344,0.09633385497775837,0.10021349370420685,0.10063762938712868,0.10962288086572501,0.10063762938712868,0.10962288086572501,0.10962288086572501,0.09224700760967335,0.10962288086572501,0.09224700760967335,-0.00752971845888005,-2.8756571610455097e-4,-0.009747806367255963,-2.0729039023347718e-4,-0.009747806367255963,-2.072903902334776e-4,-2.0729039023347943e-4,-0.022245111387895623,-2.0729039023347943e-4,-0.022245111387895623
1,0,1,0.25,0,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02175,0.02523,0.02118,0.0248,0.02119,0.02461,0.02487,0.0145,0.02485,0.01455,0.09614407301005178,0.09987618148858023,0.10075382623096064,0.10961383108849825,0.10075382623096064,0.10961383108849825,0.10961383108849825,0.09140896193322243,0.10961383108849825,0.09140896193322243,-0.006892441137344198,-5.350823696019847e-4,-0.008861815633629465,-6.835082652301419e-4,-0.008861815633629467,-6.835082652301414e-4,-6.835082652301432e-4,-0.01995296659473886,-6.835082652301432e-4,-0.01995296659473886
1,0,1,0.25,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02148,0.02513,0.02089,0.02552,0.02092,0.02568,0.02566,0.01582,0.02543,0.01586,0.09590632496728245,0.09980188359821819,0.10019867875676432,0.10940921884840403,0.10019867875676432,0.10940921884840403,0.10940921884840403,0.09099522643130332,0.10940921884840403,0.09099522643130332,-0.005333187890093642,2.865783115528844e-4,-0.006962915151518879,3.2300203239889343e-4,-0.00696291515151888,3.2300203239889256e-4,3.2300203239889164e-4,-0.016474532695038093,3.2300203239889164e-4,-0.016474532695038093
1,0,1,0.25,0,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02241,0.02524,0.02163,0.02469,0.02165,0.02475,0.02485,0.01679,0.02482,0.01704,0.09627578671582153,0.10029560763678201,0.10058983823532258,0.10989932465041777,0.10058983823532258,0.10989932465041777,0.10989932465041777,0.09081463715298053,0.10989932465041777,0.09081463715298053,-0.005026109107673977,-4.7068768484285697e-4,-0.006538530199358476,-5.217069355461876e-4,-0.006538530199358477,-5.217069355461876e-4,-5.217069355461886e-4,-0.014291593661783675,-5.217069355461886e-4,-0.014291593661783675
1,0,1,0.25,0,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02263,0.02506,0.02216,0.02437,0.02223,0.02427,0.02438,0.01871,0.02423,0.01869,0.09582790571090083,0.09991613750475165,0.1000433839799001,0.10924405443373013,0.1000433839799001,0.10924405443373013,0.10924405443373013,0.09004438381527766,0.10924405443373013,0.09004438381527766,-0.0038847879802760194,-2.0562798413525967e-4,-0.004967682832853955,-3.0515907678406104e-4,-0.004967682832853956,-3.0515907678406126e-4,-3.05159076784062e-4,-0.011315046690971851,-3.05159076784062e-4,-0.011315046690971851
1,0,1,0.25,0,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02374,0.02579,0.0238,0.02568,0.02377,0.02536,0.02529,0.0204,0.02548,0.02048,0.09600614172060835,0.10007417971277913,0.10036103969936486,0.1095910607764009,0.10036103969936486,0.1095910607764009,0.1095910607764009,0.08975250522579854,0.1095910607764009,0.08975250522579854,-0.0029511722679424713,-9.374712255534432e-6,-0.0038554519200819284,-2.4123277993855831e-4,-0.003855451920081929,-2.4123277993855775e-4,-2.4123277993855867e-4,-0.00853760073578998,-2.4123277993855867e-4,-0.00853760073578998
1,0,1,0.25,0,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02386,0.0247,0.02298,0.02483,0.02292,0.0246,0.02483,0.02159,0.02478,0.02162,0.09558843542824005,0.09964622039032577,0.09971186383973764,0.10892798577072363,0.09971186383973764,0.10892798577072363,0.10892798577072363,0.08934871946887347,0.10892798577072363,0.08934871946887347,-0.0018132105891192848,9.645886833559894e-5,-0.002406894981659478,1.5761080892677204e-5,-0.0024068949816594782,1.576108089267716e-5,1.5761080892676797e-5,-0.00549300667264108,1.5761080892676797e-5,-0.00549300667264108
1,0,1,0.25,0,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02469,0.02513,0.0246,0.02505,0.0247,0.02514,0.02484,0.02297,0.02507,0.02293,0.09594159264364768,0.10003637638477471,0.10022324351621698,0.10962588565499921,0.10022324351621696,0.10962588565499921,0.10962588565499921,0.0894041356307322,0.10962588565499921,0.0894041356307322,-9.224278567098973e-4,-2.4577057821845092e-5,-0.001207543406150967,-1.6171425464389927e-5,-0.0012075434061509667,-1.6171425464390242e-5,-1.617142546439043e-5,-0.0029249271852717054,-1.617142546439043e-5,-0.0029249271852717054
1,0,1,0.25,0,0,0,0,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H0,0.5,0.02403,0.02453,0.02441,0.02493,0.02446,0.02508,0.0251,0.02362,0.02479,0.02374,0.09573484358741594,0.09983901835046871,0.09995252200536828,0.10928952492100907,0.09995252200536828,0.10928952492100907,0.10928952492100907,0.08929392355482209,0.10928952492100907,0.08929392355482209,-1.231269942120977e-4,-2.2113144742269135e-5,-1.3547840020264613e-4,1.0635861049927047e-4,-1.3547840020264646e-4,1.0635861049927045e-4,1.0635861049927022e-4,-8.747828888519008e-5,1.0635861049927022e-4,-8.747828888519008e-5
