K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.71094,0.70368,0.66415,0.62442,0.66364,0.62368,0.62329,0.70963,0.62598,0.71103,0.09624053209514517,0.10006746551532471,0.10077058233666136,0.10959272759048153,0.10077058233666136,0.10959272759048153,0.10959272759048153,0.09280234772920344,0.10959272759048153,0.09280234772920344,-0.008255417687528611,1.2248831079759973e-4,-0.010863759321307996,-3.068832696655987e-5,-0.010863759321307998,-3.0688326966560714e-5,-3.068832696655742e-5,-0.024797977522640277,-3.068832696655742e-5,-0.024797977522640277
1,0,1,0.25,0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.7138,0.70271,0.66675,0.62374,0.66584,0.62301,0.62244,0.71867,0.6246,0.71964,0.09603457403448583,0.09994262886001029,0.10049332083761746,0.10948096249966757,0.10049332083761746,0.10948096249966757,0.10948096249966757,0.09206070258907882,0.10948096249966757,0.09206070258907882,-0.007542588257292814,-1.637639800324925e-4,-0.009777773634024,-1.481650588991589e-4,-0.009777773634024003,-1.4816505889916003e-4,-1.4816505889915624e-4,-0.02235345010081265,-1.4816505889915624e-4,-0.02235345010081265
1,0,1,0.25,0.25,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.71861,0.70525,0.67376,0.62647,0.67343,0.62579,0.62552,0.73132,0.62724,0.73331,0.09637260977552756,0.10008639563539452,0.10067224021870418,0.1095620599081919,0.10067224021870418,0.10956205990819189,0.10956205990819189,0.09165057055680076,0.10956205990819189,0.09165057055680076,-0.006478420545064519,-1.1550689480071567e-5,-0.008330408797497019,0.00016409807293650251,-0.008330408797497022,1.6409807293650143e-4,1.6409807293650544e-4,-0.019293379112459028,1.6409807293650544e-4,-0.019293379112459028
1,0,1,0.25,0.25,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.7214,0.70448,0.67716,0.62666,0.67646,0.62576,0.62519,0.74001,0.62715,0.74206,0.09608675168326755,0.10006883409101167,0.10028277707408988,0.10929713021367889,0.10028277707408988,0.10929713021367887,0.10929713021367887,0.09100080371022774,0.10929713021367887,0.09100080371022774,-0.005398338494577122,2.58591519554871e-4,-0.00709939233461937,2.849571992358366e-4,-0.0070993923346193725,2.849571992358358e-4,2.8495719923584046e-4,-0.016716342956981815,2.8495719923584046e-4,-0.016716342956981815
1,0,1,0.25,0.25,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.72547,0.70485,0.68352,0.62692,0.68275,0.62624,0.62564,0.75189,0.62846,0.754,0.09591381224974302,0.10009964535309747,0.1002797321851874,0.10964296254713246,0.1002797321851874,0.10964296254713245,0.10964296254713245,0.0902168040196067,0.10964296254713245,0.0902168040196067,-0.004072190481783364,5.384440599033185e-4,-0.005416085491562471,5.852812053746255e-4,-0.005416085491562472,5.852812053746242e-4,5.852812053746291e-4,-0.0132466097034644,5.852812053746291e-4,-0.0132466097034644
1,0,1,0.25,0.25,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.72701,0.70395,0.68515,0.62541,0.6845,0.62506,0.62449,0.75979,0.627,0.76109,0.09600319466556913,0.09994505662030354,0.10035991317296684,0.10945432915976797,0.10035991317296684,0.10945432915976797,0.10945432915976797,0.09010965184050297,0.10945432915976797,0.09010965184050297,-0.0037672614201831192,-2.2256929347910238e-5,-0.004983570325128385,-2.935610837256329e-5,-0.004983570325128387,-2.935610837256445e-5,-2.935610837255963e-5,-0.011203079427291852,-2.935610837255963e-5,-0.011203079427291852
1,0,1,0.25,0.25,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.73056,0.70359,0.68879,0.62274,0.68856,0.62235,0.62229,0.76855,0.62423,0.77068,0.09556003795688861,0.09966627221498625,0.0999149735810278,0.10920870886261835,0.0999149735810278,0.10920870886261835,0.10920870886261835,0.08954785204012426,0.10920870886261835,0.08954785204012426,-0.003000478434868098,-2.834199588846349e-4,-0.003724681563011727,-2.484286455282109e-4,-0.003724681563011729,-2.4842864552821224e-4,-2.484286455282067e-4,-0.008536879293525663,-2.484286455282067e-4,-0.008536879293525663
1,0,1,0.25,0.25,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.73223,0.70289,0.69433,0.62549,0.69391,0.62528,0.62477,0.77954,0.62629,0.78131,0.09579811774488997,0.09980225969110937,0.10004254462254984,0.10939322343230075,0.10004254462254984,0.10939322343230073,0.10939322343230073,0.08936927384719497,0.10939322343230073,0.08936927384719497,-0.001634539395635809,-4.532227285759962e-5,-0.002014853293058877,1.175210039147919e-6,-0.002014853293058879,1.175210039146799e-6,1.1752100391522051e-6,-0.005167237987555813,1.1752100391522051e-6,-0.005167237987555813
1,0,1,0.25,0.25,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.73917,0.70584,0.70018,0.62698,0.69938,0.62624,0.62604,0.79004,0.62794,0.79184,0.09582601898264669,0.09995409842150825,0.10019270869149982,0.10960513929192726,0.10019270869149982,0.10960513929192726,0.10960513929192726,0.08947011547814994,0.10960513929192726,0.08947011547814994,-4.10839733252392e-4,5.35472399321738e-4,-6.443213256791526e-4,6.4012700304869e-4,-6.443213256791551e-4,6.40127003048689e-4,6.401270030486945e-4,-0.0022884329845341525,6.401270030486945e-4,-0.0022884329845341525
1,0,1,0.25,0.25,0,0,0,250,250,125,125,125,125,250,inv_u,continuous,500,EQ,H1,0.5,0.73755,0.70271,0.70194,0.62662,0.70146,0.62582,0.62559,0.79459,0.62764,0.79623,0.0959473994224671,0.09992259427577278,0.10016930442581672,0.10935255739929908,0.10016930442581672,0.10935255739929908,0.10935255739929908,0.08959174832547596,0.10935255739929908,0.08959174832547596,-3.177199031149436e-4,-1.8100586555462692e-4,-3.2826173094483926e-4,-2.149376705842129e-4,-3.2826173094484127e-4,-2.1493767058421403e-4,-2.1493767058420837e-4,-2.674988798018873e-4,-2.1493767058420837e-4,-2.674988798018873e-4
