K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,0.1,-0.05,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.79067,0.76535,0.70382,0.62639,0.70308,0.62638,0.62518,0.86729,0.62775,0.86812,0.09727003155678494,0.10195665979303703,0.10016958220573509,0.10956712682108119,0.10016958220573509,0.10956712682108119,0.10956712682108119,0.09297196452241908,0.10956712682108119,0.09297196452241908,0.01570492374002403,0.01905582880708602,2.65670924076807e-4,3.709480658638404e-4,2.6567092407680517e-4,3.7094806586384125e-4,3.709480658638485e-4,0.025251297422847638,3.709480658638485e-4,0.025251297422847638
1,0,1,0.25,0.25,0.1,-0.04,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.78845,0.76428,0.70567,0.62837,0.70477,0.62773,0.62698,0.86742,0.62919,0.8684,0.09676885024839477,0.1013136393892059,0.09985818745450158,0.10933189624912915,0.09985818745450158,0.10933189624912915,0.10933189624912915,0.09279549518495653,0.10933189624912915,0.09279549518495653,0.014697192333032537,0.017937006568169364,2.9974438540386736e-4,4.0537862040558516e-4,2.997443854038652e-4,4.053786204055855e-4,4.053786204055936e-4,0.025391352594251137,4.053786204055936e-4,0.025391352594251137
1,0,1,0.25,0.25,0.1,-0.03,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.78196,0.75637,0.70353,0.62548,0.70273,0.62533,0.62449,0.86626,0.62671,0.86815,0.0967607188014487,0.10112637480082719,0.10011536206494298,0.10948741861004292,0.10011536206494298,0.10948741861004292,0.10948741861004291,0.09287997707818034,0.10948741861004291,0.09287997707818034,0.013379639002724979,0.01620211948633961,1.0600054512222412e-4,-7.256919123518631e-5,1.0600054512222229e-4,-7.256919123518596e-5,-7.256919123517802e-5,0.025076258986723856,-7.256919123517802e-5,0.025076258986723856
1,0,1,0.25,0.25,0.1,-0.02,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.77998,0.7534,0.70188,0.62687,0.70206,0.62651,0.62581,0.86701,0.6277,0.86803,0.09650337418859016,0.10094544908563896,0.10009491010109184,0.10957009877443667,0.10009491010109184,0.10957009877443667,0.10957009877443667,0.09262084414208661,0.10957009877443667,0.09262084414208661,0.012346100746841872,0.01487787283088539,7.766874299651386e-5,1.705852567246924e-4,7.766874299651189e-5,1.705852567246924e-4,1.705852567247004e-4,0.024937905131045303,1.705852567247004e-4,0.024937905131045303
1,0,1,0.25,0.25,0.1,-0.01,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.77717,0.74951,0.70198,0.62607,0.70128,0.6249,0.62437,0.86568,0.62668,0.86763,0.09670450494937961,0.10121231996032776,0.10030481739438608,0.10996777898523738,0.10030481739438608,0.10996777898523737,0.10996777898523737,0.0930819568250159,0.10996777898523737,0.0930819568250159,0.011245621077231042,0.013772949680107121,-4.481729525594971e-5,8.713199855318621e-5,-4.48172952559514e-5,8.713199855318596e-5,8.713199855319422e-5,0.02501936376916769,8.713199855319422e-5,0.02501936376916769
1,0,1,0.25,0.25,0.1,0,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.77334,0.74566,0.70201,0.6258,0.70152,0.62527,0.62482,0.86578,0.62681,0.86773,0.09662952261165203,0.10102792501970552,0.10027399685864843,0.10980775273639103,0.10027399685864843,0.10980775273639103,0.10980775273639103,0.09289336341432786,0.10980775273639103,0.09289336341432786,0.010270200278970841,0.012641629725254783,1.9962826232629646e-5,2.3050450115211533e-4,1.9962826232626902e-5,2.305045011521147e-4,2.3050450115212254e-4,0.024949918902261076,2.3050450115212254e-4,0.024949918902261076
1,0,1,0.25,0.25,0.1,0.01,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.77012,0.74087,0.70187,0.62338,0.70129,0.62355,0.62289,0.86614,0.62525,0.86799,0.09646210936931138,0.1006935950990636,0.10029241264651105,0.10948320079866318,0.10029241264651105,0.10948320079866318,0.10948320079866318,0.09292583207446359,0.10948320079866318,0.09292583207446359,0.008959900923224448,0.010956592246158975,-3.13168649208733e-4,-3.229221905825637e-4,-3.1316864920873463e-4,-3.229221905825629e-4,-3.2292219058255533e-4,0.02494232083729783,-3.2292219058255533e-4,0.02494232083729783
1,0,1,0.25,0.25,0.1,0.02,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.76568,0.73815,0.70036,0.62299,0.69974,0.62207,0.62163,0.86703,0.62436,0.86843,0.09612350714086566,0.10037425536431958,0.09995835383655999,0.10920414319670936,0.09995835383655999,0.10920414319670936,0.10920414319670936,0.09265841871160103,0.10920414319670936,0.09265841871160103,0.007974190584879685,0.009742721134699709,-2.688569467556535e-4,-3.178106407584945e-4,-2.688569467556551e-4,-3.178106407584945e-4,-3.178106407584864e-4,0.02502739533374754,-3.178106407584864e-4,0.02502739533374754
1,0,1,0.25,0.25,0.1,0.03,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.7647,0.7348,0.70438,0.62552,0.70331,0.62486,0.62467,0.86485,0.62669,0.86608,0.09605050235439606,0.10027200721811237,0.10001263540616574,0.10948355065892595,0.10001263540616574,0.10948355065892595,0.10948355065892595,0.09279490451585899,0.10948355065892595,0.09279490451585899,0.007257382443305807,0.008785019771286925,1.1125766165155369e-4,-3.667885107997654e-5,1.1125766165155164e-4,-3.667885107997674e-5,-3.6678851079968745e-5,0.024902269802985516,-3.6678851079968745e-5,0.024902269802985516
1,0,1,0.25,0.25,0.1,0.04,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H1,0.5,0.75951,0.72815,0.70136,0.62216,0.70059,0.62188,0.62093,0.86506,0.62331,0.86644,0.09601479487980741,0.10021103211257161,0.10005296286633542,0.1093409883290289,0.10005296286633542,0.1093409883290289,0.1093409883290289,0.09285405501656069,0.1093409883290289,0.09285405501656069,0.006033579445079739,0.007259483009497316,-3.2110296283950065e-4,-5.183696269465653e-4,-3.211029628395028e-4,-5.183696269465657e-4,-5.183696269465575e-4,0.024850665301238174,-5.183696269465575e-4,0.024850665301238174
