K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,-0.15,-0.15,-0.15,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.7386,0.7025,0.70123,0.62368,0.70078,0.62328,0.62308,0.65859,0.62469,0.66079,0.09638305528326928,0.10027129848810137,0.100770268502159,0.10995338524503315,0.10077026850215899,0.10995338524503315,0.10995338524503315,0.09725282637703064,0.10995338524503315,0.09725282637703064,5.6655910033905565e-5,-1.4993209048102744e-5,5.392027154732495e-5,-7.728259892831204e-5,5.392027154732257e-5,-7.728259892831396e-5,-7.72825989283111e-5,-0.03749198314313948,-7.72825989283111e-5,-0.03749198314313948
1,0,1,0.25,0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74194,0.70612,0.70367,0.62824,0.70349,0.62733,0.62598,0.67712,0.62917,0.67865,0.0957458336586983,0.09971091355906059,0.1001704924122148,0.10930899730879075,0.1001704924122148,0.10930899730879075,0.10930899730879075,0.0953128713471359,0.10930899730879075,0.0953128713471359,2.1715550816525078e-4,1.756213901325831e-4,8.711342153012186e-5,1.003704468144009e-4,8.711342153011935e-5,1.0037044681439857e-4,1.0037044681440176e-4,-0.03307866990450975,1.0037044681440176e-4,-0.03307866990450975
1,0,1,0.25,0.25,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74008,0.7048,0.70423,0.62686,0.70408,0.62691,0.62634,0.69383,0.62804,0.69605,0.09588486453170415,0.0999207673780458,0.10006302034355695,0.10931679463538044,0.10006302034355695,0.10931679463538042,0.10931679463538042,0.094059377379656,0.10931679463538042,0.094059377379656,-1.353512416356534e-4,-3.47749439259738e-5,-3.890879922585598e-5,2.0684352741905107e-4,-3.890879922585817e-5,2.0684352741904947e-4,2.0684352741905324e-4,-0.029281241431408526,2.0684352741905324e-4,-0.029281241431408526
1,0,1,0.25,0.25,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.73765,0.70331,0.70031,0.62384,0.69972,0.62304,0.62281,0.70658,0.62498,0.70894,0.09564750252299416,0.09975784463162797,0.09981161374978668,0.10912303366875381,0.09981161374978668,0.10912303366875381,0.10912303366875381,0.09292408998076067,0.10912303366875381,0.09292408998076067,-5.36315685647216e-4,-4.253535977262522e-4,-6.283259667801194e-4,-4.125445240076282e-4,-6.283259667801213e-4,-4.125445240076297e-4,-4.1254452400762607e-4,-0.02551176133471744,-4.1254452400762607e-4,-0.02551176133471744
1,0,1,0.25,0.25,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74179,0.70616,0.70492,0.62612,0.70489,0.62582,0.62558,0.7272,0.62775,0.72898,0.09574444599557914,0.09991366416017008,0.10001853978527558,0.10958135385241025,0.10001853978527558,0.10958135385241023,0.10958135385241023,0.0915510138414285,0.10958135385241023,0.0915510138414285,7.558238460328531e-4,6.382627719085827e-4,8.036281285181051e-4,6.733050231054009e-4,8.036281285181038e-4,6.733050231053998e-4,6.733050231054036e-4,-0.02034055076737871,6.733050231054036e-4,-0.02034055076737871
1,0,1,0.25,0.25,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74023,0.70574,0.70394,0.62626,0.70375,0.62597,0.62557,0.74053,0.62802,0.74244,0.09597632559736358,0.10007573860475878,0.10040280019266404,0.10990691731655546,0.10040280019266404,0.10990691731655546,0.10990691731655546,0.09105006979792407,0.10990691731655546,0.09105006979792407,4.925856201182503e-4,4.8322257668725443e-4,4.778160704331479e-4,3.9710978808340066e-4,4.778160704331461e-4,3.97109788083399e-4,3.971097880834035e-4,-0.016382082870886397,3.971097880834035e-4,-0.016382082870886397
1,0,1,0.25,0.25,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74043,0.70588,0.70394,0.6264,0.70392,0.62606,0.625,0.75631,0.62787,0.75853,0.09593875750774693,0.1000108893503389,0.10019336051654525,0.10961549544830336,0.10019336051654525,0.10961549544830336,0.10961549544830336,0.09033419957924814,0.10961549544830336,0.09033419957924814,2.3428217543913248e-4,2.1711451957015404e-4,3.590584981850173e-4,4.626091298172027e-4,3.5905849818501504e-4,4.6260912981720245e-4,4.6260912981720663e-4,-0.012092838588231616,4.6260912981720663e-4,-0.012092838588231616
1,0,1,0.25,0.25,-0.033333333333333326,-0.033333333333333326,-0.033333333333333326,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.73968,0.70361,0.70195,0.62407,0.70166,0.62373,0.62397,0.76956,0.62537,0.77075,0.09631140573611571,0.1003710268086666,0.10041715314840187,0.1097676704236365,0.10041715314840187,0.10976767042363648,0.10976767042363648,0.0901967604755256,0.10976767042363648,0.0901967604755256,-3.951646096429307e-5,1.7936293917797075e-5,-1.483903552434292e-4,2.18163837062831e-6,-1.4839035524343117e-4,2.1816383706277662e-6,2.181638370632504e-6,-0.008254884740622066,2.181638370632504e-6,-0.008254884740622066
1,0,1,0.25,0.25,-0.016666666666666663,-0.016666666666666663,-0.016666666666666663,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74206,0.7053,0.70309,0.62684,0.70275,0.626,0.62582,0.78433,0.62759,0.7854,0.095661849671973,0.0998444800732467,0.09982619861764798,0.10931978976112,0.09982619861764798,0.10931978976111999,0.10931978976111999,0.08928071367355446,0.10931978976111999,0.08928071367355446,-4.546794654907211e-5,7.103137487505799e-5,2.3298148624094764e-5,4.60516943877695e-4,2.3298148624092894e-5,4.6051694387769357e-4,4.60516943877699e-4,-0.00418131895715511,4.60516943877699e-4,-0.00418131895715511
1,0,1,0.25,0.25,0,0,0,250,250,125,125,125,125,250,linear,continuous,EQ,H1,0.5,0.74005,0.70531,0.70483,0.62588,0.70364,0.62558,0.62476,0.79622,0.62743,0.79781,0.09594557763143537,0.1001538848183848,0.10019796391456584,0.10956201886988742,0.10019796391456584,0.10956201886988742,0.10956201886988742,0.08952815390608511,0.10956201886988742,0.08952815390608511,1.721241820073623e-4,2.2656205918327764e-4,1.500415840384997e-4,1.8691620262996624e-4,1.50041584038498e-4,1.8691620262996505e-4,1.869162026299714e-4,8.676502363474133e-5,1.869162026299714e-4,8.676502363474133e-5
