K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,-0.05,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.06658,0.05771,0.04415,0.0254,0.04429,0.0256,0.02566,0.08215,0.02552,0.08228,0.10531622824175503,0.1073873919159422,0.10347218512393441,0.10990374170088375,0.10347218512393441,0.10990374170088375,0.10990374170088375,0.10285813952342476,0.10990374170088375,0.10285813952342476,0.04249572730355969,0.03749664728605099,0.02464571819023811,2.2023333912115183e-4,0.024645718190238114,2.2023333912115533e-4,2.2023333912116037e-4,0.04998705308229501,2.2023333912116037e-4,0.04998705308229501
1,0,1,0.25,0,0.1,-0.04,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.06189,0.0526,0.04286,0.02475,0.04262,0.0248,0.02475,0.0785,0.02471,0.07908,0.10396079682771213,0.10553982337183421,0.10280800577894013,0.10905815296404424,0.10280800577894013,0.10905815296404424,0.10905815296404424,0.10211056792691281,0.10905815296404424,0.10211056792691281,0.04099347142088921,0.03508279137411526,0.02446099075310432,-1.3570214550257084e-4,0.02446099075310432,-1.3570214550256716e-4,-1.3570214550256266e-4,0.04988473829754308,-1.3570214550256266e-4,0.04988473829754308
1,0,1,0.25,0,0.1,-0.03,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.06111,0.05132,0.04358,0.02582,0.04357,0.0259,0.02564,0.08088,0.02583,0.08072,0.10383027715603473,0.10525444391766023,0.10322810465886442,0.10980053847866739,0.10322810465886442,0.10980053847866737,0.10980053847866737,0.10257358218555732,0.10980053847866737,0.10257358218555732,0.039769645897123125,0.032761224221558416,0.024713739314180957,9.330261775612221e-5,0.024713739314180957,9.330261775612544e-5,9.330261775613009e-5,0.05012692485509194,9.330261775613009e-5,0.05012692485509194
1,0,1,0.25,0,0.1,-0.02,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.05864,0.04777,0.04257,0.02472,0.04257,0.02478,0.02472,0.07941,0.02482,0.07934,0.1030067398351794,0.1041318603962361,0.10304611565301582,0.1095327014438881,0.10304611565301582,0.1095327014438881,0.1095327014438881,0.10224801712448589,0.1095327014438881,0.10224801712448589,0.037854315926927104,0.029708829326458006,0.02448816875652023,-2.5137046471112456e-4,0.02448816875652023,-2.51370464711122e-4,-2.513704647111168e-4,0.04983626165588529,-2.513704647111168e-4,0.04983626165588529
1,0,1,0.25,0,0.1,-0.01,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.05783,0.04553,0.04388,0.02488,0.04358,0.02504,0.02512,0.08172,0.0248,0.08188,0.10287864625279146,0.10390952728449095,0.10340912313852561,0.1096276838016844,0.10340912313852561,0.1096276838016844,0.1096276838016844,0.10283349352729501,0.1096276838016844,0.10283349352729501,0.036724059446009934,0.027581174392260956,0.02479537941410394,2.8473313805950503e-4,0.02479537941410394,2.8473313805950834e-4,2.847331380595126e-4,0.05016327428717015,2.847331380595126e-4,0.05016327428717015
1,0,1,0.25,0,0.1,0,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.05572,0.0438,0.044,0.02528,0.04392,0.02514,0.02513,0.08124,0.02529,0.08147,0.10207012877789812,0.10304090214438928,0.10309906690448703,0.10930202622518964,0.10309906690448703,0.10930202622518964,0.10930202622518963,0.10242289817797325,0.10930202622518963,0.10242289817797325,0.03518723000206997,0.02528286228039119,0.02482190727967616,4.8376976991407325e-4,0.02482190727967616,4.83769769914076e-4,4.837697699140804e-4,0.05021709693194237,4.837697699140804e-4,0.05021709693194237
1,0,1,0.25,0,0.1,0.01,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.05462,0.04231,0.04447,0.02555,0.04461,0.02559,0.02551,0.08101,0.02555,0.08112,0.10184009366663928,0.10272333061215046,0.1033817468124202,0.10960510956557952,0.1033817468124202,0.10960510956557952,0.10960510956557952,0.10268475138070708,0.10960510956557952,0.10268475138070708,0.03406196467636491,0.023136268365070028,0.0250605617978764,6.004196308585524e-4,0.0250605617978764,6.004196308585551e-4,6.004196308585599e-4,0.050536696157739126,6.004196308585599e-4,0.050536696157739126
1,0,1,0.25,0,0.1,0.02,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.05151,0.03946,0.04292,0.02631,0.04289,0.02625,0.02637,0.08052,0.02614,0.08091,0.10104952917116616,0.10206972390921419,0.10313547714153463,0.10970653836478862,0.10313547714153463,0.10970653836478862,0.10970653836478862,0.10259295932842533,0.10970653836478862,0.10259295932842533,0.03210925618005524,0.02006224170296752,0.024746967511904947,6.329403481765823e-5,0.024746967511904947,6.329403481766054e-5,6.329403481766508e-5,0.049941030119774917,6.329403481766508e-5,0.049941030119774917
1,0,1,0.25,0,0.1,0.03,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.05038,0.03764,0.04272,0.02562,0.04252,0.02553,0.0256,0.07975,0.02556,0.08014,0.10072301470489749,0.10144016423311383,0.1032074373682757,0.10932636687571622,0.1032074373682757,0.10932636687571622,0.10932636687571622,0.10250214133956274,0.10932636687571622,0.10250214133956274,0.030987776058357532,0.018021454092845817,0.024893703210208586,3.324093700706471e-4,0.024893703210208586,3.3240937007064956e-4,3.324093700706543e-4,0.050408873023430376,3.324093700706543e-4,0.050408873023430376
1,0,1,0.25,0,0.1,0.04,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H0,0.5,0.04793,0.03409,0.04173,0.02439,0.0418,0.02447,0.02438,0.07806,0.02428,0.07844,0.09969302011743113,0.10054989480109665,0.10264991786127597,0.1089908320418006,0.10264991786127597,0.1089908320418006,0.1089908320418006,0.10199754671548816,0.1089908320418006,0.10199754671548816,0.028673634582913825,0.014723902197735327,0.02419574473696017,-1.780551245541675e-4,0.024195744736960168,-1.780551245541653e-4,-1.780551245541609e-4,0.04970676233376275,-1.780551245541609e-4,0.04970676233376275
