K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,0.1,-0.05,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.86187,0.8185,0.78166,0.62282,0.78087,0.62179,0.62134,0.91714,0.62374,0.91773,0.10471934039769748,0.10669398011316039,0.10299336859020042,0.10967056276120643,0.10299336859020042,0.10967056276120643,0.10967056276120643,0.10237645033326968,0.10967056276120643,0.10237645033326968,0.04223925976098685,0.037189711131092665,0.024225090943208714,-4.0552972385862155e-4,0.02422509094320871,-4.0552972385862014e-4,-4.055297238586097e-4,0.049895610763366086,-4.055297238586097e-4,0.049895610763366086
1,0,1,0.25,0.25,0.1,-0.04,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.85915,0.8135,0.78293,0.62635,0.78207,0.62603,0.62573,0.91852,0.62817,0.9197,0.10425545075524718,0.10575890706298502,0.10297847226849673,0.10914301012021413,0.10297847226849673,0.10914301012021413,0.10914301012021413,0.10244959097861452,0.10914301012021413,0.10244959097861452,0.04140023699036367,0.03531532442592646,0.02502241850829118,3.357861361009259e-4,0.02502241850829118,3.357861361009276e-4,3.357861361009382e-4,0.05035877571168646,3.357861361009382e-4,0.05035877571168646
1,0,1,0.25,0.25,0.1,-0.03,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.85454,0.80622,0.78156,0.62675,0.78141,0.62536,0.62489,0.91772,0.62713,0.91887,0.10419199528182427,0.10560519384005054,0.10357096372999086,0.1098739278903646,0.10357096372999086,0.10987392789036458,0.10987392789036458,0.10291317619291694,0.10987392789036458,0.10291317619291694,0.04006136039127226,0.03314175006562007,0.025073796932726412,6.408225319336564e-4,0.02507379693272641,6.408225319336575e-4,6.408225319336679e-4,0.05063969013412104,6.408225319336679e-4,0.05063969013412104
1,0,1,0.25,0.25,0.1,-0.02,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.84888,0.79736,0.78067,0.62568,0.77969,0.62464,0.62378,0.91618,0.6264,0.91777,0.10324063498652995,0.10447997912792631,0.10329183020350105,0.10974434331693733,0.10329183020350105,0.10974434331693733,0.10974434331693732,0.10258663145172767,0.10974434331693732,0.10258663145172767,0.03788765666067832,0.029892773772357214,0.024544726955944323,3.692842612328116e-5,0.02454472695594432,3.692842612328125e-5,3.692842612329216e-5,0.04997721311904794,3.692842612329216e-5,0.04997721311904794
1,0,1,0.25,0.25,0.1,-0.01,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.84661,0.79157,0.78078,0.62354,0.77984,0.62302,0.62264,0.91769,0.62507,0.91899,0.10221585786365159,0.10338057942993639,0.1027091310780556,0.10927234141808091,0.1027091310780556,0.10927234141808091,0.10927234141808091,0.10202782491235733,0.10927234141808091,0.10202782491235733,0.03621784646191713,0.02729403638072572,0.02403141750755947,-5.163421438643969e-4,0.02403141750755947,-5.163421438643954e-4,-5.163421438643852e-4,0.04973068016128353,-5.163421438643852e-4,0.04973068016128353
1,0,1,0.25,0.25,0.1,0,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.84319,0.7848,0.78256,0.62626,0.78218,0.62568,0.62531,0.91572,0.62769,0.91708,0.1019295632112565,0.10288721234705901,0.10302540756672056,0.10936339255212205,0.10302540756672056,0.10936339255212205,0.10936339255212205,0.10247757901363078,0.10936339255212205,0.10247757901363078,0.03491552050602494,0.02493170163898911,0.024500565254851964,5.1383009020325274e-6,0.02450056525485196,5.138300902033368e-6,5.138300902044549e-6,0.0497533496663675,5.138300902044549e-6,0.0497533496663675
1,0,1,0.25,0.25,0.1,0.01,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.84005,0.77836,0.78258,0.62736,0.78188,0.62614,0.62519,0.91749,0.6291,0.91914,0.10190450883632769,0.10291087479187255,0.1033890839795272,0.10991828350882922,0.1033890839795272,0.10991828350882922,0.10991828350882922,0.10278858492280073,0.10991828350882922,0.10278858492280073,0.033949186148859,0.022995143170475327,0.02494285170758228,5.213107780477207e-4,0.024942851707582276,5.213107780477216e-4,5.213107780477325e-4,0.050290609844028375,5.213107780477325e-4,0.050290609844028375
1,0,1,0.25,0.25,0.1,0.02,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.83533,0.7706,0.78353,0.62792,0.78262,0.62709,0.62679,0.91706,0.62967,0.91774,0.10145839803326026,0.10214147692383908,0.10339172171932917,0.10947250711117108,0.10339172171932917,0.10947250711117107,0.10947250711117107,0.10281013097465798,0.10947250711117107,0.10281013097465798,0.032486900989711506,0.020454028356603815,0.025173951675131166,5.082311259335715e-4,0.025173951675131166,5.082311259335718e-4,5.082311259335825e-4,0.0504316803412696,5.082311259335825e-4,0.0504316803412696
1,0,1,0.25,0.25,0.1,0.03,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.83191,0.76296,0.78234,0.62579,0.78206,0.62497,0.62432,0.91782,0.62611000000000006,0.91945,0.10069403395467454,0.10145583109251324,0.10315518065449666,0.10936537519064018,0.10315518065449666,0.10936537519064018,0.10936537519064018,0.10281167420302713,0.10936537519064018,0.10281167420302713,0.030767142176105433,0.01775440621373247,0.024783008377772472,-1.7500657495168535e-5,0.024783008377772472,-1.7500657495167162e-5,-1.7500657495157032e-5,0.05040836908889684,-1.7500657495157032e-5,0.05040836908889684
1,0,1,0.25,0.25,0.1,0.04,0.1,250,250,125,125,125,125,250,stepwise,continuous,DIFF,H1,0.5,0.82659,0.75184,0.77904,0.62308,0.77838,0.62296,0.62262,0.91788,0.62418,0.91889,0.10011344842923181,0.10100982578313666,0.10318367689120346,0.10971493367234422,0.10318367689120346,0.10971493367234421,0.10971493367234421,0.10216950023030594,0.10971493367234421,0.10216950023030594,0.028618094186577202,0.014534570384094439,0.02412006204985972,-4.4678883454312465e-4,0.02412006204985972,-4.467888345431246e-4,-4.4678883454311386e-4,0.049532783415579484,-4.4678883454311386e-4,0.049532783415579484
